tour,snapshot_date,player_id,display_name,full_name,rank,rank_points,source_url,fetched_at_utc
atp,2026-02-02,A0E2,C. Alcaraz,Carlos Alcaraz,1,13650,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,S0AG,J. Sinner,Jannik Sinner,2,10300,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,D643,N. Djokovic,Novak Djokovic,3,5280,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,Z355,A. Zverev,Alexander Zverev,4,4605,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,M0EJ,L. Musetti,Lorenzo Musetti,5,4405,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,DH58,A. de Minaur,Alex De Minaur,6,4080,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,FB98,T. Fritz,Taylor Fritz,7,3940,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,AG37,F. Auger-Aliassime,Felix Auger Aliassime,8,3725,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,S0S1,B. Shelton,Ben Shelton,9,3600,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,BK92,A. Bublik,Alexander Bublik,10,3235,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,MM58,D. Medvedev,Daniil Medvedev,11,3060,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,RH16,C. Ruud,Casper Ruud,12,2945,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
atp,2026-02-02,D0CO,J. Draper,Jack Draper,13,2790,https://www.atptour.com/en/rankings/singles?dateWeek=2026-02-02&rankRange=0-5000,2026-03-22T00:43:22Z
