fighter1,fighter2,fight_odds_url,Bet,5Dimes_win,Bet365_win,BetDSI_win,BetOnline_win,BookMaker_win,Bovada_win,Intertops_win,Pinnacle_win,SportBet_win,SportsInt_win,Sportsbook_win,William_H_win,meanodds_win,5Dimes_vig,BetDSI_vig,BookMaker_vig,SportBet_vig,Bet365_vig,Bovada_vig,Sportsbook_vig,William_H_vig,Pinnacle_vig,SportsInt_vig,BetOnline_vig,Intertops_vig,Winner_Cleaned,Loser_Cleaned,wiki_url,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,Card_Date,#,Event,5Dimes_lose,BetDSI_lose,BookMaker_lose,SportBet_lose,Bet365_lose,Bovada_lose,Sportsbook_lose,William_H_lose,Pinnacle_lose,SportsInt_lose,BetOnline_lose,Intertops_lose,meanodds_lose
Court McGee,Ryan Laflare,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729,Ryan Laflare,1.8695652173913042,,1.8,1.8695652173913042,1.8,1.8695652173913042,,1.8620689655172413,1.8547008547008548,1.6802721088435373,1.9090909090909092,,1.834980943369606,0.022688598979013097,0.04336043360433606,0.04336043360433606,0.0317813443508661,,0.06976744186046524,0.06926406926406914,,0.02484191508581768,0.060257979474625856,0.06976744186046524,,Ryan LaFlare,Court McGee,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2,Ryan Laflare,Court McGee,Welterweight,Ryan LaFlare,def,Court McGee,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 1),https://en.wikipedia.org/wiki/Ryan_LaFlare,https://en.wikipedia.org/wiki/Court_McGee,5,Unanimous Decision,Prelim,,,2013-12-14,256,UFC on Fox: Johnson vs. Benavidez 2,2.05,2.05,2.05,2.0300000000000002,,1.8695652173913042,1.8333333333333335,,2.05,2.15,1.8695652173913042,,1.9947181964573266
Court McGee,Santiago Ponzinibbio,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073,Santiago Ponzinibbio,1.6451612903225805,,1.6666666666666665,1.625,1.6666666666666665,1.5882352941176472,,1.6329113924050633,1.6369426751592355,1.5714285714285714,1.606060606060606,,1.6265636847585596,0.01600640256102448,0.03478260869565242,0.03478260869565242,0.022417575379097388,,0.04629629629629628,0.04817342432757932,,0.029069767441860517,0.061895551257253434,0.03205128205128216,,Santiago Ponzinibbio,Court McGee,https://en.wikipedia.org/wiki/UFC_on_Fox:_Teixeira_vs._Evans,Santiago Ponzinibbio,Court McGee,Welterweight,Santiago Ponzinibbio,def,Court McGee,TKO (punches),1.0,4:15,,Preliminary Card (Fox),https://en.wikipedia.org/wiki/Santiago_Ponzinibbio,https://en.wikipedia.org/wiki/Court_McGee,7,KO,Prelim,,,2016-04-16,354,UFC on Fox: Teixeira vs. Evans,2.45,2.3,2.3,2.4299999999999997,,2.4,2.35,,2.4,2.35,2.4,,2.3755555555555556
Court McGee,Sean Brady,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764,Sean Brady,1.5,1.4405286343612334,1.4807692307692308,1.4878048780487805,1.4444444444444444,1.5,1.4545454545454546,1.495049504950495,1.4878048780487805,1.4166666666666667,1.4545454545454546,1.4405286343612334,1.4668906483951478,0.01754385964912286,0.042971734148204765,0.055944055944055826,0.02927400468384067,0.04262165819561203,0.0512820512820511,0.04851083032490977,0.05782596608284685,0.031193012765140526,0.06302521008403361,0.03576751117734722,0.05787037037037024,Sean Brady,Court McGee,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Reyes_vs._Weidman,Sean Brady,Court McGee,Welterweight,Sean Brady,def,Court McGee,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,,Preliminary Card (ESPN2),,https://en.wikipedia.org/wiki/Court_McGee,11,Unanimous Decision,Prelim,,,2019-10-18,498,UFC on ESPN: Reyes vs. Weidman,2.85,2.7199999999999998,2.75,2.8,2.87,2.6,2.77,2.75,2.76,2.8,2.75,2.7,2.7600000000000002
Court McGee,Sean Strickland,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353,Sean Strickland,1.3389830508474576,,1.4166666666666667,1.3508771929824561,1.3448275862068966,1.3333333333333333,1.3571428571428572,1.352112676056338,1.341296928327645,1.3225806451612903,1.3636363636363638,1.4,1.356496118214664,0.02080804577770068,0.039215686274509665,0.046620046620046596,0.025659118609275833,,0.05303030303030298,0.05079365079365061,0.059113300492610765,0.029438405797101552,0.06378986866791747,0.030114812723508466,0.05942275042444822,Sean Strickland,Court McGee,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Poirier_vs._Pettis,Sean Strickland,Court McGee,Welterweight,Sean Strickland,def,Court McGee,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,"Originally announced as a  majority draw (30–27, 29–29, 29–29); later overturned to a unanimous decision win for Strickland due to a miscalculation in scores.[8]",Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Sean_Strickland,https://en.wikipedia.org/wiki/Court_McGee,11,Unanimous Decision,Prelim,,,2017-11-11,417,UFC Fight Night: Poirier vs. Pettis,3.65,3.0,3.3,3.57,,3.3,3.15,2.9,3.45,3.25,3.45,3.1,3.2836363636363632
Craig White,Diego Sanchez,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530,Diego Sanchez,2.75,,2.7,2.85,2.75,2.75,2.75,2.8,2.8,2.75,2.7,,2.7600000000000002,0.04105571847507328,0.04778972520907998,0.04105571847507328,0.02927400468384067,,0.055944055944055826,0.04778972520907998,,0.02927400468384067,0.06512890094979662,0.03837719298245612,0.06060606060606055,Diego Sanchez,Craig White,https://en.wikipedia.org/wiki/UFC_228,Diego Sanchez,Craig White,Welterweight,Diego Sanchez,def,Craig White,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Diego_Sanchez,,10,Unanimous Decision,Prelim,,,2018-09-08,450,UFC 228: Woodley vs. Till,1.4761904761904763,1.4761904761904763,1.4761904761904763,1.4878048780487805,,1.4444444444444444,1.4761904761904763,,1.4878048780487805,1.425531914893617,1.4545454545454546,1.434782608695652,1.4639676083438635
Craig White,Neil Magny,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478,Neil Magny,1.1538461538461537,,1.1666666666666667,1.1818181818181819,1.1666666666666667,1.1538461538461537,1.1666666666666667,1.1692047377326564,1.1602564102564104,1.1574803149606299,1.1428571428571428,1.1700680272108843,1.1626706475025648,0.04057971014492745,0.04761904761904745,0.040629095674967086,0.028267804120204687,,0.05714285714285716,0.048913043478260754,0.054651162790697816,0.03385362828199301,0.0581203355128459,0.038461538461538325,0.05714285714285716,Neil Magny,Craig White,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Till,Neil Magny,Craig White,Welterweight,Neil Magny,def,Craig White,TKO (knee and punches),1.0,4:32,,Main card (Fox Sports 1),https://en.wikipedia.org/wiki/Neil_Magny,,2,KO,Main Event,,,2018-05-27,439,UFC Fight Night: Thompson vs. Till,5.75,5.25,5.45,6.01,,5.25,5.75,5.0,5.6,5.15,5.2,5.0,5.400909090909091
Cristiane Justino,Felicia Spencer,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713,Cristiane Justino,1.2105263157894737,1.1798561151079137,1.2,1.1893939393939394,1.1818181818181819,1.1818181818181819,1.1666666666666667,1.1934235976789167,1.2061855670103092,1.1904761904761905,1.1818181818181819,1.1700680272108843,1.1876709137324033,0.018394648829431315,0.031746031746031855,0.05668016194331971,0.023234586341382535,0.04756097560975614,0.05668016194331971,0.04615384615384621,0.054651162790697816,0.038326247308230865,0.06471910112359547,0.03569610508933341,0.05714285714285716,Cris Cyborg,Felicia Spencer,https://en.wikipedia.org/wiki/UFC_240,Cristiane Justino,Felicia Spencer,Women's Featherweight,Cris Cyborg,def,Felicia Spencer,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Cris_Cyborg,https://en.wikipedia.org/wiki/Felicia_Spencer,2,Unanimous Decision,Main Event,,,2019-07-27,487,UFC 240: Holloway vs. Edgar,5.2,5.04,4.75,5.15,5.0,4.75,5.0,5.0,4.99,4.45,5.13,5.0,4.955000000000001
Cristiane Justino,Holly Holm,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387,Cristiane Justino,1.2915451895043732,,1.31055900621118,1.2816901408450705,1.2531645569620253,1.263157894736842,1.263157894736842,1.28328611898017,1.2849002849002849,1.3333333333333333,1.2702702702702702,,1.2835064690480391,0.01639711629381435,0.047124084446359404,0.038943653401484646,0.022769287483939582,,0.04807692307692313,0.04697430229345123,,0.029249448123620292,0.0625,0.03663003663003672,0.061936936936936915,Cris Cyborg,Holly Holm,https://en.wikipedia.org/wiki/UFC_219,Cristiane Justino,Holly Holm,Women's Featherweight,Cris Cyborg (c),def,Holly Holm,"Decision (unanimous) (49–46, 48–47, 48–47)",5.0,5:00,For the UFC Women's Featherweight Championship.,Main Card,https://en.wikipedia.org/wiki/Cris_Cyborg,https://en.wikipedia.org/wiki/Holly_Holm,1,Unanimous Decision,Main Event,Cris Cyborg,,2017-12-30,424,UFC 219: Cyborg vs. Holm,4.13,3.52,4.15,4.09,,3.9,3.85,,4.0,3.2,3.9,3.7,3.8440000000000003
Cristiane Justino,Leslie Smith,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070,Cristiane Justino,1.0714285714285714,,1.0568504832291075,1.0625,1.0568504832291075,,,1.0894454382826475,1.0701754385964912,1.0869565217391304,1.0714285714285714,1.0699790062981105,1.0706238349146375,0.016666666666666607,0.04972730725239094,0.04972730725239094,0.019532612486920176,,,0.054545454545454675,0.05959777632439511,0.029132898988293965,0.04422360248447199,0.04117647058823537,,Cris Cyborg,Leslie Smith,https://en.wikipedia.org/wiki/UFC_198,Cristiane Justino,Leslie Smith,Catchweight (140 lbs),Cris Cyborg,def,Leslie Smith,TKO (punches),1.0,1:21,,Main Card,https://en.wikipedia.org/wiki/Cris_Cyborg,https://en.wikipedia.org/wiki/Leslie_Smith_(fighter),3,KO,Main Event,,,2016-05-14,357,UFC 198: Werdum vs. Miocic,12.0,9.66,9.66,11.75,,,8.25,8.0,8.99,8.05,10.0,,9.595555555555556
Cristiane Justino,Lina Akhtar Lansberg,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167,Cristiane Justino,1.0952380952380953,,1.0778210116731517,,1.0778210116731517,1.0833333333333333,,1.09000900090009,1.0880281690140845,1.0909090909090908,,,1.086165673248714,0.01830663615560635,0.05095054329462401,0.05095054329462401,0.025590123763143957,,0.04807692307692313,,,0.029155460421001145,0.050000000000000044,,,Cris Cyborg,Lina Länsberg,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cyborg_vs._L%C3%A4nsberg,Cristiane Justino,Lina Akhtar Lansberg,Catchweight (140 lbs),Cris Cyborg,def,Lina Länsberg,TKO (punches),2.0,2:29,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Cris_Cyborg,https://en.wikipedia.org/wiki/Lina_L%C3%A4nsberg,1,KO,Main Event,,,2016-09-24,373,UFC Fight Night: Cyborg vs. Länsberg,9.5,8.120000000000001,8.120000000000001,9.39,,8.0,,,8.95,7.5,,,8.51142857142857
