event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2013-11-08,Aalon Cruz,Bradford May,Aalon Cruz,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-09-27,Aalon Cruz,Joshua Millwood,Aalon Cruz,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-11-21,Aalon Cruz,Jason Valle,Aalon Cruz,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-07-24,Aalon Cruz,Kamrin Naville,Kamrin Naville,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-12-05,Aalon Cruz,Solon Staley,Aalon Cruz,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-06-24,Aalon Cruz,Da'Mon Blackshear,Da'Mon Blackshear,SUB,4,4.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-11-03,Aalon Cruz,Bruno Justo,Aalon Cruz,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-06-02,Aalon Cruz,Steve Garcia,Aalon Cruz,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-02-08,Aalon Cruz,Gui Cury,Aalon Cruz,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-07-30,Aalon Cruz,Steven Nguyen,Aalon Cruz,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-11-12,Abdul Rakhman Yakhyaev,Elbek Ravshanov,Abdul Rakhman Yakhyaev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-06-25,Abdul Rakhman Yakhyaev,Nazhmudin Yusupov,Abdul Rakhman Yakhyaev,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-10-15,Abdul Rakhman Yakhyaev,Mouhamadou Lamine,Abdul Rakhman Yakhyaev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-01-07,Abdul Rakhman Yakhyaev,Nikolay Kovalenko,Abdul Rakhman Yakhyaev,U-DEC,5,5.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-07-11,Abdul Rakhman Yakhyaev,Paulin Begai,Abdul Rakhman Yakhyaev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-09-26,Abdul Rakhman Yakhyaev,Jacky Jeanne,Abdul Rakhman Yakhyaev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2025-08-26,Abdul Rakhman Yakhyaev,Alik Lorenz,Abdul Rakhman Yakhyaev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-09-07,Abdul-Kareem Al-Selwady,Nour el Din Essam,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-03-07,Abdul-Kareem Al-Selwady,Ahmed Ansari,Abdul-Kareem Al-Selwady,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-06-15,Abdul-Kareem Al-Selwady,Yousef Al-Hamad,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-03-07,Abdul-Kareem Al-Selwady,Hussein Salem,Abdul-Kareem Al-Selwady,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-12-15,Abdul-Kareem Al-Selwady,Aziz Julaidan,Draw,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-25,Abdul-Kareem Al-Selwady,Lois Cadet,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-09-23,Abdul-Kareem Al-Selwady,Rami Aziz,Abdul-Kareem Al-Selwady,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-03-31,Abdul-Kareem Al-Selwady,Michael Deiga Scheck,Abdul-Kareem Al-Selwady,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-11-17,Abdul-Kareem Al-Selwady,Erick da Silva,Abdul-Kareem Al-Selwady,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-03-02,Abdul-Kareem Al-Selwady,Charlie Leary,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-11-16,Abdul-Kareem Al-Selwady,Lucas Martins,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-04-19,Abdul-Kareem Al-Selwady,Luan Santiago,Luan Santiago,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-11-15,Abdul-Kareem Al-Selwady,Dumar Roa,Dumar Roa,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-03-26,Abdul-Kareem Al-Selwady,Jake Sebastian,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-02-27,Abdul-Kareem Al-Selwady,Nick Compton,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-09-23,Abdul-Kareem Al-Selwady,Chris Pecero,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-02-17,Abdul-Kareem Al-Selwady,Micheal Murphy,Abdul-Kareem Al-Selwady,U-DEC,5,5.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-08-15,Abdul-Kareem Al-Selwady,George Hardwick,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-12-20,Adam Yandiev,Valeri Shpak,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-12-30,Adam Yandiev,Evgeniy Terekhov,Adam Yandiev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-02-22,Adam Yandiev,Artiom Sidorenko,Adam Yandiev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-02-28,Adam Yandiev,Vladimir Brik,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-03-29,Adam Yandiev,Konstantin Skrelya,Adam Yandiev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-02,Adam Yandiev,Dmitriy Adeev,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-16,Adam Yandiev,Donald Njatah Nya,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-06-06,Adam Yandiev,Valdas Pocevicius,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-10-10,Adam Yandiev,Dmitry Voitov,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-10-14,Alan Omer,Raoul Gohrum,Alan Omer,U-DEC,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-12-02,Alan Omer,Kevin Narr,Alan Omer,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-05-19,Alan Omer,Henry Blume,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-07-28,Alan Omer,Stefan Bartsch,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-07-28,Alan Omer,Maxime Desse,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-12-01,Alan Omer,Jens Petersen,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-12-22,Alan Omer,Alex Wiebe,Alex Wiebe,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-05-25,Alan Omer,Miroslav Neralic,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-07-12,Alan Omer,Jens Petersen,Alan Omer,SUB,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-07-12,Alan Omer,Oliver Koster,Alan Omer,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-09-20,Alan Omer,Anthony Durnell,Anthony Durnell,S-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-10-26,Alan Omer,Przemyslaw Zbiciak,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-04-04,Alan Omer,Kostadin Tabakov,Alan Omer,SUB,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-05-03,Alan Omer,Jose Adan Gonzales,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-10-18,Alan Omer,Miroslav Kuban,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-02-13,Alan Omer,Paul Reed,Alan Omer,SUB,4,4.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-05-15,Alan Omer,Mark Adams,Mark Adams,U-DEC,5,5.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-09-04,Alan Omer,Rouven Kurath,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-11-05,Alan Omer,Mariusz Abramiuk,Alan Omer,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-12-03,Alan Omer,Joziro Boye,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-02-08,Alan Omer,Dennis Tomzek,Alan Omer,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-04-16,Albert Cheng,Wesley Ranger,Albert Cheng,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-01-15,Albert Cheng,Taylor Solomon,Albert Cheng,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-09-10,Albert Cheng,Mike Sledzion,Mike Sledzion,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-12-01,Albert Cheng,Kleber Koike Erbst,Kleber Koike Erbst,SUB,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-02-27,Alberto Uda,Isaac Dionissa,Alberto Uda,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-12-03,Alberto Uda,Marcelo Silva,Alberto Uda,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-08-18,Alberto Uda,Junior Albini,Alberto Uda,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-01-05,Alberto Uda,Richardson Moreira,Alberto Uda,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-03-29,Alberto Uda,Wendres Carlos da Silva,Alberto Uda,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-04-26,Alberto Uda,Christiano Frohlich,Alberto Uda,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-06-07,Alberto Uda,Thiago Rela,Alberto Uda,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-03-15,Alberto Uda,Boris Miroshnichenko,Alberto Uda,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-12-05,Alberto Uda,Thiago de Oliveira Perpetuo,Alberto Uda,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-08-23,Alden Coria,Brandon Pate,Alden Coria,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-11-09,Alden Coria,Eric Hendricks,Alden Coria,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2020-09-04,Alden Coria,Calvin Harbaugh,Alden Coria,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-03-12,Alden Coria,Rashaad Robinson,Alden Coria,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-07-30,Alden Coria,Donnie Ballou,Alden Coria,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-01-14,Alden Coria,Michael Cyr,Michael Cyr,SUB,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-06-10,Alden Coria,Joseph Camacho,Joseph Camacho,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-04-21,Alden Coria,Jesse Martinelli,Alden Coria,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-10-06,Alden Coria,Aaron La Farge,Alden Coria,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-01-21,Alden Coria,Alberto Trujillo,Alberto Trujillo,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-06-16,Alden Coria,Jose Leon,Alden Coria,SUB,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-11-03,Alden Coria,Chris Ocon,Alden Coria,KO/TKO,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2025-01-12,Alden Coria,Paris Moran,Paris Moran,Overturned,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2025-05-25,Alden Coria,German Orpineda Ponce,Alden Coria,KO/TKO,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-09-17,Alex Gorgees,Sammy Croke,Alex Gorgees,DQ,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-03-04,Alex Gorgees,Stevie Kopeke,Alex Gorgees,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-06-03,Alex Gorgees,Goran Olujic,Alex Gorgees,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-08-12,Alex Gorgees,Mirko Nuotatore,Alex Gorgees,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-09-01,Alex Gorgees,Muhammad Hanif bin Zainal,Alex Gorgees,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-09-08,Alex Gorgees,Jai Bradney,Alex Gorgees,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-10-26,Alex Gorgees,Raphael Scott,Alex Gorgees,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-07-23,Alex Soto,Chris Dixon,Alex Soto,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-10-30,Alex Soto,Joey Bedolla,Alex Soto,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-01-30,Alex Soto,Kenny Gattrell,Alex Soto,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-02-13,Alex Soto,Enrique Briones,Alex Soto,S-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-04-24,Alex Soto,Rafael Salomao,Alex Soto,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-03-26,Alex Soto,Brady Harrison,Alex Soto,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-06-24,Alex Soto,Seiji Akao,Draw,Draw,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-09-22,Alexis Dufresne,Christina Marks,Alexis Dufresne,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-10-28,Alexis Dufresne,Josephine Esqueda,Alexis Dufresne,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-11-16,Alexis Dufresne,Kathlina Brown,Alexis Dufresne,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-01-18,Alexis Dufresne,Catalina Madril,Alexis Dufresne,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-02-28,Alexis Dufresne,Kim Couture,Alexis Dufresne,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-25,Ali AlQaisi,Jalal Al Daja,Jalal Al Daja,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-01-25,Ali AlQaisi,Rami Aziz,Rami Aziz,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-03-14,Ali AlQaisi,Ali Alnaemi,Ali AlQaisi,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-04-18,Ali AlQaisi,Alexander Sasha Pirev,Ali AlQaisi,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-09-05,Ali AlQaisi,Abdul Kader Souane,Ali AlQaisi,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-08-28,Ali AlQaisi,Yinna Bao,Yinna Bao,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-12-22,Ali AlQaisi,Philippe Massoud,Ali AlQaisi,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-04-05,Ali AlQaisi,Jaures Dea Gomez,Ali AlQaisi,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-12-22,Ali AlQaisi,Nelson Paes,Ali AlQaisi,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-04-19,Ali AlQaisi,Georges Bardawil,Ali AlQaisi,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-11-15,Ali AlQaisi,Jeremy Pacatiw,Ali AlQaisi,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-05-27,Aliaskhab Khizriev,Marat Gulomov,Aliaskhab Khizriev,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-06-15,Aliaskhab Khizriev,Maxim Grabovich,Aliaskhab Khizriev,U-DEC,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-02-21,Aliaskhab Khizriev,Baysar Kuliramov,Aliaskhab Khizriev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-10-23,Aliaskhab Khizriev,Dzhamaludin Magomedov,Aliaskhab Khizriev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-11-07,Aliaskhab Khizriev,Oleg Yatseniuk,Aliaskhab Khizriev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-11-28,Aliaskhab Khizriev,Artur Magomedov,Aliaskhab Khizriev,U-DEC,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-10-08,Aliaskhab Khizriev,Sergiy Kobchik,Aliaskhab Khizriev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-03-31,Aliaskhab Khizriev,Matej Truhan,Aliaskhab Khizriev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-09-29,Aliaskhab Khizriev,Yasubey Enomoto,Aliaskhab Khizriev,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-03-30,Aliaskhab Khizriev,Rousimar Palhares,Aliaskhab Khizriev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2020-09-08,Aliaskhab Khizriev,Henrique Shiguemoto,Aliaskhab Khizriev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-11-02,Alibi Idiris,Medet Zhumamurat,Alibi Idiris,SUB,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2020-01-31,Alibi Idiris,Islam Aibatov,Alibi Idiris,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2020-12-05,Alibi Idiris,Teimur Zhaparov,Alibi Idiris,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-01-29,Alibi Idiris,Argen Malikov,Alibi Idiris,KO/TKO,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-07-31,Alibi Idiris,Aslan Utegaliev,Alibi Idiris,U-DEC,5,5.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-04-01,Alibi Idiris,Dzhokhar Eskiev,Alibi Idiris,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-08-25,Alibi Idiris,Flavio da Silva Santos,Alibi Idiris,U-DEC,5,5.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-06-23,Alibi Idiris,Alisson Silva,Alibi Idiris,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-12-21,Alibi Idiris,Erisson Ferreira,Alibi Idiris,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-05-18,Alibi Idiris,Edilson Santos Jr.,Alibi Idiris,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1995-01-01,Amaury Bitetti,Francisco Nonato,Amaury Bitetti,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1995-01-01,Amaury Bitetti,James Adler,Amaury Bitetti,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1995-01-01,Amaury Bitetti,Sidney Goncalves Freitas,Draw,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-01-27,Andreas Gustafsson,Ole Magnor,Andreas Gustafsson,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-03-09,Andreas Gustafsson,Ismar Blagoje,Andreas Gustafsson,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-05-04,Andreas Gustafsson,Amilcar Alves,Andreas Gustafsson,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-08-31,Andreas Gustafsson,Givago Francisco,Andreas Gustafsson,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-10-12,Andreas Gustafsson,Shaun Lomas,Andreas Gustafsson,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2020-08-15,Andreas Gustafsson,Miro Jurkovic,Andreas Gustafsson,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2020-10-10,Andreas Gustafsson,Damian Janikowski,Damian Janikowski,S-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-11-26,Andreas Gustafsson,Lukasz Dziudzia,Andreas Gustafsson,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-02-25,Andreas Gustafsson,David Hosek,Andreas Gustafsson,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-04-23,Andreas Gustafsson,Joilton Lutterbach,Joilton Lutterbach,M-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-06-03,Andreas Gustafsson,Toni Lampinen,Andreas Gustafsson,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-11-25,Andreas Gustafsson,Dominic Schober,Andreas Gustafsson,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-08-20,Andreas Gustafsson,Pat Pytlik,Andreas Gustafsson,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-12-12,Andreas Stahl,Sebastian Eriksson,Andreas Stahl,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-10-29,Andreas Stahl,Niclas Danielsson,Andreas Stahl,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-12-04,Andreas Stahl,Rafal Nowasielski,Andreas Stahl,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-04-30,Andreas Stahl,Johan Vanttinen,Andreas Stahl,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-05-28,Andreas Stahl,Christoffer Svensson,Andreas Stahl,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-09-24,Andreas Stahl,Domingos Mestre,Andreas Stahl,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-11-19,Andreas Stahl,Damir Hadzovic,Andreas Stahl,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-03-23,Andreas Stahl,Abusupiyan Magomedov,Andreas Stahl,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-09-26,Andreas Stahl,Veselin Dimitrov,Andreas Stahl,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1998-02-14,Andrei Semenov,Ruslan Yacoupov,Andrei Semenov,SUB,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-04-09,Andrei Semenov,Amar Suloev,Andrei Semenov,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-04-09,Andrei Semenov,Darrell Gholar,Andrei Semenov,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-12-05,Andrei Semenov,Sergei Gur,Andrei Semenov,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
1999-12-05,Andrei Semenov,Sergei Zavadsky,Andrei Semenov,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2000-03-05,Andrei Semenov,Goksel Sahinbas,Andrei Semenov,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
