official_name,official_athlete_url,nickname,division,record,slug_name,profile_name,canonical_athlete_url,profile_division,profile_record,profile_status,profile_source_tag,birthplace,age,height,reach,weight,octagon_debut,alternate_slug_names,official_url_identity_valid,official_url_identity_status,official_url_identity_reason,ufcstats_name,ufcstats_url,ufcstats_resolution,combat_sport,combat_sport_reason,combat_sport_profile_url,coverage_eligible
Rafael Estevam,https://www.ufc.com/athlete/rafael-estevam,"""Macapa""",Bantamweight,14-1-0 (W-L-D),rafael estevam,Rafael Estevam,https://www.ufc.com/athlete/rafael-estevam,Bantamweight Division,14-1-0 (W-L-D),Active,,"Macapá, Brazil",29,68.00 in,69.00 in,130.00,"Apr. 22, 2023",rafael estevam,True,valid,,Rafael Estevam,http://ufcstats.com/fighter-details/83455a9d17f57dae,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rafael Fiziev,https://www.ufc.com/athlete/rafael-fiziev,"""Ataman""",Lightweight,14-5-0 (W-L-D),rafael fiziev,Rafael Fiziev,https://www.ufc.com/athlete/rafael-fiziev,Lightweight Division,14-5-0 (W-L-D),Active,,Kyrgyzstan,33,68.00 in,71.50 in,170.00,"Apr. 20, 2019",rafael fiziev,True,valid,,Rafael Fiziev,http://ufcstats.com/fighter-details/c814b4c899793af6,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rafael Tobias,https://www.ufc.com/athlete/rafael-tobias,"""Bipolar""",Light Heavyweight,14-2-0 (W-L-D),rafael tobias,Rafael Tobias,https://www.ufc.com/athlete/rafael-tobias,Light Heavyweight Division,14-2-0 (W-L-D),Active,,"Lambari, Brazil",22,74.00 in,74.50 in,203.50,"Mar. 7, 2026",rafael tobias,True,valid,,Rafael Tobias,http://ufcstats.com/fighter-details/d6a8edb7410223a0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rafael de Freitas,https://www.ufc.com/athlete/rafael-de-freitas,"""Barata (Cockroach)""",Flyweight,0-0-0 (W-L-D),rafael de freitas,Rafael de Freitas,https://www.ufc.com/athlete/rafael-de-freitas,Flyweight Division,0-0-0 (W-L-D),Active,,"Brasilia, Brazil",39,66.00 in,,135.00,"Jul. 21, 2026",rafael de freitas,True,valid,,,,,mma,,,True
Raimond Magomedaliev,https://www.ufc.com/athlete/raimond-magomedaliev,,Welterweight,0-1-0 (W-L-D),raimond magomedaliev,Raimond Magomedaliev,https://www.ufc.com/athlete/raimond-magomedaliev,Welterweight Division,0-1-0 (W-L-D),Active,,,,,,,"Jul. 21, 2026",raimond magomedaliev|raymond magomedaliev,True,valid,,Raimond Magomedaliev,http://ufcstats.com/fighter-details/d16373b3568678d4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rainn Guerrero,https://www.ufc.com/athlete/rainn-guerrero,,Women's Strawweight,0-1-0 (W-L-D),rainn guerrero,Rainn Guerrero,https://www.ufc.com/athlete/rainn-guerrero,Women's Strawweight Division,0-1-0 (W-L-D),Active,,"Fort Worth, United States",31,,,,"Jul. 21, 2026",rainn guerrero,True,valid,,Rainn Guerrero,http://ufcstats.com/fighter-details/8300a47f6fd6fe4f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ramazan Temirov,https://www.ufc.com/athlete/ramazan-temirov,"""Temurlan""",Flyweight,19-3-0 (W-L-D),ramazan temirov,Ramazan Temirov,https://www.ufc.com/athlete/ramazan-temirov,Flyweight Division,19-3-0 (W-L-D),Active,,"Karshi, Uzbekistan",29,64.00 in,63.00 in,125.50,"Oct. 12, 2024",ramazan temirov,True,valid,,Ramazan Temirov,http://ufcstats.com/fighter-details/7d0a1968b38ca439,ufc_fighter_details,mma,ufcstats_profile_match,,True
Rami Hamed,https://www.ufc.com/athlete/rami-hamed,,Welterweight,16-3-1 (W-L-D),rami hamed,Rami Hamed,https://www.ufc.com/athlete/rami-hamed,Welterweight Division,16-3-1 (W-L-D),Active,,,,,,,"Jul. 21, 2026",rami hamed|rami khamed,True,valid,,Rami Hamed,http://ufcstats.com/fighter-details/a59017211b775b5d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ramiro Jimenez,https://www.ufc.com/athlete/ramiro-jimenez,,Featherweight,1-0-0 (W-L-D),ramiro jimenez,Ramiro Jimenez,https://www.ufc.com/athlete/ramiro-jimenez,Featherweight Division,1-0-0 (W-L-D),Active,,"Mexicali, Mexico",26,69.50 in,73.00 in,144.50,"Jul. 21, 2026",ramiro jimenez|ramiro khimenez,True,valid,,Ramiro Jimenez,http://ufcstats.com/fighter-details/1c02b964466c10e4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ramiz Brahimaj,https://www.ufc.com/athlete/ramiz-brahimaj,,Welterweight,13-6-0 (W-L-D),ramiz brahimaj,Ramiz Brahimaj,https://www.ufc.com/athlete/ramiz-brahimaj,Welterweight Division,13-6-0 (W-L-D),Active,,"The Bronx, United States",33,70.00 in,72.00 in,170.50,"Nov. 7, 2020",ramiz brahimaj|ramiz brakhimay,True,valid,,Ramiz Brahimaj,http://ufcstats.com/fighter-details/3d074044a33825e7,ufc_fighter_details,mma,ufcstats_profile_match,,True
