official_name,official_athlete_url,nickname,division,record,slug_name,profile_name,canonical_athlete_url,profile_division,profile_record,profile_status,profile_source_tag,birthplace,age,height,reach,weight,octagon_debut,alternate_slug_names,official_url_identity_valid,official_url_identity_status,official_url_identity_reason,ufcstats_name,ufcstats_url,ufcstats_resolution,combat_sport,combat_sport_reason,combat_sport_profile_url,coverage_eligible
AJ Dobson,https://www.ufc.com/athlete/aj-dobson,,Middleweight,7-3-0 (W-L-D),aj dobson,AJ Dobson,https://www.ufc.com/athlete/aj-dobson,Middleweight Division,7-3-0 (W-L-D),Active,,"Brooklyn, United States",31,73.00 in,76.00 in,185.00,"Feb. 12, 2022",aj dobson,True,valid,,AJ Dobson,http://ufcstats.com/fighter-details/009c4420727149ea,ufc_fighter_details,mma,ufcstats_profile_match,,True
AJ Fletcher,https://www.ufc.com/athlete/aj-fletcher,"""The Ghost""",Welterweight,10-3-0 (W-L-D),aj fletcher,AJ Fletcher,https://www.ufc.com/athlete/aj-fletcher,Welterweight Division,10-3-0 (W-L-D),Active,,"Baton Rouge, United States",26,70.00 in,67.00 in,183.00,"Mar. 12, 2022",aj fletcher,True,valid,,AJ Fletcher,http://ufcstats.com/fighter-details/725b1abc9a39d873,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aaron Pico,https://www.ufc.com/athlete/aaron-pico,,Featherweight,14-5-0 (W-L-D),aaron pico,Aaron Pico,https://www.ufc.com/athlete/aaron-pico,Featherweight Division,14-5-0 (W-L-D),Active,,"Whittier, United States",29,68.00 in,70.50 in,145.00,"Jul. 26, 2025",aaron pico|aaron piko,True,valid,,Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abdul Azeem Badakhshi,https://www.ufc.com/athlete/abdul-azeem-badakhshi,,Featherweight,0-0-0 (W-L-D),abdul azeem badakhshi,Abdul Azeem Badakhshi,https://www.ufc.com/athlete/abdul-azeem-badakhshi,Featherweight Division,0-0-0 (W-L-D),Active,,"Badakhshan, Afghanistan",27,,,,"Jul. 21, 2026",abdul azeem badakhshi,True,valid,,Abdul Azeem Badakhshi,http://ufcstats.com/fighter-details/968764372c49eab6,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abdul Hussein,https://www.ufc.com/athlete/abdul-hussein,"""King""",Bantamweight,15-2-0 (W-L-D),abdul hussein,Abdul Hussein,https://www.ufc.com/athlete/abdul-hussein,Bantamweight Division,15-2-0 (W-L-D),Active,,"Beirut, Lebanon",28,65.00 in,,135.00,"Jul. 25, 2026",abdul hussein|abdul khusseyn,True,valid,,Abdul Hussein,http://ufcstats.com/fighter-details/0e6bc8d1d6c0ad90,live_search,mma,ufcstats_profile_match,,True
Abdul Rakhman Yakhyaev,https://www.ufc.com/athlete/abdulrakhman-yakhyaev,"""The Hunter""",Light Heavyweight,10-0-0 (W-L-D),abdulrakhman yakhyaev,Abdul Rakhman Yakhyaev,https://www.ufc.com/athlete/abdulrakhman-yakhyaev,Light Heavyweight Division,10-0-0 (W-L-D),Active,,Russia,25,74.00 in,78.00 in,205.00,"Nov. 22, 2025",abdulrakhman yakhyaev|abdul rakhman yakhyaev,True,valid,,Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abdul-Kareem Al-Selwady,https://www.ufc.com/athlete/abdul-kareem-al-selwady,"""Pride of Palestine""",Lightweight,16-4-0 (W-L-D),abdul kareem al selwady,Abdul-Kareem Al-Selwady,https://www.ufc.com/athlete/abdul-kareem-al-selwady,Lightweight Division,16-4-0 (W-L-D),Active,,"Baton Rouge, United States",30,68.00 in,69.00 in,156.00,"Mar. 2, 2024",abdul kareem al selwady|abdul karim al selvadi,True,valid,,Abdul-Kareem Al-Selwady,http://ufcstats.com/fighter-details/597499ac7a5aac62,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abubakar Nurmagomedov,https://www.ufc.com/athlete/abubakar-nurmagomedov,,Welterweight,17-4-1 (W-L-D),abubakar nurmagomedov,Abubakar Nurmagomedov,https://www.ufc.com/athlete/abubakar-nurmagomedov,Welterweight Division,17-4-1 (W-L-D),Active,,"Republic of Dagestan, Russia",33,71.00 in,72.00 in,170.00,"Nov. 9, 2019",abubakar nurmagomedov,True,valid,,Abubakar Nurmagomedov,http://ufcstats.com/fighter-details/029e1293e609fd74,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abubakar Vagaev,https://www.ufc.com/athlete/abubakar-vagaev,,Welterweight,24-4-0 (W-L-D),abubakar vagaev,Abubakar Vagaev,https://www.ufc.com/athlete/abubakar-vagaev,Welterweight Division,24-4-0 (W-L-D),Active,,Russia,33,72.00 in,,170.00,"Jul. 25, 2026",abubakar vagaev,True,valid,,Abubakar Vagaev,http://ufcstats.com/fighter-details/f7adc1fd115f8fdd,live_search,mma,ufcstats_profile_match,,True
Abus Magomedov,https://www.ufc.com/athlete/abus-magomedov,,Middleweight,29-7-1 (W-L-D),abus magomedov,Abus Magomedov,https://www.ufc.com/athlete/abus-magomedov,Middleweight Division,29-7-1 (W-L-D),Active,,"Argun, Russia",35,74.00 in,78.00 in,185.50,"Sep. 3, 2022",abus magomedov,True,valid,,Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Adrian Yanez,https://www.ufc.com/athlete/adrian-yanez,,Bantamweight,18-6-1 (W-L-D),adrian yanez,Adrian Yanez,https://www.ufc.com/athlete/adrian-yanez,Bantamweight Division,18-6-1 (W-L-D),Active,,"Galveston, United States",32,67.00 in,70.00 in,136.00,"Oct. 31, 2020",adrian yanez|edrien yanez,True,valid,,Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372,ufc_fighter_details,mma,ufcstats_profile_match,,True
Adrián Luna Martinetti,https://www.ufc.com/athlete/juan-martinetti,,Bantamweight,17-2-0 (W-L-D),,Adrián Luna Martinetti,https://www.ufc.com/athlete/juan-martinetti,Bantamweight Division,17-2-0 (W-L-D),Active,,"Guayaquil, Ecuador",30,68.00 in,71.00 in,136.00,"Apr. 25, 2026",,True,slug_mismatch_profile_valid,slug_name_mismatch:juan martinetti,Adrian Luna Martinetti,http://ufcstats.com/fighter-details/e3b30b573e7f0d19,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aiemann Zahabi,https://www.ufc.com/athlete/aiemann-zahabi,"""Icemann""",Bantamweight,14-3-0 (W-L-D),aiemann zahabi,Aiemann Zahabi,https://www.ufc.com/athlete/aiemann-zahabi,Bantamweight Division,14-3-0 (W-L-D),Active,,"Laval, Canada",38,68.00 in,68.50 in,135.00,"Feb. 20, 2017",aiemann zahabi,True,valid,,Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ailin Perez,https://www.ufc.com/athlete/ailin-perez,"""Fiona""",Women's Bantamweight,13-2-0 (W-L-D),ailin perez,Ailin Perez,https://www.ufc.com/athlete/ailin-perez,Women's Bantamweight Division,13-2-0 (W-L-D),Active,,"CABA, Argentina",31,65.00 in,66.00 in,135.00,"Sep. 3, 2022",ailin perez|aylin perez,True,valid,,Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,ufc_fighter_details,mma,ufcstats_profile_match,,True
Al Iaquinta,https://www.ufc.com/athlete/al-iaquinta,"""Raging""",Lightweight,14-7-1 (W-L-D),al iaquinta,Al Iaquinta,https://www.ufc.com/athlete/al-iaquinta,Lightweight Division,14-7-1 (W-L-D),Active,,"Wantagh, United States",36,70.00 in,70.00 in,155.80,"Jun. 2, 2012",al iaquinta,True,valid,,Al Iaquinta,http://ufcstats.com/fighter-details/59279a7c978f7da0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alatengheili,https://www.ufc.com/athlete/heili-alateng,"""The Mongolian Knight""",Bantamweight,17-10-2 (W-L-D),,Alatengheili,https://www.ufc.com/athlete/heili-alateng,Bantamweight Division,17-10-2 (W-L-D),Active,,"Alxa, China",33,65.00 in,66.50 in,136.00,"Aug. 31, 2019",,True,slug_mismatch_profile_valid,slug_name_mismatch:heili alateng,Alatengheili,http://ufcstats.com/fighter-details/1897b7b913736a7c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Albert Duraev,https://www.ufc.com/athlete/albert-duraev,,Middleweight,16-5-0 (W-L-D),albert duraev,Albert Duraev,https://www.ufc.com/athlete/albert-duraev,Middleweight Division,16-5-0 (W-L-D),Active,,Russia,34,71.00 in,75.00 in,195.00,"Oct. 30, 2021",albert duraev,True,valid,,Albert Duraev,http://ufcstats.com/fighter-details/6b7c7460855dbbb9,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alberto Montes,https://www.ufc.com/athlete/alberto-montes,"""The Promise""",Featherweight,12-2-0 (W-L-D),alberto montes,Alberto Montes,https://www.ufc.com/athlete/alberto-montes,Featherweight Division,12-2-0 (W-L-D),Active,,"Barquisimeto, Venezuela",32,67.00 in,69.00 in,145.50,"Apr. 12, 2025",alberto montes,True,valid,,Alberto Montes,http://ufcstats.com/fighter-details/a112097ad877a48f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alden Coria,https://www.ufc.com/athlete/alden-coria,"""Cobra""",Flyweight,13-3-0 (W-L-D),alden coria,Alden Coria,https://www.ufc.com/athlete/alden-coria,Flyweight Division,13-3-0 (W-L-D),Active,,"Morristown, United States",28,68.00 in,67.00 in,126.00,"Sep. 13, 2025",alden coria,True,valid,,Alden Coria,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aleksa Camur,https://www.ufc.com/athlete/aleksa-camur,,Light Heavyweight,6-3-0 (W-L-D),aleksa camur,Aleksa Camur,https://www.ufc.com/athlete/aleksa-camur,Light Heavyweight Division,6-3-0 (W-L-D),Active,,"Sarajevo, Bosnia &amp; Herzegovina",27,73.00 in,74.00 in,204.50,"Jul. 30, 2019",aleksa camur|aleksa kamur,True,valid,,Aleksa Camur,http://ufcstats.com/fighter-details/c2a670b22d2e196f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aleksandar Rakić,https://www.ufc.com/athlete/aleksandar-rakic,"""Rocket""",Heavyweight,14-6-0 (W-L-D),aleksandar rakic,Aleksandar Rakić,https://www.ufc.com/athlete/aleksandar-rakic,Heavyweight Division,14-6-0 (W-L-D),Active,,"Vienna, Austria",34,76.00 in,78.00 in,205.00,"Sep. 2, 2017",aleksandar rakic,True,valid,,Aleksandar Rakic,http://ufcstats.com/fighter-details/333b9e5c723ac873,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aleksandre Topuria,https://www.ufc.com/athlete/aleksandre-topuria,"""El Conquistador""",Bantamweight,7-1-0 (W-L-D),aleksandre topuria,Aleksandre Topuria,https://www.ufc.com/athlete/aleksandre-topuria,Bantamweight Division,7-1-0 (W-L-D),Active,,Germany,29,67.00 in,68.00 in,135.50,"Feb. 8, 2025",aleksandre topuria|aleksandre topuriya,True,valid,,Aleksandre Topuria,http://ufcstats.com/fighter-details/4a6dff1b260bcf61,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alessandro Costa,https://www.ufc.com/athlete/alessandro-costa,"""Nono""",Flyweight,17-5-0 (W-L-D),alessandro costa,Alessandro Costa,https://www.ufc.com/athlete/alessandro-costa,Flyweight Division,17-5-0 (W-L-D),Active,,"Manaus , Brazil",30,64.00 in,67.00 in,125.50,"Dec. 17, 2022",alessandro costa,True,valid,,Alessandro Costa,http://ufcstats.com/fighter-details/3fa97913cfd205d3,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alex Gilpin,https://www.ufc.com/athlete/alex-gilpin,,Featherweight,10-1-0 (W-L-D),alex gilpin,Alex Gilpin,https://www.ufc.com/athlete/alex-gilpin,Featherweight Division,10-1-0 (W-L-D),Active,,"St. Louis, United States",31,,,146.00,"Jul. 21, 2026",alex gilpin,True,valid,,Alex Gilpin,http://ufcstats.com/fighter-details/762c69860eef65d8,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alex Pereira,https://www.ufc.com/athlete/alex-pereira,"""Poatan""",Heavyweight,13-4-0 (W-L-D),alex pereira,Alex Pereira,https://www.ufc.com/athlete/alex-pereira,Heavyweight Division,13-4-0 (W-L-D),Active,#9 PFP,"São Bernardo do Campo, Brazil",38,76.00 in,79.00 in,251.00,"Nov. 6, 2021",alex pereira,True,valid,,Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alex Perez,https://www.ufc.com/athlete/alex-perez,,Flyweight,26-10-0 (W-L-D),alex perez,Alex Perez,https://www.ufc.com/athlete/alex-perez,Flyweight Division,26-10-0 (W-L-D),Active,,"Hanford, United States",34,66.00 in,65.50 in,128.50,"Aug. 8, 2017",alex perez|aleks perez,True,valid,,Alex Perez,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alex Reyes,https://www.ufc.com/athlete/alex-reyes,"""The Executioner""",Lightweight,13-5-0 (W-L-D),alex reyes,Alex Reyes,https://www.ufc.com/athlete/alex-reyes,Lightweight Division,13-5-0 (W-L-D),Active,,"Hollywood, United States",37,71.00 in,73.00 in,156.00,"Sep. 16, 2017",alex reyes|aleks reyes,True,valid,,Alex Reyes,http://ufcstats.com/fighter-details/dc07493a87dc0a6e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexa Grasso,https://www.ufc.com/athlete/alexa-grasso,,Women's Flyweight,17-5-1 (W-L-D),alexa grasso,Alexa Grasso,https://www.ufc.com/athlete/alexa-grasso,Women's Flyweight Division,17-5-1 (W-L-D),Active,#7 PFP,"Guadalajara, Mexico",32,65.00 in,66.00 in,126.00,"Nov. 6, 2016",alexa grasso|aleksa grasso,True,valid,,Alexa Grasso,http://ufcstats.com/fighter-details/e8b731feff72294b,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexander Hernandez,https://www.ufc.com/athlete/alexander-hernandez,"""El Gran Chango""",Lightweight,18-9-0 (W-L-D),alexander hernandez,Alexander Hernandez,https://www.ufc.com/athlete/alexander-hernandez,Lightweight Division,18-9-0 (W-L-D),Active,,"St. Louis, United States",33,69.00 in,72.00 in,170.50,"Mar. 3, 2018",alexander hernandez,True,valid,,Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexander Soldatkin,https://www.ufc.com/athlete/alexander-soldatkin,,Heavyweight,0-1-0 (W-L-D),alexander soldatkin,Alexander Soldatkin,https://www.ufc.com/athlete/alexander-soldatkin,Heavyweight Division,0-1-0 (W-L-D),Active,,,30,,,,"Jul. 21, 2026",alexander soldatkin|aleksandr soldatkin,True,valid,,Alexander Soldatkin,http://ufcstats.com/fighter-details/f1451d605bad178e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexander Volkanovski,https://www.ufc.com/athlete/alexander-volkanovski,"""The Great""",Featherweight,28-4-0 (W-L-D),alexander volkanovski,Alexander Volkanovski,https://www.ufc.com/athlete/alexander-volkanovski,Featherweight Division,28-4-0 (W-L-D),Active,#2 PFP,"Wollongong, Australia",37,66.00 in,71.50 in,158.30,"Oct. 15, 2016",alexander volkanovski|aleksandr volkanovski,True,valid,,Alexander Volkanovski,http://ufcstats.com/fighter-details/e1248941344b3288,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexander Volkov,https://www.ufc.com/athlete/alexander-volkov,"""Drago""",Heavyweight,40-11-0 (W-L-D),alexander volkov,Alexander Volkov,https://www.ufc.com/athlete/alexander-volkov,Heavyweight Division,40-11-0 (W-L-D),Active,,"Moscow, Russia",37,79.00 in,80.00 in,261.50,"Nov. 19, 2016",alexander volkov|aleksandr volkov,True,valid,,Alexander Volkov,http://ufcstats.com/fighter-details/279566840aa55bf2,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexandre Pantoja,https://www.ufc.com/athlete/alexandre-pantoja,"""The Cannibal""",Flyweight,30-6-0 (W-L-D),alexandre pantoja,Alexandre Pantoja,https://www.ufc.com/athlete/alexandre-pantoja,Flyweight Division,30-6-0 (W-L-D),Active,#13 PFP,Brazil,36,65.00 in,67.00 in,125.00,"Jan. 29, 2017",alexandre pantoja,True,valid,,Alexandre Pantoja,http://ufcstats.com/fighter-details/a0f0004aadf10b71,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alexia Thainara,https://www.ufc.com/athlete/alexia-thainara,"""Burguesinha""",Women's Strawweight,14-1-0 (W-L-D),alexia thainara,Alexia Thainara,https://www.ufc.com/athlete/alexia-thainara,Women's Strawweight Division,14-1-0 (W-L-D),Active,,"Paracambi, Brazil",30,64.00 in,67.00 in,115.50,"Mar. 22, 2025",alexia thainara,True,valid,,Alexia Thainara,http://ufcstats.com/fighter-details/545092d13c67aa49,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aliaskhab Khizriev,https://www.ufc.com/athlete/aliaskhab-khizriev,"""Black Wolf""",Middleweight,14-0-0 (W-L-D),aliaskhab khizriev,Aliaskhab Khizriev,https://www.ufc.com/athlete/aliaskhab-khizriev,Middleweight Division,14-0-0 (W-L-D),Active,,"Makhachkala, Russia",33,69.00 in,74.00 in,186.00,"Apr. 10, 2021",aliaskhab khizriev,True,valid,,Aliaskhab Khizriev,http://ufcstats.com/fighter-details/7ab478c397cd68ef,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alibi Idiris,https://www.ufc.com/athlete/alibi-idiris,,Flyweight,11-1-0 (W-L-D),alibi idiris,Alibi Idiris,https://www.ufc.com/athlete/alibi-idiris,Flyweight Division,11-1-0 (W-L-D),Active,,"Aktobe, Kazakhstan",31,66.00 in,68.00 in,126.00,"Aug. 16, 2025",alibi idiris|alibi idris,True,valid,,Alibi Idiris,http://ufcstats.com/fighter-details/30cad5a751adcb48,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alice Ardelean,https://www.ufc.com/athlete/alice-ardelean,,Women's Strawweight,12-7-0 (W-L-D),alice ardelean,Alice Ardelean,https://www.ufc.com/athlete/alice-ardelean,Women's Strawweight Division,12-7-0 (W-L-D),Active,,"Satu Mare, Romania",34,63.00 in,62.00 in,115.50,"Jul. 27, 2024",alice ardelean|alisa ardelean,True,valid,,Alice Ardelean,http://ufcstats.com/fighter-details/87f8699fdcc2c404,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alice Pereira,https://www.ufc.com/athlete/alice-pereira,"""Golden Girl""",Women's Bantamweight,7-1-0 (W-L-D),alice pereira,Alice Pereira,https://www.ufc.com/athlete/alice-pereira,Women's Bantamweight Division,7-1-0 (W-L-D),Active,,"State of Bahia, Brazil",20,68.00 in,71.00 in,136.00,"Sep. 13, 2025",alice pereira,True,valid,,Alice Pereira,http://ufcstats.com/fighter-details/81d2c551886bd5a1,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aljamain Sterling,https://www.ufc.com/athlete/aljamain-sterling,"""Funk Master""",Featherweight,26-5-0 (W-L-D),aljamain sterling,Aljamain Sterling,https://www.ufc.com/athlete/aljamain-sterling,Featherweight Division,26-5-0 (W-L-D),Active,,United States,36,67.00 in,71.00 in,153.00,"Feb. 22, 2014",aljamain sterling|aldzhemeyn sterling,True,valid,,Aljamain Sterling,http://ufcstats.com/fighter-details/cb696ebfb6598724,ufc_fighter_details,mma,ufcstats_profile_match,,True
Allan Begosso,https://www.ufc.com/athlete/allan-begosso,"""Mini""",Bantamweight,0-1-0 (W-L-D),allan begosso,Allan Begosso,https://www.ufc.com/athlete/allan-begosso,Bantamweight Division,0-1-0 (W-L-D),Active,Dana White's Contender Series,,27,,,135.50,"Jul. 21, 2026",allan begosso,True,valid,,Allan Begosso,http://ufcstats.com/fighter-details/d6ed764f8b78d32a,ufc_fighter_details,mma,ufcstats_profile_match,,True
Allan Nascimento,https://www.ufc.com/athlete/allan-nascimento,"""Puro Osso""",Flyweight,22-7-0 (W-L-D),allan nascimento,Allan Nascimento,https://www.ufc.com/athlete/allan-nascimento,Flyweight Division,22-7-0 (W-L-D),Active,,Brazil,34,68.50 in,69.50 in,129.50,"Oct. 30, 2021",allan nascimento,True,valid,,Allan Nascimento,http://ufcstats.com/fighter-details/253076a23d03dcd0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Allen Frye Jr.,https://www.ufc.com/athlete/allen-frye-jr,"""AJ""",Heavyweight,6-1-0 (W-L-D),allen frye jr,Allen Frye Jr.,https://www.ufc.com/athlete/allen-frye-jr,Heavyweight Division,6-1-0 (W-L-D),Active,,"Mineola, United States",27,77.00 in,80.50 in,242.00,"Dec. 13, 2025",allen frye jr|allen fray ml,True,valid,,Allen Frye Jr.,http://ufcstats.com/fighter-details/73a78713bd899f4c,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alonzo Menifield,https://www.ufc.com/athlete/alonzo-menifield,"""Atomic""",Light Heavyweight,18-6-1 (W-L-D),alonzo menifield,Alonzo Menifield,https://www.ufc.com/athlete/alonzo-menifield,Light Heavyweight Division,18-6-1 (W-L-D),Active,,"Los Angeles, United States",38,72.00 in,76.00 in,206.00,"Jan. 19, 2019",alonzo menifield|alonzo menfild,True,valid,,Alonzo Menifield,http://ufcstats.com/fighter-details/a495f599e787614f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Alvin Hines,https://www.ufc.com/athlete/alvin-hines,"""Goozie""",Heavyweight,7-2-0 (W-L-D),alvin hines,Alvin Hines,https://www.ufc.com/athlete/alvin-hines,Heavyweight Division,7-2-0 (W-L-D),Active,,"Deer River, United States",34,73.00 in,73.50 in,259.50,"Jun. 28, 2025",alvin hines,True,valid,,Alvin Hines,http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9,ufc_fighter_details,mma,ufcstats_profile_match,,True
Amanda Lemos,https://www.ufc.com/athlete/amanda-lemos,,Women's Strawweight,15-6-1 (W-L-D),amanda lemos,Amanda Lemos,https://www.ufc.com/athlete/amanda-lemos,Women's Strawweight Division,15-6-1 (W-L-D),Active,,"belem, Brazil",39,64.00 in,65.00 in,115.50,"Jul. 16, 2017",amanda lemos,True,valid,,Amanda Lemos,http://ufcstats.com/fighter-details/3df5493bb279226f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Amanda Nunes,https://www.ufc.com/athlete/amanda-nunes,"""The Lioness""",Women's Bantamweight,23-5-0 (W-L-D),amanda nunes,Amanda Nunes,https://www.ufc.com/athlete/amanda-nunes,Women's Bantamweight Division,23-5-0 (W-L-D),Active,Hall of Fame,Brazil,37,68.00 in,69.00 in,135.00,"Aug. 4, 2013",amanda nunes,True,valid,,Amanda Nunes,http://ufcstats.com/fighter-details/80fa8218c99f9c58,ufc_fighter_details,mma,ufcstats_profile_match,,True
Amanda Ribas,https://www.ufc.com/athlete/amanda-ribas,,Women's Strawweight,13-7-0 (W-L-D),amanda ribas,Amanda Ribas,https://www.ufc.com/athlete/amanda-ribas,Women's Strawweight Division,13-7-0 (W-L-D),Active,,"Varginha, Brazil",32,64.00 in,66.00 in,116.00,"Jun. 29, 2019",amanda ribas,True,valid,,Amanda Ribas,http://ufcstats.com/fighter-details/beecb672a279223e,ufc_fighter_details,mma,ufcstats_profile_match,,True
Amir Albazi,https://www.ufc.com/athlete/amir-albazi,"""The Prince""",Flyweight,17-3-0 (W-L-D),amir albazi,Amir Albazi,https://www.ufc.com/athlete/amir-albazi,Flyweight Division,17-3-0 (W-L-D),Active,,"Baghdad, Iraq",32,65.00 in,68.00 in,125.50,"Jul. 18, 2020",amir albazi,True,valid,,Amir Albazi,http://ufcstats.com/fighter-details/6d35bf94f7d30241,ufc_fighter_details,mma,ufcstats_profile_match,,True
Amiran Gogoladze,https://www.ufc.com/athlete/amiran-gogoladze,,Welterweight,0-1-0 (W-L-D),amiran gogoladze,Amiran Gogoladze,https://www.ufc.com/athlete/amiran-gogoladze,Welterweight Division,0-1-0 (W-L-D),Active,Dana White's Contender Series,,25,,,170.50,"Jul. 21, 2026",amiran gogoladze,True,valid,,Amiran Gogoladze,http://ufcstats.com/fighter-details/5d1636b6c1688502,ufc_fighter_details,mma,ufcstats_profile_match,,True
Anderson Berinja,https://www.ufc.com/athlete/anderson-berinja,,Bantamweight,0-0-0 (W-L-D),anderson berinja,Anderson Berinja,https://www.ufc.com/athlete/anderson-berinja,Bantamweight Division,,Active,,,,,,,"Jul. 21, 2026",anderson berinja|anderson berinzha,True,valid,,,,,mma,,,True
Anderson Silva,https://www.ufc.com/athlete/anderson-silva,"""The Spider""",Middleweight,34-11-0 (W-L-D),anderson silva,Anderson Silva,https://www.ufc.com/athlete/anderson-silva,Middleweight Division,34-11-0 (W-L-D),,,"State of Sao Paulo, Brazil",48,74.00 in,77.00 in,184.00,"Jun. 28, 2006",anderson silva,True,valid,,Anderson Silva,http://ufcstats.com/fighter-details/1f454354805b6f75,ufc_fighter_details,mma,ufcstats_profile_match,,True
Andre Fialho,https://www.ufc.com/athlete/andre-fialho,,Welterweight,16-8-0 (W-L-D),andre fialho,Andre Fialho,https://www.ufc.com/athlete/andre-fialho,Welterweight Division,16-8-0 (W-L-D),Active,,"Cascais, Portugal",29,72.00 in,74.00 in,169.50,"Jan. 15, 2022",andre fialho,True,valid,,Andre Fialho,http://ufcstats.com/fighter-details/33efaf2d0941cfcf,ufc_fighter_details,mma,ufcstats_profile_match,,True
Andre Fili,https://www.ufc.com/athlete/andre-fili,"""Touchy""",Featherweight,25-14-0 (W-L-D),andre fili,Andre Fili,https://www.ufc.com/athlete/andre-fili,Featherweight Division,25-14-0 (W-L-D),Active,,"Federal Way, United States",35,71.00 in,74.00 in,146.00,"Oct. 20, 2013",andre fili,True,valid,,Andre Fili,http://ufcstats.com/fighter-details/8fd808923cffff82,ufc_fighter_details,mma,ufcstats_profile_match,,True
Andre Lima,https://www.ufc.com/athlete/andre-lima,"""Mascote""",Flyweight,11-1-0 (W-L-D),andre lima,Andre Lima,https://www.ufc.com/athlete/andre-lima,Flyweight Division,11-1-0 (W-L-D),Active,,"State of Bahia, Brazil",27,67.00 in,67.50 in,126.00,"Mar. 23, 2024",andre lima,True,valid,,Andre Lima,http://ufcstats.com/fighter-details/b1f21ce050035d58,ufc_fighter_details,mma,ufcstats_profile_match,,True
Andre Petroski,https://www.ufc.com/athlete/andre-petroski,,Middleweight,13-7-0 (W-L-D),andre petroski,Andre Petroski,https://www.ufc.com/athlete/andre-petroski,Middleweight Division,13-7-0 (W-L-D),Active,,United States,34,72.00 in,73.00 in,185.50,"Aug. 28, 2021",andre petroski,True,valid,,Andre Petroski,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Andrey Pulyaev,https://www.ufc.com/athlete/andrey-pulyaev,,Middleweight,10-3-0 (W-L-D),andrey pulyaev,Andrey Pulyaev,https://www.ufc.com/athlete/andrey-pulyaev,Middleweight Division,10-3-0 (W-L-D),Active,,"Chita, Russia",28,76.00 in,78.50 in,185.00,"Mar. 22, 2025",andrey pulyaev,True,valid,,Andrey Pulyaev,http://ufcstats.com/fighter-details/22e07d3da1aa3475,ufc_fighter_details,mma,ufcstats_profile_match,,True
Angel Pacheco,https://www.ufc.com/athlete/angel-pacheco,,Bantamweight,7-4-0 (W-L-D),angel pacheco,Angel Pacheco,https://www.ufc.com/athlete/angel-pacheco,Bantamweight Division,7-4-0 (W-L-D),Active,,"Willmar, United States",34,68.00 in,70.00 in,135.00,"Mar. 30, 2024",angel pacheco,True,valid,,Angel Pacheco,http://ufcstats.com/fighter-details/07797f10b9569cfc,ufc_fighter_details,mma,ufcstats_profile_match,,True
