event_name,event_date
ufc 180: werdum vs hunt,2014-11-15
ufc 181: hendricks vs lawler ii,2014-12-06
ufc 182: jones vs cormier,2015-01-03
ufc 183: silva vs diaz,2015-01-31
ufc 184: rousey vs zingano,2015-02-28
ufc 185: pettis vs dos anjos,2015-03-14
ufc 186: johnson vs horiguchi,2015-04-25
ufc 187: johnson vs cormier,2015-05-23
ufc 188: velasquez vs werdum,2015-06-13
ufc 189: mendes vs mcgregor,2015-07-11
ufc 18: the road to the heavyweight title,1999-01-08
ufc 190: rousey vs correia,2015-08-01
ufc 191: johnson vs dodson 2,2015-09-05
ufc 192: cormier vs gustafsson,2015-10-03
ufc 193: rousey vs holm,2015-11-14
ufc 194: aldo vs mcgregor,2015-12-12
ufc 195: lawler vs condit,2016-01-02
ufc 196: mcgregor vs diaz,2016-03-05
ufc 197: jones vs saint preux,2016-04-23
ufc 198: werdum vs miocic,2016-05-14
ufc 199: rockhold vs. bisping 2,2016-06-04
ufc 19: ultimate young guns,1999-03-05
ufc 1: the beginning,1993-11-12
ufc 200: tate vs nunes,2016-07-09
ufc 201: lawler vs. woodley,2016-07-30
ufc 202: diaz vs. mcgregor 2,2016-08-20
ufc 203: miocic vs. overeem,2016-09-10
ufc 204: bisping vs. henderson,2016-10-08
ufc 205: alvarez vs mcgregor,2016-11-12
ufc 206: holloway vs. pettis,2016-12-10
ufc 207: nunes vs. rousey,2016-12-30
ufc 208: holm vs. de randamie,2017-02-11
ufc 209: woodley vs. thompson 2,2017-03-04
ufc 20: battle for the gold,1999-05-07
ufc 210: cormier vs. johnson 2,2017-04-08
ufc 211: miocic vs. dos santos,2017-05-13
ufc 212: aldo vs. holloway,2017-06-03
ufc 213: romero vs. whittaker,2017-07-08
ufc 214: cormier vs. jones 2,2017-07-29
ufc 215: nunes vs shevchenko 2,2017-09-09
ufc 216: ferguson vs. lee,2017-10-07
ufc 217: bisping vs. st-pierre,2017-11-04
ufc 218: holloway vs. aldo 2,2017-12-02
ufc 219: cyborg vs. holm,2017-12-30
ufc 21: return of the champions,1999-07-16
ufc 220: miocic vs. ngannou,2018-01-20
ufc 221: romero vs. rockhold,2018-02-10
ufc 222: cyborg vs. kunitskaya,2018-03-03
ufc 223: khabib vs. iaquinta,2018-04-07
ufc 224: nunes vs. pennington,2018-05-12
ufc 225: whittaker vs. romero 2,2018-06-09
ufc 226: miocic vs. cormier,2018-07-07
ufc 227: dillashaw vs. garbrandt 2,2018-08-04
ufc 228: woodley vs. till,2018-09-08
ufc 229: khabib vs. mcgregor,2018-10-06
ufc 22: only one can be champion,1999-09-24
ufc 230: cormier vs. lewis,2018-11-03
ufc 231: holloway vs. ortega,2018-12-08
ufc 232: jones vs. gustafsson 2,2018-12-29
ufc 234: adesanya vs. silva,2019-02-09
ufc 235: jones vs. smith,2019-03-02
ufc 236: holloway vs. poirier 2,2019-04-13
ufc 237: namajunas vs. andrade,2019-05-11
ufc 238: cejudo vs. moraes,2019-06-08
ufc 239: jones vs. santos,2019-07-06
ufc 23: ultimate japan 2,1999-11-19
ufc 240: holloway vs. edgar,2019-07-27
ufc 241: cormier vs. miocic 2,2019-08-17
ufc 242: khabib vs. poirier,2019-09-07
ufc 243: whittaker vs. adesanya,2019-10-05
ufc 244: masvidal vs. diaz,2019-11-02
ufc 245: usman vs. covington,2019-12-14
ufc 246: mcgregor vs. cowboy,2020-01-18
ufc 247: jones vs. reyes,2020-02-08
ufc 248: adesanya vs. romero,2020-03-07
ufc 249: ferguson vs. gaethje,2020-05-09
ufc 24: first defense,2000-03-10
ufc 250: nunes vs. spencer,2020-06-06
ufc 251: usman vs. masvidal,2020-07-11
ufc 252: miocic vs. cormier 3,2020-08-15
ufc 253: adesanya vs. costa,2020-09-26
ufc 254: khabib vs. gaethje,2020-10-24
ufc 255: figueiredo vs. perez,2020-11-21
ufc 256: figueiredo vs. moreno,2020-12-12
ufc 257: poirier vs. mcgregor,2021-01-23
ufc 258: usman vs. burns,2021-02-13
ufc 259: blachowicz vs. adesanya,2021-03-06
ufc 25: ultimate japan 3,2000-04-14
ufc 260: miocic vs. ngannou,2021-03-27
ufc 261: usman vs. masvidal 2,2021-04-24
ufc 262: oliveira vs. chandler,2021-05-15
ufc 263: adesanya vs. vettori 2,2021-06-12
ufc 264: poirier vs. mcgregor 3,2021-07-10
ufc 265: lewis vs. gane,2021-08-07
ufc 266: volkanovski vs. ortega,2021-09-25
ufc 267: blachowicz vs. teixeira,2021-10-30
ufc 268: usman vs. covington 2,2021-11-06
ufc 269: oliveira vs. poirier,2021-12-11
ufc 26: ultimate field of dreams,2000-06-09
ufc 270: ngannou vs. gane,2022-01-22
ufc 271: adesanya vs. whittaker 2,2022-02-12
ufc 272: covington vs. masvidal,2022-03-05
ufc 273: volkanovski vs. the korean zombie,2022-04-09
ufc 274: oliveira vs. gaethje,2022-05-07
ufc 275: teixeira vs. prochazka,2022-06-11
ufc 276: adesanya vs. cannonier,2022-07-02
ufc 277: pena vs. nunes 2,2022-07-30
ufc 278: usman vs. edwards,2022-08-20
ufc 279: diaz vs. ferguson,2022-09-10
ufc 27: ultimate bad boyz,2000-09-22
ufc 280: oliveira vs. makhachev,2022-10-22
ufc 281: adesanya vs. pereira,2022-11-12
ufc 282: blachowicz vs. ankalaev,2022-12-10
ufc 283: teixeira vs. hill,2023-01-21
ufc 284: makhachev vs. volkanovski,2023-02-11
ufc 285: jones vs. gane,2023-03-04
ufc 286: edwards vs. usman 3,2023-03-18
ufc 287: pereira vs. adesanya 2,2023-04-08
ufc 288: sterling vs. cejudo,2023-05-06
ufc 289: nunes vs. aldana,2023-06-10
ufc 28: high stakes,2000-11-17
ufc 290: volkanovski vs. rodriguez,2023-07-08
ufc 291: poirier vs. gaethje 2,2023-07-29
ufc 292: sterling vs. o'malley,2023-08-19
ufc 293: adesanya vs. strickland,2023-09-09
ufc 294: makhachev vs. volkanovski 2,2023-10-21
ufc 295: prochazka vs. pereira,2023-11-11
ufc 296: edwards vs. covington,2023-12-16
ufc 297: strickland vs. du plessis,2024-01-20
ufc 298: volkanovski vs. topuria,2024-02-17
ufc 299: o'malley vs. vera 2,2024-03-09
ufc 29: defense of the belts,2000-12-16
ufc 2: no way out,1994-03-11
ufc 300: pereira vs. hill,2024-04-13
ufc 301: pantoja vs. erceg,2024-05-04
ufc 302: makhachev vs. poirier,2024-06-01
ufc 303: pereira vs. prochazka 2,2024-06-29
ufc 304: edwards vs. muhammad 2,2024-07-27
ufc 305: du plessis vs. adesanya,2024-08-17
ufc 306: riyadh season noche ufc,2024-09-14
ufc 307: pereira vs. rountree jr.,2024-10-05
ufc 308: topuria vs. holloway,2024-10-26
ufc 309: jones vs. miocic,2024-11-16
ufc 30: battle on the boardwalk,2001-02-23
ufc 310: pantoja vs. asakura,2024-12-07
ufc 311: makhachev vs. moicano,2025-01-18
ufc 312: du plessis vs. strickland 2,2025-02-08
ufc 313: pereira vs. ankalaev,2025-03-08
ufc 314: volkanovski vs. lopes,2025-04-12
ufc 315: muhammad vs. della maddalena,2025-05-10
ufc 316: dvalishvili vs. o'malley 2,2025-06-07
ufc 317: topuria vs. oliveira,2025-06-28
ufc 318: holloway vs. poirier 3,2025-07-19
ufc 319: du plessis vs. chimaev,2025-08-16
ufc 31: locked and loaded,2001-05-04
ufc 320: ankalaev vs. pereira 2,2025-10-04
ufc 321: aspinall vs. gane,2025-10-25
ufc 322: della maddalena vs. makhachev,2025-11-15
ufc 323: dvalishvili vs. yan 2,2025-12-06
ufc 324: gaethje vs. pimblett,2026-01-24
ufc 325: volkanovski vs. lopes 2,2026-01-31
ufc 326: holloway vs. oliveira 2,2026-03-07
ufc 32: showdown in the meadowlands,2001-06-29
ufc 33: victory in vegas,2001-09-28
ufc 34: high voltage,2001-11-02
ufc 35: throwdown,2002-01-11
ufc 36: worlds collide,2002-03-22
ufc 37.5: as real as it gets,2002-06-22
ufc 37: high impact,2002-05-10
ufc 38: brawl at the hall,2002-07-13
ufc 39: the warriors return,2002-09-27
ufc 3: the american dream,1994-09-09
ufc 40: vendetta,2002-11-22
ufc 41: onslaught,2003-02-28
ufc 42: sudden impact,2003-04-25
ufc 43: meltdown,2003-06-06
