event_name,event_date
ufc fight night: nelson vs story,2014-10-04
ufc fight night: nelson vs. ponzinibbio,2017-07-16
ufc fight night: ngannou vs. dos santos,2019-06-29
ufc fight night: ngannou vs. velasquez,2019-02-17
ufc fight night: nicolau vs. perez,2024-04-27
ufc fight night: nogueira vs davis,2011-03-26
ufc fight night: nzechukwu vs. cutelaba,2022-11-19
ufc fight night: oezdemir vs. smith,2018-10-27
ufc fight night: oliveira vs. gamrot,2025-10-11
ufc fight night: ortega vs. rodriguez,2022-07-16
ufc fight night: ortega vs. the korean zombie,2020-10-17
ufc fight night: overeem vs arlovski,2016-05-08
ufc fight night: overeem vs. harris,2020-05-16
ufc fight night: overeem vs. oleinik,2019-04-20
ufc fight night: overeem vs. rozenstruik,2019-12-07
ufc fight night: overeem vs. sakai,2020-09-05
ufc fight night: overeem vs. volkov,2021-02-06
ufc fight night: pavlovich vs. blaydes,2023-04-22
ufc fight night: perez vs. taira,2024-06-15
ufc fight night: pettis vs. moreno,2017-08-05
ufc fight night: poirier vs. gaethje,2018-04-14
ufc fight night: poirier vs. hooker,2020-06-27
ufc fight night: poirier vs. johnson,2016-09-17
ufc fight night: poirier vs. pettis,2017-11-11
ufc fight night: reyes vs. prochazka,2021-05-01
ufc fight night: reyes vs. weidman,2019-10-18
ufc fight night: ribas vs. namajunas,2024-03-23
ufc fight night: rivera vs. moraes,2018-06-01
ufc fight night: rockhold vs bisping,2014-11-07
ufc fight night: rockhold vs philippou,2014-01-15
ufc fight night: rockhold vs. branch,2017-09-16
ufc fight night: rodriguez vs. caceres,2016-08-06
ufc fight night: rodriguez vs. lemos,2022-11-05
ufc fight night: rodriguez vs. penn,2017-01-15
ufc fight night: rodriguez vs. stephens,2019-09-21
ufc fight night: rodriguez vs. waterson,2021-05-08
ufc fight night: rothwell vs dos santos,2016-04-10
ufc fight night: royval vs. kape,2025-12-13
ufc fight night: royval vs. taira,2024-10-12
ufc fight night: rozenstruik vs. almeida,2023-05-13
ufc fight night: rozenstruik vs. gane,2021-02-27
ufc fight night: rozenstruik vs. gaziev,2024-03-02
ufc fight night: rozenstruik vs. sakai,2021-06-05
ufc fight night: saffiedine vs lim,2014-01-04
ufc fight night: saint preux vs. okami,2017-09-22
ufc fight night: sanchez vs riggs,2006-12-13
ufc fight night: sandhagen vs. dillashaw,2021-07-24
ufc fight night: sandhagen vs. figueiredo,2025-05-03
ufc fight night: sandhagen vs. font,2023-08-05
ufc fight night: sandhagen vs. nurmagomedov,2024-08-03
ufc fight night: sandhagen vs. song,2022-09-17
ufc fight night: santos vs. ankalaev,2022-03-12
ufc fight night: santos vs. hill,2022-08-06
ufc fight night: santos vs. teixeira,2020-11-07
ufc fight night: santos vs. walker,2021-10-02
ufc fight night: shevchenko vs. carmouche 2,2019-08-10
ufc fight night: shields vs ellenberger,2011-09-17
ufc fight night: shogun vs henderson 2,2014-03-23
ufc fight night: shogun vs sonnen,2013-08-17
ufc fight night: shogun vs. smith,2018-07-22
ufc fight night: silva vs bisping,2016-02-27
ufc fight night: smith vs. clark,2020-11-28
ufc fight night: smith vs. rakic,2020-08-29
ufc fight night: smith vs. spann,2021-09-18
ufc fight night: smith vs. teixeira,2020-05-13
ufc fight night: song vs. gutierrez,2023-12-09
ufc fight night: song vs. simon,2023-04-29
ufc fight night: stephens vs. choi,2018-01-14
ufc fight night: stevenson vs guillard,2007-04-05
ufc fight night: stout vs fisher,2007-06-12
ufc fight night: strickland vs. hernandez,2026-02-21
ufc fight night: strickland vs. imavov,2023-01-14
ufc fight night: strickland vs. magomedov,2023-07-01
ufc fight night: swanson vs stephens,2014-06-28
ufc fight night: swanson vs. lobov,2017-04-22
ufc fight night: swanson vs. ortega,2017-12-09
ufc fight night: swick vs burkman,2008-01-23
ufc fight night: taira vs. park,2025-08-02
ufc fight night: te huna vs marquardt,2014-06-28
ufc fight night: teixeira vs bader,2013-09-04
ufc fight night: teixeira vs saint preux,2015-08-08
ufc fight night: thomas vs florian,2007-09-19
ufc fight night: thompson vs. holland,2022-12-03
ufc fight night: thompson vs. neal,2020-12-19
ufc fight night: thompson vs. pettis,2019-03-23
ufc fight night: thompson vs. till,2018-05-27
ufc fight night: till vs. masvidal,2019-03-16
ufc fight night: tsarukyan vs. gamrot,2022-06-25
ufc fight night: tsarukyan vs. hooker,2025-11-22
ufc fight night: tuivasa vs. tybura,2024-03-16
ufc fight night: tybura vs. spivac 2,2024-08-10
ufc fight night: ulberg vs. reyes,2025-09-27
ufc fight night: usman vs. buckley,2025-06-14
ufc fight night: vera vs. cruz,2022-08-13
ufc fight night: vera vs. sandhagen,2023-03-25
ufc fight night: vettori vs. cannonier,2023-06-17
ufc fight night: vettori vs. dolidze 2,2025-03-15
ufc fight night: vettori vs. holland,2021-04-10
ufc fight night: vieira vs. tate,2021-11-20
ufc fight night: volkov vs. aspinall,2022-03-19
ufc fight night: volkov vs. rozenstruik,2022-06-04
ufc fight night: volkov vs. struve,2017-09-02
ufc fight night: walker vs. hill,2022-02-19
ufc fight night: walker vs. zhang,2025-08-23
ufc fight night: waterson vs. hill,2020-09-12
ufc fight night: weidman vs. gastelum,2017-07-22
ufc fight night: werdum vs. tybura,2017-11-18
ufc fight night: werdum vs. volkov,2018-03-17
ufc fight night: whittaker vs. aliskerov,2024-06-22
ufc fight night: whittaker vs. brunson,2016-11-26
ufc fight night: whittaker vs. de ridder,2025-07-26
ufc fight night: whittaker vs. gastelum,2021-04-17
ufc fight night: whittaker vs. till,2020-07-25
ufc fight night: woodley vs. burns,2020-05-30
ufc fight night: yan vs. dvalishvili,2023-03-11
ufc fight night: yan vs. figueiredo,2024-11-23
ufc fight night: yusuff vs. barboza,2023-10-14
ufc fight night: zabit vs. kattar,2019-11-09
ufc live: cruz vs johnson,2011-10-01
ufc live: hardy vs lytle,2011-08-14
ufc live: jones vs matyushenko,2010-08-01
ufc live: kongo vs barry,2011-06-26
ufc live: sanchez vs kampmann,2011-03-03
ufc live: vera vs jones,2010-03-21
ufc macao: franklin vs le,2012-11-10
ufc on fox: diaz vs miller,2012-05-05
ufc on fox: dillashaw vs. barao ii,2015-07-25
ufc on fox: dos anjos vs. cowboy 2,2015-12-19
ufc on fox: dos santos vs miocic,2014-12-13
ufc on fox: evans vs davis,2012-01-28
ufc on fox: gustafsson vs johnson,2015-01-24
ufc on fox: henderson vs diaz,2012-12-08
ufc on fox: henderson vs melendez,2013-04-20
ufc on fox: henderson vs thomson,2014-01-25
ufc on fox: holm vs. shevchenko,2016-07-23
ufc on fox: johnson vs dodson,2013-01-26
ufc on fox: johnson vs moraga,2013-07-27
ufc on fox: johnson vs. bader,2016-01-30
ufc on fox: johnson vs. benavidez 2,2013-12-14
ufc on fox: johnson vs. reis,2017-04-15
ufc on fox: lawler vs brown,2014-07-26
ufc on fox: machida vs rockhold,2015-04-18
ufc on fox: maia vs. condit,2016-08-27
ufc on fox: shevchenko vs. pena,2017-01-28
ufc on fox: shogun vs vera,2012-08-04
ufc on fox: teixeira vs evans,2016-04-16
ufc on fox: vanzant vs. waterson,2016-12-17
ufc on fox: velasquez vs dos santos,2011-11-12
ufc on fox: werdum vs browne,2014-04-19
ufc on fuel tv: barao vs mcdonald,2013-02-16
ufc on fuel tv: gustafsson vs silva,2012-04-14
ufc on fuel tv: korean zombie vs poirier,2012-05-15
ufc on fuel tv: mousasi vs latifi,2013-04-06
ufc on fuel tv: munoz vs weidman,2012-07-11
ufc on fuel tv: nogueira vs. werdum,2013-06-08
ufc on fuel tv: sanchez vs ellenberger,2012-02-15
ufc on fuel tv: silva vs. stann,2013-03-02
ufc on fuel tv: struve vs miocic,2012-09-29
ufc on fx: alves vs kampmann,2012-03-02
ufc on fx: belfort vs bisping,2013-01-19
ufc on fx: belfort vs. rockhold,2013-05-18
ufc on fx: browne vs bigfoot,2012-10-05
ufc on fx: guillard vs miller,2012-01-20
ufc on fx: johnson vs mccall,2012-06-08
ufc on fx: maynard vs guida,2012-06-22
ufc on fx: sotiropoulos vs pearson,2012-12-14
ufc: silva vs irvin,2008-07-19
