name,source,source_name,search_name,fighter_url,height,reach,weight,stance,dob
Kevin Jackson,fightdx,Kevin Jackson,Kevin Jackson,https://fightdx.com/person/kevin-jackson,,"5'10"" (1.78m)",,,
Kevin Randleman,martialbot,Kevin Randleman,Kevin Randleman,https://www.martialbot.com/mma/fighters/kevin-randleman-ba7c4b80e770b559318adad64e8e508d,,178 cm,,,
Kimo Leopoldo,martialbot,Kimo Leopoldo,Kimo Leopoldo,https://www.martialbot.com/mma/fighters/kimo-leopoldo-2777095d266e1b8f23f628ba5d22dd35,,191 cm,,,
Laverne Clark,martialbot,LaVerne Clark,Laverne Clark,https://www.martialbot.com/mma/fighters/laverne-clark-47398addc1865cec4b8a4ed97d857e3a,,180 cm,,,
Marcio Cruz,tapology,Marcio Cruz,Marcio Cruz,https://www.tapology.com/fightcenter/fighters/marcio-cruz-pe-de-pano,,"82.0"" (208cm)",,,
Marco Ruas,martialbot,Marco Ruas,Marco Ruas,https://www.martialbot.com/mma/fighters/marco-ruas-d7e6c2353c6b9adc1562322b2fd4f5c2,,185 cm,,,
Marcus Bossett,fightdx,Marcus Bossett,Marcus Bossett,https://fightdx.com/person/marcus-bossett,,"6'1"" (1.85m)",,,
Mark Hall,martialbot,Mark Hall,Mark Hall,https://www.martialbot.com/mma/fighters/mark-hall-f052c2645e481b9b9df8bd93e219c1f2,,183 cm,,,
Maurice Smith,martialbot,Maurice Smith,Maurice Smith,https://www.martialbot.com/mma/fighters/maurice-smith-57d787aff543fd7ba3882a48d601b033,,188 cm,,,
Mike van Arsdale,martialbot,Mike van Arsdale,Mike van Arsdale,https://www.martialbot.com/mma/fighters/mike-van-arsdale-c46628630912851f7487d46e338d7c63,,188 cm,,,
Murilo Bustamante,martialbot,Murilo Bustamante,Murilo Bustamante,https://www.martialbot.com/mma/fighters/murilo-bustamante-dd20e13010ab3decb15540f8f617b2c5,,185 cm,,,
Oleg Taktarov,martialbot,Oleg Taktarov,Oleg Taktarov,https://www.martialbot.com/mma/fighters/oleg-taktarov-fec5a57c0d690cb6f5d38832b7d91ab8,,183 cm,,,
Pat Miletich,martialbot,Pat Miletich,Pat Miletich,https://www.martialbot.com/mma/fighters/pat-miletich-0c05307922b24cae6790eed160f69804,,178 cm,,,
Patrick Smith,martialbot,Patrick Smith,Patrick Smith,https://www.martialbot.com/mma/fighters/patrick-smith-0d62c17098b5f99e75621d360b1cfc1e,,188 cm,,,
Paul Varelans,martialbot,Paul Varelans,Paul Varelans,https://www.martialbot.com/mma/fighters/paul-varelans-b31f6aa2c8d00e2f1a301a6f8e85b297,,203 cm,,,
Pedro Rizzo,martialbot,Pedro Rizzo,Pedro Rizzo,https://www.martialbot.com/mma/fighters/pedro-rizzo-6c9a1d86e5c1a3fa38fa58226729f34b,,196 cm,,,
Pete Spratt,tapology,Pete Spratt,Pete Spratt,https://www.tapology.com/fightcenter/fighters/pete-spratt-secret-weapon,,"71.0"" (180cm)",,,
Pete Williams,martialbot,Pete Williams,Pete Williams,https://www.martialbot.com/mma/fighters/pete-williams-6f5d83bc49b103616bb04701aa014fda,,191 cm,,,
Remco Pardoel,martialbot,Remco Pardoel,Remco Pardoel,https://www.martialbot.com/mma/fighters/remco-pardoel-d8155073ceba9b10c18144522d7736bb,,193 cm,,,
Renato Verissimo,martialbot,Renato Verissimo,Renato Verissimo,https://www.martialbot.com/mma/fighters/renato-verissimo-5291dc59540ccaaa48b7b275807cdca3,,185 cm,,,
Ricco Rodriguez,wikipedia,Ricco Rodriguez,Ricco Rodriguez,https://en.wikipedia.org/wiki/Ricco_Rodriguez,,77 in,,,
Royce Gracie,wikipedia,Royce Gracie,Royce Gracie,https://en.wikipedia.org/wiki/Royce_Gracie,,194 cm,,,
Sam Adkins,martialbot,Sam Adkins,Sam Adkins,https://www.martialbot.com/mma/fighters/sam-adkins-79fc81585599cd43b2e8cebcf61f4100,,191 cm,,,
Scott Ferrozzo,martialbot,Scott Ferrozzo,Scott Ferrozzo,https://www.martialbot.com/mma/fighters/scott-ferrozzo-4d406c34178562d9fa41a620bf2a07f3,,180 cm,,,
Shonie Carter,martialbot,Shonie Carter,Shonie Carter,https://www.martialbot.com/mma/fighters/shonie-carter-5688f15384fd9a3e826f71fe4b10897c,,175 cm,,,
Steve Jennum,fightdx,Steve Jennum,Steve Jennum,https://fightdx.com/person/steve-jennum,,"5'10"" (1.78m)",,,
Steve Nelmark,fightdx,Steve Nelmark,Steve Nelmark,https://fightdx.com/person/steve-nelmark,,"6'0"" (1.83m)",,,
Tiki Ghosn,tapology,Tiki Ghosn,Tiki Ghosn,https://www.tapology.com/fightcenter/fighters/tiki-ghosn,,"70.0"" (178cm)",,,
Tony Fryklund,tapology,Tony Fryklund,Tony Fryklund,https://www.tapology.com/fightcenter/fighters/tony-fryklund-the-freak,,"68.0"" (173cm)",,,
Tra Telligman,wikipedia,Tra Telligman,Tra Telligman,https://en.wikipedia.org/wiki/Tra_Telligman,,75 in,,,
Tsuyoshi Kohsaka,martialbot,Tsuyoshi Kosaka,Tsuyoshi Kosaka,https://www.martialbot.com/mma/fighters/tsuyoshi-kosaka-820648819850d301a2eaa306dcc06193,,180 cm,,,
Waylon Lowe,tapology,Waylon Lowe,Waylon Lowe,https://www.tapology.com/fightcenter/fighters/waylon-lowe,,"65.0"" (165cm)",,,
Wesley Correira,wikipedia,Wesley Correira,Wesley Correira,https://en.wikipedia.org/wiki/Wesley_Correira,,200 cm,,,
