event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2016-04-09,Alex Pereira,Andres Vernaza,Alex Pereira,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2017-02-20,Alex Pereira,Juan David Hoyos,Alex Pereira,SUB,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2017-02-20,Alex Pereira,Brainer Sneider Uribe,Brainer Sneider Uribe,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2015-05-29,Brandon Moreno,Andres Felipe Molano,Andres Felipe Molano,KO/TKO,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-09-11,Alex Pereira,Andres Aguirre,Alex Pereira,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2017-02-20,Alex Pereira,Gibson Lopez,Alex Pereira,KO/TKO,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-04-09,Alex Pereira,German Cordoba,Alex Pereira,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-05-08,Alex Pereira,Carlos Garcia,Carlos Garcia,SUB,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-09-11,Alex Pereira,Luis Merchan,Alex Pereira,KO/TKO,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-05-08,Alex Pereira,Jhon Alexander Ruiz,Alex Pereira,SUB,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2009-10-09,Aaron Phillips,Cody Kidder,Aaron Phillips,SUB,1.0,,,0,tapology,United States Association Of Mixed Martial Arts Usamma,,,,,,,,,,,,,,,,
2008-10-10,Aaron Phillips,Keith Faul,Keith Faul,U-DEC,,,,0,tapology,United States Association Of Mixed Martial Arts Usamma,,,,,,,,,,,,,,,,
2012-06-08,Albert Tumenov,Islam Dadilov,Albert Tumenov,KO/TKO,1.0,,,0,tapology,International Federation Of Full Contact Fighting Mma,,,,,,,,,,,,,,,,
2015-07-11,Brendan Allen,James Duckett,Brendan Allen,SUB,1.0,,,1,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-11-13,Darian Weeks,Murad Guseinov,Murad Guseinov,U-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2015-07-09,Brendan Allen,Imad Hoayek,Brendan Allen,SUB,2.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2015-07-06,Brendan Allen,Colton Boxell,Brendan Allen,SUB,2.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-11-12,Darian Weeks,Shadi Morjan,Darian Weeks,KO/TKO,1.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2017-11-15,Darian Weeks,Joseph Luciano,Joseph Luciano,U-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2017-11-13,Darian Weeks,Meirambek Demeubayev,Darian Weeks,KO/TKO,3.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2016-07-06,Alex Pereira,Abdul Hussein,Abdul Hussein,SUB,1.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2017-11-14,Darian Weeks,Jussi Pirttikangas,Darian Weeks,U-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-03-18,Darian Weeks,Corey Reeves,Darian Weeks,KO/TKO,3.0,,,1,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-03-16,Darian Weeks,Cody Barnwell,Darian Weeks,S-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2010-10-16,Bill Algeo,Adam Renn,Bill Algeo,U-DEC,,,,0,tapology,American Mixed Martial Arts Fight League Ammafl,,,,,,,,,,,,,,,,
2017-12-02,Cameron Saaiman,Righard Burger,Cameron Saaiman,Win,,,,1,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2018-05-12,Cameron Saaiman,Dylan Swanepoel,Cameron Saaiman,SUB,,,,0,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2017-08-05,Cameron Saaiman,Gift Walker,Cameron Saaiman,U-DEC,,,,0,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2019-03-02,Cameron Saaiman,Gift Walker,Cameron Saaiman,SUB,3.0,,,1,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2011-12-09,Amanda Cooper,Al-Lanna Jones,Al-Lanna Jones,U-DEC,,,,0,tapology,Capital City Cage Fight Championships Cccfc,,,,,,,,,,,,,,,,
2013-02-07,Amanda Cooper,Lauren Foley,Amanda Cooper,KO/TKO,,,,0,tapology,Capital City Cage Fight Championships Cccfc,,,,,,,,,,,,,,,,
2018-10-12,Gadzhi Omargadzhiev,Denis Maher,Denis Maher,KO/TKO,1.0,,,0,tapology,World Mixed Martial Arts Association Wmmaa,,,,,,,,,,,,,,,,
2018-10-12,Gadzhi Omargadzhiev,Axel Sola,Gadzhi Omargadzhiev,U-DEC,,,,0,tapology,World Mixed Martial Arts Association Wmmaa,,,,,,,,,,,,,,,,
2004-08-21,Bryan Caraway,Pete Iverson,Bryan Caraway,KO/TKO,2.0,,,0,tapology,Pacific Pankration Kickboxing Association,,,,,,,,,,,,,,,,
2001-08-15,Benji Radach,Eric Perez,Benji Radach,KO/TKO,1.0,,,0,tapology,Pacific Pankration Kickboxing Association,,,,,,,,,,,,,,,,
2013-12-07,Randy Brown,Nicholas Willey,Nicholas Willey,U-DEC,3.0,3.0,,0,sherdog,Xtreme Caged Combat / Xtreme Fight Events,,,,,,,,,,,,,,,,
2001-08-15,Brad Blackburn,Pat Healy,Brad Blackburn,KO/TKO,1.0,,,0,tapology,Pacific Pankration Kickboxing Association,,,,,,,,,,,,,,,,
2009-10-09,Daniel Spohn,Jason Butcher,Jason Butcher,SUB,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2008-12-06,Barb Honchak,Jessica Eye,Jessica Eye,U-DEC,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2010-07-09,Frankie Perez,Brandon Suber,Brandon Suber,U-DEC,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2011-04-15,Bill Algeo,Aaron Bartow,Bill Algeo,SUB,1.0,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2006-09-16,Daniel Spohn,Chuck Ellison,Chuck Ellison,KO/TKO,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2011-02-25,Bill Algeo,Victer Crenshaw,Bill Algeo,KO/TKO,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2009-08-29,Daniel Spohn,Lewis Rumsey,Daniel Spohn,KO/TKO,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2014-08-02,Aleksa Camur,George Howard,Aleksa Camur,KO/TKO,1.0,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2009-06-12,Daniel Spohn,Josh Moore,Daniel Spohn,U-DEC,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2010-06-05,Frankie Perez,Kenny Jackson,Frankie Perez,U-DEC,,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2015-01-31,Aleksa Camur,Ricky Davis,Aleksa Camur,KO/TKO,2.0,,,0,tapology,North American Allied Fight Series Naafs,,,,,,,,,,,,,,,,
2013-07-13,Curtis Blaydes,Pete Juska,Curtis Blaydes,KO/TKO,1.0,,,0,tapology,American Predator Fighting Championship,,,,,,,,,,,,,,,,
2017-03-18,Serhiy Sidey,Kris Allard,Kris Allard,SUB,1.0,,,1,sherdog,Prospect Amateur Fighting Championships,,,,,,,,,,,,,,,,
2018-02-03,Darian Weeks,Laree Hutchison,Laree Hutchison,KO/TKO,1.0,,,0,tapology,UMMAF National Championship Tournament,,,,,,,,,,,,,,,,
2018-02-02,Darian Weeks,Ali Omar,Darian Weeks,U-DEC,,,,0,tapology,UMMAF National Championship Tournament,,,,,,,,,,,,,,,,
2001-05-19,Forrest Griffin,Keith Blizzard,Forrest Griffin,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2007-11-03,Charles Oliveira,Rui Machado,Charles Oliveira,SUB,1.0,,,0,sherdog,Circuito Nacional de Vale-Tudo Amador,,,,,,,,,,,,,,,,
2007-08-25,Aaron Phillips,Jimmy Guzman,Jimmy Guzman,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-11-04,Brian Bowles,Lionel Skinner,Brian Bowles,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2003-03-08,Bobby Voelker,Joe Garza,Bobby Voelker,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2002-11-16,Bobby Voelker,Ryan Begg,Bobby Voelker,KO/TKO,2.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2004-10-08,Bobby Voelker,Billy Carey,Bobby Voelker,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2006-04-28,Cale Yarbrough,Jerry Hinton,Cale Yarbrough,KO/TKO,3.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2001-05-19,Forrest Griffin,Jimmy Jennings,Forrest Griffin,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2003-10-04,Bobby Voelker,Ed Sun,Bobby Voelker,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2003-05-03,Bobby Voelker,Jay Hanewinkel,Bobby Voelker,KO/TKO,,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2006-02-11,Brian Bowles,Micah Miller,Micah Miller,SUB,3.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2001-08-26,Forrest Griffin,Kevin Brooks,Forrest Griffin,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2014-09-06,David Onama,Jimmy Yount,David Onama,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2004-11-06,Brian Bowles,Eric Manin,Brian Bowles,SUB,3.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2004-11-06,David Mitchell,Landon Gaddy,David Mitchell,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2004-02-27,Bobby Voelker,Demi Deeds,Bobby Voelker,KO/TKO,2.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-02-04,Brian Bowles,John Mangual,Brian Bowles,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-03-25,Bobby Voelker,Kris Ricks,Bobby Voelker,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2010-06-18,Damon Jackson,Paul Sanchez,Damon Jackson,SUB,,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2004-01-16,Alan Belcher,Joey Malone,Joey Malone,U-DEC,,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2001-03-10,Forrest Griffin,Keith Blizzard,Forrest Griffin,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-01-21,Bobby Voelker,Savant Young,Bobby Voelker,Win,,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2007-06-09,Gerald Meerschaert,Joshua Hereford,Gerald Meerschaert,SUB,3.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2001-08-26,Forrest Griffin,Kevin Jordan,Forrest Griffin,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2007-02-17,Cale Yarbrough,Thomas Hensley,Cale Yarbrough,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2003-05-17,Brandon Melendez,Alberto Rivera,Brandon Melendez,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2003-06-21,Bobby Voelker,Jason Purcell,Bobby Voelker,KO/TKO,2.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-10-14,Cale Yarbrough,Joel Negron,Cale Yarbrough,KO/TKO,,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2001-03-10,Forrest Griffin,Sean Gray,Forrest Griffin,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2007-04-27,Brad Morris,Jacobi Brown,Jacobi Brown,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2006-07-22,Erik Koch,Adam Mohr,Erik Koch,SUB,,,,0,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2010-10-01,Brian Houston,Mark Scudder,Brian Houston,KO/TKO,,,,0,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2010-12-11,Corey Anderson,Dan Moret,Dan Moret,SUB,,,,0,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2007-03-31,Al Iaquinta,Nick Mauriello,Al Iaquinta,U-DEC,,,,0,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2006-07-22,Abel Trujillo,Zach Micklewright,Zach Micklewright,KO/TKO,,,,0,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2002-07-20,Forrest Petz,Ed Willis,Forrest Petz,KO/TKO,1.0,,,1,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2009-04-25,Abel Trujillo,Randy Meade,Abel Trujillo,SUB,,,,0,tapology,Extreme Challenge Mixed Martial Arts,,,,,,,,,,,,,,,,
2011-09-30,DeAnna Bennett,Rianne Whiting,DeAnna Bennett,U-DEC,,,,0,tapology,Jeremy Horns Elite Fight Night Jhefn,,,,,,,,,,,,,,,,
2018-08-10,Gabriel Silva,Jordan Hughes,Gabriel Silva,SUB,1.0,,,0,tapology,Jeremy Horns Elite Fight Night Jhefn,,,,,,,,,,,,,,,,
2012-12-08,Benito Lopez,Matt Murray,Benito Lopez,KO/TKO,1.0,,,0,tapology,International Fighting Championship,,,,,,,,,,,,,,,,
2004-09-24,Brad Imes,Terroll Dees,Terroll Dees,KO/TKO,1.0,,,0,tapology,International Fighting Championship,,,,,,,,,,,,,,,,
2008-09-13,Frankie Perez,Robert Lawless,Robert Lawless,U-DEC,,,,0,tapology,New Breed Fighters Mma Fight League,,,,,,,,,,,,,,,,
2008-10-18,Frankie Perez,Ryan Smith,Frankie Perez,SUB,1.0,,,0,tapology,New Breed Fighters Mma Fight League,,,,,,,,,,,,,,,,
2010-02-13,Frankie Perez,Aaron Sifflet,Frankie Perez,SUB,2.0,,,1,tapology,New Breed Fighters Mma Fight League,,,,,,,,,,,,,,,,
2007-02-17,Al Iaquinta,Frank Clemens,Al Iaquinta,U-DEC,,,,0,tapology,New Breed Fighters Mma Fight League,,,,,,,,,,,,,,,,
2009-03-07,Frankie Perez,Dan Cion,Frankie Perez,SUB,1.0,,,0,tapology,New Breed Fighters Mma Fight League,,,,,,,,,,,,,,,,
2011-10-29,Themba Gorimbo,Marcel Teniers,Marcel Teniers,SUB,1.0,,,0,sherdog,UMF Muay Thai / Dragon Legends MMA,,,,,,,,,,,,,,,,
2004-04-10,Bristol Marunde,Rob Williams,Bristol Marunde,KO/TKO,1.0,,,0,tapology,UFCF: Everett Extreme Challenge 10,,,,,,,,,,,,,,,,
2011-03-05,Themba Gorimbo,Marcel Teniers,Marcel Teniers,SUB,1.0,,,0,sherdog,UMF Muay Thai / Dragon Legends MMA,,,,,,,,,,,,,,,,
2012-05-19,Themba Gorimbo,Barend Nienaber,Barend Nienaber,U-DEC,3.0,3.0,,0,sherdog,UMF Muay Thai / Dragon Legends MMA,,,,,,,,,,,,,,,,
2012-01-21,Austin Hubbard,Chris Breshears,Austin Hubbard,KO/TKO,,,,0,tapology,Quad Cities Fighting Championships,,,,,,,,,,,,,,,,
2012-06-09,Danny Martinez,Joe Hanley,Danny Martinez,U-DEC,,,,0,tapology,Rockford Cagefighting Championship,,,,,,,,,,,,,,,,
2014-04-19,Austin Hubbard,Shane Stuart,Austin Hubbard,KO/TKO,2.0,,,0,tapology,Quad Cities Fighting Championships,,,,,,,,,,,,,,,,
2013-02-22,Aliaskhab Khizriev,Artur Aslanyan,Aliaskhab Khizriev,U-DEC,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2018-05-13,Gadzhi Omargadzhiev,Ramazan Gamzatov,Gadzhi Omargadzhiev,Win,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2014-09-26,Gadzhi Omargadzhiev,Gerekhan Amirov,Gadzhi Omargadzhiev,SUB,2.0,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2018-08-18,Billy Ray Goff,Sanad Armouti,Sanad Armouti,KO/TKO,1.0,,,0,tapology,Cage Titans Fighting Championship,,,,,,,,,,,,,,,,
2019-10-19,Abdul Rakhman Yakhyaev,Kazbek Cheldiev,Kazbek Cheldiev,U-DEC,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2018-08-17,Brando Pericic,Garry Smith,Brando Pericic,KO/TKO,1.0,,,1,sherdog,Diamondback Fighting Championship,,,,,,,,,,,,,,,,
2014-09-26,Gadzhi Omargadzhiev,Sharaf Davlatmurodov,Sharaf Davlatmurodov,U-DEC,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2014-09-26,Damir Ismagulov,Yurik Smoyan,Damir Ismagulov,KO/TKO,2.0,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2016-12-10,Gadzhi Omargadzhiev,Eldar Medzhidov,Gadzhi Omargadzhiev,SUB,1.0,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2013-03-24,Bibulatov Magomed,Timur Aydemirov,Bibulatov Magomed,KO/TKO,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2014-12-20,Damir Ismagulov,Ramazan Sulebanov,Ramazan Sulebanov,KO/TKO,1.0,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2014-04-03,Damir Ismagulov,Alexander Chernikh,Damir Ismagulov,Win,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2017-10-08,Azamat Bekoev,Magomed Umalatov,Azamat Bekoev,U-DEC,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2013-04-22,Bibulatov Magomed,Musa Dzhantomirov,Musa Dzhantomirov,Loss,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2016-12-09,Gadzhi Omargadzhiev,Khusein Idrisov,Gadzhi Omargadzhiev,SUB,1.0,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2018-11-10,Brando Pericic,Tautala Peau,Brando Pericic,KO/TKO,1.0,,,1,sherdog,Diamondback Fighting Championship,,,,,,,,,,,,,,,,
2012-03-02,Bill Algeo,Myron Baker,Bill Algeo,U-DEC,,,,0,tapology,Xtreme Fight Events Xfe Cage Wars,,,,,,,,,,,,,,,,
2019-02-23,Nick Aguirre,Reiter Bird,Nick Aguirre,SUB,1.0,,,1,sherdog,Chicago Cagefighting Championship,,,,,,,,,,,,,,,,
2015-04-25,Gadzhi Omargadzhiev,Magomed Magomedov,Magomed Magomedov,Loss,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2016-04-09,Gadzhi Omargadzhiev,Murtazali Shamkhalov,Gadzhi Omargadzhiev,Win,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2015-10-24,Damir Ismagulov,Magomed Mamaev,Magomed Mamaev,SUB,1.0,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2017-11-04,Billy Ray Goff,Dion Rubio,Dion Rubio,SUB,2.0,,,0,tapology,Cage Titans Fighting Championship,,,,,,,,,,,,,,,,
2001-05-19,Benji Radach,Oz Preciado,Benji Radach,KO/TKO,1.0,,,0,tapology,UFCF: Everett Extreme Challenge 3,,,,,,,,,,,,,,,,
2014-09-26,Gadzhi Omargadzhiev,Khushkadam Zavurbekov,Gadzhi Omargadzhiev,U-DEC,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2016-02-13,Azamat Bekoev,Khetag Bekoev,Azamat Bekoev,Win,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2000-11-04,Brad Blackburn,Jason Dickson,Brad Blackburn,KO/TKO,1.0,,,0,tapology,UFCF: Everett Extreme Challenge 2,,,,,,,,,,,,,,,,
2014-09-27,Damir Ismagulov,Shakhban Suliemanov,Damir Ismagulov,KO/TKO,2.0,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2017-11-18,Gadzhi Omargadzhiev,Gadzhimurad Khebdeev,Gadzhi Omargadzhiev,Win,,,,1,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2015-02-21,Damir Ismagulov,Salamat Isbulaev,Salamat Isbulaev,Loss,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2014-09-26,Damir Ismagulov,Magomed Tsechoev,Damir Ismagulov,KO/TKO,2.0,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2014-09-26,Damir Ismagulov,Dmitriy Makarov,Damir Ismagulov,U-DEC,,,,0,tapology,Union Of Mixed Martial Arts Uomma,,,,,,,,,,,,,,,,
2017-11-18,Evan Elder,Benjamin Lewis,Evan Elder,KO/TKO,2.0,,,0,tapology,California Fighting Championship,,,,,,,,,,,,,,,,
2010-08-27,Bobby Nash,Adrian Brown,Bobby Nash,U-DEC,,,,0,tapology,Xtreme Cagefighting Championship,,,,,,,,,,,,,,,,
2004-10-09,Evan Dunham,Manuel Parks,Evan Dunham,KO/TKO,1.0,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2016-02-21,Brendon Marotte,James Straus,Brendon Marotte,SUB,1.0,,,0,sherdog,Peter Rogers / ASAP Fight League,,,,,,,,,,,,,,,,
2002-05-11,Brad Blackburn,Ryan Healy,Ryan Healy,S-DEC,,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2008-08-09,Daron Cruickshank,Tom Grisham,Daron Cruickshank,KO/TKO,,,,0,tapology,Xtreme Cagefighting Championship,,,,,,,,,,,,,,,,
2010-07-17,Bobby Nash,Dante Brown,Bobby Nash,SUB,1.0,,,0,tapology,Xtreme Cagefighting Championship,,,,,,,,,,,,,,,,
2011-08-19,Cameron VanCamp,Joe Lile,Joe Lile,SUB,,,,0,tapology,Legends Of Fighting Championship,,,,,,,,,,,,,,,,
2005-10-22,Evan Dunham,Justin Nelson,Justin Nelson,SUB,2.0,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2002-01-19,Brad Blackburn,Clayton Purvis,Brad Blackburn,KO/TKO,,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2013-05-03,Benito Lopez,Mike Olson,Benito Lopez,SUB,1.0,,,0,tapology,West Coast Fighting Championship,,,,,,,,,,,,,,,,
2016-09-24,Darrius Flowers,Chris Mabee,Darrius Flowers,KO/TKO,1.0,,,1,tapology,Ascendancy Fighting Championship,,,,,,,,,,,,,,,,
2011-10-21,Cameron VanCamp,Brad Woods,Cameron VanCamp,SUB,3.0,,,0,tapology,Legends Of Fighting Championship,,,,,,,,,,,,,,,,
2004-08-07,Evan Dunham,Loyal Newman,Evan Dunham,SUB,1.0,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2002-06-01,Alex Schoenauer,Joe Lake,Alex Schoenauer,Win,,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2014-02-15,Benito Lopez,Benji Amezquita,Benito Lopez,U-DEC,,,,1,tapology,West Coast Fighting Championship,,,,,,,,,,,,,,,,
2009-05-02,Austin Springer,Andreas Correa,Andreas Correa,SUB,2.0,,,0,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2013-01-18,Benito Lopez,Jeff Carson,Benito Lopez,KO/TKO,,,,0,tapology,West Coast Fighting Championship,,,,,,,,,,,,,,,,
2006-12-08,Dave Herman,James Powell,Dave Herman,SUB,,,,0,tapology,Legends Of Fighting Championship,,,,,,,,,,,,,,,,
2008-10-11,Daron Cruickshank,John Hahn,Daron Cruickshank,KO/TKO,,,,0,tapology,Xtreme Cagefighting Championship,,,,,,,,,,,,,,,,
2006-10-28,Dave Herman,Darrell McKay,Dave Herman,KO/TKO,,,,0,tapology,Legends Of Fighting Championship,,,,,,,,,,,,,,,,
2011-07-16,Austin Springer,Josh Spencer,Austin Springer,SUB,1.0,,,1,tapology,Full Contact Fighting Federation,,,,,,,,,,,,,,,,
2018-01-20,Evan Elder,Luis Felipe,Evan Elder,SUB,1.0,,,0,tapology,Shamrock Fighting Championships,,,,,,,,,,,,,,,,
2016-07-30,Farid Basharat,Jordan Garwood,Farid Basharat,U-DEC,,,,0,tapology,Battle Arena Mixed Martial Arts,,,,,,,,,,,,,,,,
2010-02-26,Carl Deaton,Ryan Brettingham,Ryan Brettingham,SUB,,,,0,tapology,Spyder Submissions Fight League,,,,,,,,,,,,,,,,
2018-03-09,Evan Elder,Colin Parr,Evan Elder,U-DEC,,,,0,tapology,Shamrock Fighting Championships,,,,,,,,,,,,,,,,
2015-07-25,Evan Elder,Jamese Taylor III,Evan Elder,SUB,3.0,,,0,tapology,Shamrock Fighting Championships,,,,,,,,,,,,,,,,
2018-07-14,Evan Elder,Brad Ragan,Evan Elder,SUB,1.0,,,1,tapology,Shamrock Fighting Championships,,,,,,,,,,,,,,,,
2011-04-02,Adam Cella,Josh Stewart,Adam Cella,SUB,,,,0,tapology,Shamrock Fighting Championships,,,,,,,,,,,,,,,,
2016-03-12,Cortavious Romious,Erion Zekthi,Erion Zekthi,S-DEC,,,,0,tapology,Shamrock Fighting Championships,,,,,,,,,,,,,,,,
