event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2003-02-14,Brian Geraghty,Sam Cleveland,Brian Geraghty,SUB,,,,0,tapology,Minnesota Regional,,,,,,,,,,,,,,,,
2015-06-06,Cortavious Romious,Rodney Cotton Jr.,Rodney Cotton Jr.,SUB,1.0,,,0,tapology,Prime Fight Series,,,,,,,,,,,,,,,,
2010-11-12,Corey Anderson,Kenneth Glenn,Kenneth Glenn,KO/TKO,,,,0,tapology,Wisconsin Regional,,,,,,,,,,,,,,,,
2012-04-28,Ryan MacDonald,Tyler Millard,Ryan MacDonald,SUB,3.0,,,0,sherdog,Disorderly Conduct,,,,,,,,,,,,,,,,
2010-01-30,Brad Katona,Derek DeSart,Brad Katona,SUB,,,,0,tapology,Minnesota Regional,,,,,,,,,,,,,,,,
2013-07-06,Grant Dawson,Reynold Reed,Grant Dawson,SUB,1.0,,,0,sherdog,Disorderly Conduct,,,,,,,,,,,,,,,,
2010-06-25,Aaron Phillips,Calvin Miller,Calvin Miller,U-DEC,,,,0,tapology,Louisiana Regional,,,,,,,,,,,,,,,,
2019-12-21,Jackson McVey,Anthony Kromvig,Jackson McVey,SUB,1.0,,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2013-04-21,Christian Aguilera,Joshua Jones,Christian Aguilera,KO/TKO,1.0,,,0,sherdog,GetDown Promotions,,,,,,,,,,,,,,,,
2009-12-19,Ali Bagautinov,Aslan Margushev,Ali Bagautinov,SUB,2.0,,,0,tapology,Challenge Cup 2009,,,,,,,,,,,,,,,,
2019-03-23,Nick Klein,Justin Stuart,Nick Klein,KO/TKO,1.0,,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2018-12-15,Quang Le,Elliot Jurries,Quang Le,SUB,1.0,,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2021-06-26,Dylan Budka,Cameron Kinzig,Cameron Kinzig,S-DEC,3.0,3.0,,0,sherdog,B2 Fighting Series,,,,,,,,,,,,,,,,
2013-02-02,Christian Aguilera,Matthew Martinez,Christian Aguilera,U-DEC,3.0,3.0,,0,sherdog,GetDown Promotions,,,,,,,,,,,,,,,,
2010-09-23,Aljamain Sterling,Eric Steppe,Aljamain Sterling,SUB,,,,1,tapology,Extreme Fight Club,,,,,,,,,,,,,,,,
2018-10-20,Quang Le,Jesse Ward,Quang Le,SUB,3.0,,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2010-10-15,Geoff Neal,Bobby Hernandez,Geoff Neal,KO/TKO,,,,0,tapology,Killeen Mma Fights,,,,,,,,,,,,,,,,
2012-10-13,Ryan MacDonald,Clayton Lemmer,Ryan MacDonald,SUB,1.0,,,0,sherdog,Disorderly Conduct,,,,,,,,,,,,,,,,
2021-05-01,Danny Barlow,Phillip Hazelwood,Danny Barlow,U-DEC,,,,1,tapology,Hub City Mma Hcmma,,,,,,,,,,,,,,,,
2014-02-01,Angel Pacheco,Chris Karge,Angel Pacheco,M-DEC,1.0,1.0,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2014-02-01,Angel Pacheco,Alex Wiggs,Alex Wiggs,U-DEC,2.0,2.0,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2017-03-18,Jamey Simmons,Elliot Jurries,Jamey Simmons,SUB,1.0,,,0,sherdog,Driller Promotions,,,,,,,,,,,,,,,,
2008-03-14,Austin Springer,Josh Roden,Austin Springer,KO/TKO,1.0,,,0,tapology,Xtreme Cage Combat,,,,,,,,,,,,,,,,
2015-12-19,Jamal Pogues,Adam Wamsley,Jamal Pogues,U-DEC,3.0,3.0,,1,sherdog,GetDown Promotions,,,,,,,,,,,,,,,,
2013-06-22,Christian Aguilera,Michael Santos Perez,Christian Aguilera,KO/TKO,2.0,,,0,sherdog,GetDown Promotions,,,,,,,,,,,,,,,,
2014-10-18,Yanis Ghemmouri,Nicolas Lorenz,Yanis Ghemmouri,KO/TKO,2.0,,,0,sherdog,Shooto Switzerland,,,,,,,,,,,,,,,,
2012-08-25,Bryce Mitchell,Wade Beck,Bryce Mitchell,KO/TKO,2.0,,,0,tapology,Kingdom Promotions,,,,,,,,,,,,,,,,
2012-10-13,Grant Dawson,Eric Mecham,Grant Dawson,SUB,1.0,,,0,sherdog,Disorderly Conduct,,,,,,,,,,,,,,,,
2018-10-06,MarQuel Mederos,Donovan Logan,MarQuel Mederos,KO/TKO,1.0,,,0,sherdog,Nemesis Promotions,,,,,,,,,,,,,,,,
2013-04-12,Grant Dawson,Daryl Holthus,Grant Dawson,SUB,1.0,,,0,sherdog,Disorderly Conduct,,,,,,,,,,,,,,,,
2024-04-19,Keiichiro Nakamura,Guilherme Yuri Nakagawa,Keiichiro Nakamura,KO/TKO,3.0,,,0,sherdog,Fighting Agent War,,,,,,,,,,,,,,,,
2012-04-28,Geoff Neal,Lester Clark,Geoff Neal,KO/TKO,,,,1,tapology,Killeen Mma Fights,,,,,,,,,,,,,,,,
2024-03-15,Keiichiro Nakamura,Jin Kyu Joo,Keiichiro Nakamura,KO/TKO,1.0,,,0,sherdog,Fighting Agent War,,,,,,,,,,,,,,,,
2018-04-27,Alden Coria,Kyle Broadwater,Alden Coria,S-DEC,3.0,3.0,,0,sherdog,Garcia Promotions,,,,,,,,,,,,,,,,
2018-12-08,Sedriques Dumas,Gabriel Henson,Sedriques Dumas,KO/TKO,1.0,,,0,sherdog,Impact Promotions,,,,,,,,,,,,,,,,
2015-12-12,Alex Gorgees,Mark Thomas,Alex Gorgees,KO/TKO,3.0,,,0,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
2008-06-29,Barb Honchak,Jennifer Gully,Barb Honchak,KO/TKO,,,,0,tapology,Missouri Regional,,,,,,,,,,,,,,,,
2017-04-01,Kevin Borjas,Moises Alcantara Quintanilla,Kevin Borjas,U-DEC,3.0,3.0,,0,sherdog,Pro Fighting Peru,,,,,,,,,,,,,,,,
2017-09-09,Darian Weeks,Treyvon Snead,Darian Weeks,KO/TKO,2.0,,,0,tapology,All In Promotions,,,,,,,,,,,,,,,,
2017-07-01,Kevin Borjas,Renato Noriega,Kevin Borjas,U-DEC,3.0,3.0,,0,sherdog,Pro Fighting Peru,,,,,,,,,,,,,,,,
2014-11-28,Rizvan Kuniev,Sergey Dyakonov,Rizvan Kuniev,SUB,1.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2012-12-21,Trevin Giles,Eric Thompson,Trevin Giles,KO/TKO,4.0,,,0,sherdog,Garcia Promotions,,,,,,,,,,,,,,,,
2006-07-29,Dan Barrera,Joe Ammerman,Dan Barrera,,,,,0,tapology,Kentucky Regional,,,,,,,,,,,,,,,,
2006-05-06,Cameron Dollar,Chris Cisneros,Cameron Dollar,U-DEC,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2006-12-16,Cameron Dollar,Corey Hill,Corey Hill,U-DEC,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2014-08-02,Jai Herbert,Mick Stanton,Jai Herbert,SUB,3.0,,,0,sherdog,BAMMA Fight Night,,,,,,,,,,,,,,,,
2015-04-19,Alex Gorgees,Mirko Nuotatore,Mirko Nuotatore,SUB,3.0,,,0,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
2016-08-27,Alex Gorgees,Blake Donnelly,Alex Gorgees,U-DEC,,,,1,tapology,Urban Fight Night,,,,,,,,,,,,,,,,
