event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2015-03-21,Leandro Silva,Drew Dober,UFC Fight Night: Maia vs LaFlare,wayback_bfo_v2,https://web.archive.org/web/20150322035319/https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934,2015-03-22,0.090498,0.19802,0.402685,0.082988,0.088889,0.324324
2015-04-11,Mirko Filipovic,Gabriel Gonzaga,UFC Fight Night: Gonzaga vs Cro Cop 2,wayback_bfo_v2,https://web.archive.org/web/20150425081007/https://www.bestfightodds.com/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936,2015-04-25,0.295858,0.034483,0.101112,0.440529,0.25641,0.088621
2015-04-11,Maryna Moroz,Joanne Wood,UFC Fight Night: Gonzaga vs Cro Cop 2,wayback_bfo_v2,https://web.archive.org/web/20150425081007/https://www.bestfightodds.com/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936,2015-04-25,0.064378,0.09375,0.086022,0.8,0.103448,0.390244
2015-08-01,Patrick Cummins,Rafael Cavalcante,UFC 190: Rousey vs Correia,wayback_bfo_v2,https://web.archive.org/web/20150906141019/https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960,2015-09-06,0.307692,0.090909,0.363636,0.333333,0.076923,0.111111
2015-12-10,Antonio Carlos Junior,Kevin Casey,UFC Fight Night: Namajunas vs. VanZant,wayback_bfo_v2,https://web.archive.org/web/20151213210814/https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023,2015-12-13,,,,,,0.133333
2015-12-19,Cole Miller,Jim Alers,UFC on FOX: Dos Anjos vs. Cowboy 2,wayback_bfo_v2,https://web.archive.org/web/20190915054205/https://www.bestfightodds.com/events/ufc-on-fox-26-lawler-vs-dos-anjos-1365,2019-09-15,0.307692,0.052632,0.2331,0.307692,0.052632,0.2331
2016-05-14,Cristiane Justino,Leslie Smith,UFC 198: Werdum vs Miocic,wayback_bfo_v2,https://web.archive.org/web/20170711103710/https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070,2017-07-11,0.81982,0.166667,0.1,0.058824,0.058824,0.047619
2016-05-14,Sergio Moraes,Luan Chagas,UFC 198: Werdum vs Miocic,wayback_bfo_v2,https://web.archive.org/web/20170711103710/https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070,2017-07-11,,,,,0.076923,
2016-06-04,Kevin Casey,Elvis Mutapcic,UFC 199: Rockhold vs. Bisping 2,wayback_bfo_v2,https://web.archive.org/web/20190717202806/https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081,2019-07-17,,,0.1,,,
2016-07-09,Brock Lesnar,Mark Hunt,UFC 200: Tate vs Nunes,wayback_bfo_v2,https://web.archive.org/web/20170711195053/https://www.bestfightodds.com/events/ufc-200-tate-vs-nunes-1102,2017-07-11,0.266667,0.140351,0.126984,0.595142,0.055556,0.083333
2016-07-30,Michael Graves,Bojan Velickovic,UFC 201: Lawler vs. Woodley,wayback_bfo_v2,https://web.archive.org/web/20190824212612/https://www.bestfightodds.com/events/ufc-201-lawler-vs-woodley-1129,2019-08-24,0.153846,0.222222,0.444444,0.076923,0.133333,0.25
2016-09-03,Jarjis Danho,Christian Colombo,UFC Fight Night: Arlovski vs. Barnett,wayback_bfo_v2,https://web.archive.org/web/20190820093315/https://www.bestfightodds.com/events/ufc-fight-night-93-arlovski-vs-barnett-1139,2019-08-20,0.347826,0.105263,0.222222,0.300752,0.1,0.210526
