event_date,fighter1,fighter2,event_name,bfo_url
2014-08-23,Sai Wang,Danny Mitchell,UFC Fight Night: Bisping vs Le,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835
2014-08-23,Alberto Mina,Shinsho Anzai,UFC Fight Night: Bisping vs Le,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835
2014-08-23,Yuta Sasaki,Roland Delorme,UFC Fight Night: Bisping vs Le,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835
2014-08-23,Colby Covington,Anying Wang,UFC Fight Night: Bisping vs Le,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835
2014-08-23,Royston Wee,Yao Zhikui,UFC Fight Night: Bisping vs Le,https://www.bestfightodds.com/events/ufc-fight-night-48-bisping-vs-le-835
2014-10-04,Rory MacDonald,Tarec Saffiedine,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Raphael Assuncao,Bryan Caraway,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Chad Laprise,Yosdenis Cedeno,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Elias Theodorou,Bruno Santos,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Nordine Taleb,Li Jingliang,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Mitch Gagnon,Roman Salazar,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Daron Cruickshank,Anthony Njokuani,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Olivier Aubin-Mercier,Jake Lindsey,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Paul Felder,Jason Saggo,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Chris Kelades,Paddy Holohan,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Albert Tumenov,Matt Dwyer,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-04,Pedro Munhoz,Jerrod Sanders,UFC Fight Night: MacDonald vs Saffiedine,https://www.bestfightodds.com/events/ufc-fight-night-54-macdonald-vs-saffiedine-861
2014-10-25,Neil Magny,William Macario,UFC 179: Aldo vs Mendes 2,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
2014-11-08,Juliana Lima,Nina Nunes,UFC Fight Night 56: Shogun vs Saint Preux,https://www.bestfightodds.com/events/ufc-fight-night-56-shogun-vs-st-preux-893
2014-12-12,KJ Noons,Daron Cruickshank,The Ultimate Fighter: A Champion Will Be Crowned Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
2014-12-12,Joanne Wood,Seo Hee Ham,The Ultimate Fighter: A Champion Will Be Crowned Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912
2015-01-03,Hector Lombard,Joshua Burkman,UFC 182: Jones vs Cormier,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
2015-01-31,Anderson Silva,Nick Diaz,UFC 183: Silva vs Diaz,https://www.bestfightodds.com/events/ufc-183-silva-vs-diaz-856
2015-02-22,Matt Dwyer,William Macario,UFC Fight Night: Bigfoot vs Mir,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
2015-02-22,Mike de la Torre,Tiago dos Santos e Silva,UFC Fight Night: Bigfoot vs Mir,https://www.bestfightodds.com/events/ufc-fight-night-61-bigfoot-vs-mir-923
2015-02-28,Roman Salazar,Norifumi Yamamoto,UFC 184: Rousey vs Zingano,https://www.bestfightodds.com/events/ufc-184-rousey-vs-zingano-896
2015-03-21,Leandro Silva,Drew Dober,UFC Fight Night: Maia vs LaFlare,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
2015-05-30,Rony Jason,Damon Jackson,UFC Fight Night: Condit vs Alves,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
2015-08-01,Patrick Cummins,Rafael Cavalcante,UFC 190: Rousey vs Correia,https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960
2015-09-05,Tiago dos Santos e Silva,Clay Collard,UFC 191: Johnson vs Dodson 2,https://www.bestfightodds.com/events/ufc-191-johnson-vs-dodson-ii-992
2015-09-26,Mizuto Hirota,Teruto Ishihara,UFC Fight Night: Barnett vs Nelson,https://www.bestfightodds.com/events/ufc-fight-night-75-nelson-vs-barnett-1003
2015-10-24,Nicolas Dalby,Darren Till,UFC Fight Night: Holohan vs Smolka,https://www.bestfightodds.com/events/ufc-fight-night-76-holohan-vs-smolka-976
2015-12-10,Antonio Carlos Junior,Kevin Casey,UFC Fight Night: Namajunas vs. VanZant,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
2015-12-19,Cole Miller,Jim Alers,UFC on FOX: Dos Anjos vs. Cowboy 2,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
2016-01-30,Damon Jackson,Levan Makashvili,UFC on FOX: Johnson vs. Bader,https://www.bestfightodds.com/events/ufc-on-fox-18-johnson-vs-bader-1038
2016-02-06,Ovince Saint Preux,Rafael Cavalcante,UFC Fight Night: Hendricks vs Thompson,https://www.bestfightodds.com/events/ufc-fight-night-82-hendricks-vs-thompson-1056
2016-05-14,Sergio Moraes,Luan Chagas,UFC 198: Werdum vs Miocic,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
2016-06-04,Kevin Casey,Elvis Mutapcic,UFC 199: Rockhold vs. Bisping 2,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
2016-07-09,Brock Lesnar,Mark Hunt,UFC 200: Tate vs Nunes,https://www.bestfightodds.com/events/ufc-200-tate-vs-nunes-1102
2016-07-30,Michael Graves,Bojan Velickovic,UFC 201: Lawler vs. Woodley,https://www.bestfightodds.com/events/ufc-201-lawler-vs-woodley-1129
2016-09-03,Jarjis Danho,Christian Colombo,UFC Fight Night: Arlovski vs. Barnett,https://www.bestfightodds.com/events/ufc-fight-night-93-arlovski-vs-barnett-1139
2016-11-12,Tyron Woodley,Stephen Thompson,UFC 205: Alvarez vs McGregor,https://www.bestfightodds.com/events/ufc-205-alvarez-vs-mcgregor-1188
2016-11-19,Ryan Bader,Rogerio Nogueira,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Thomas Almeida,Albert Morales,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Claudia Gadelha,Cortney Casey,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Krzysztof Jotko,Thales Leites,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Kamaru Usman,Warlley Alves,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Sergio Moraes,Zak Ottow,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Cezar Ferreira,Jack Hermansson,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Gadzhimurad Antigulov,Marcos Rogerio de Lima,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Johnny Eduardo,Manvel Gamburyan,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Luis Henrique,Christian Colombo,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Pedro Munhoz,Justin Scoggins,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-11-19,Francimar Barroso,Darren Stewart,UFC Fight Night: Bader vs. Nogueira,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
2016-12-09,Shane Burgos,Tiago dos Santos e Silva,UFC Fight Night: Lewis vs. Abdurakhimov,https://www.bestfightodds.com/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203
2016-12-30,Alex Oliveira,Tim Means,UFC 207: Nunes vs. Rousey,https://www.bestfightodds.com/events/ufc-207-nunes-vs-rousey-1210
2017-01-15,Nina Nunes,Jocelyn Jones-Lybarger,UFC Fight Night: Rodriguez vs. Penn,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
2017-03-11,Vitor Belfort,Kelvin Gastelum,UFC Fight Night: Belfort vs. Gastelum,https://www.bestfightodds.com/events/ufc-fight-night-106-belfort-vs-gastelum-1231
2017-03-11,Bethe Correia,Marion Reneau,UFC Fight Night: Belfort vs. Gastelum,https://www.bestfightodds.com/events/ufc-fight-night-106-belfort-vs-gastelum-1231
2017-05-13,Eddie Alvarez,Dustin Poirier,UFC 211: Miocic vs. Dos Santos,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
2017-06-03,Antonio Carlos Junior,Eric Spicely,UFC 212: Aldo vs. Holloway,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
2017-06-03,Deiveson Figueiredo,Marco Beltran,UFC 212: Aldo vs. Holloway,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
