event_date,fighter1,fighter2,event_name,bfo_url
2023-04-08,Israel Adesanya,Alex Pereira,UFC 287: Pereira vs. Adesanya 2,https://www.bestfightodds.com/events/ufc-287-2760
2023-04-08,Christian Rodriguez,Raul Rosas Jr.,UFC 287: Pereira vs. Adesanya 2,https://www.bestfightodds.com/events/ufc-287-2760
2023-04-22,Bobby Green,Jared Gordon,UFC Fight Night: Pavlovich vs. Blaydes,https://www.bestfightodds.com/events/ufc-fight-night-223-2770
2023-05-13,Ian Garry,Daniel Rodriguez,UFC Fight Night: Rozenstruik vs. Almeida,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-walker-2850
2023-06-10,Nassourdine Imavov,Chris Curtis,UFC 289: Nunes vs. Aldana,https://www.bestfightodds.com/events/ufc-289-2830
2023-06-10,Diana Belbita,Maria Oliveira,UFC 289: Nunes vs. Aldana,https://www.bestfightodds.com/events/ufc-289-2830
2023-06-17,Nicolas Dalby,Muslim Salikhov,UFC Fight Night: Vettori vs. Cannonier,https://www.bestfightodds.com/events/ufc-fight-night-227-2849
2023-06-17,Dan Argueta,Ronnie Lawrence,UFC Fight Night: Vettori vs. Cannonier,https://www.bestfightodds.com/events/ufc-fight-night-227-2849
2023-06-24,Austen Lane,Justin Tafa,UFC Fight Night: Emmett vs. Topuria,https://www.bestfightodds.com/events/ufc-fight-night-228-2848
2023-07-01,Ariane Lipski,Melissa Gatto,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Benoit Saint Denis,Ismael Bonfim,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Nursulton Ruziboev,Brunno Ferreira,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Rinat Fakhretdinov,Kevin Lee,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Joanderson Brito,Westin Wilson,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Karol Rosa,Yana Santos,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Elves Brener,Guram Kutateladze,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Luana Carolina,Ivana Petrovic,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-01,Alexandr Romanov,Blagoy Ivanov,UFC Fight Night: Strickland vs. Magomedov,https://www.bestfightodds.com/events/ufc-fight-night-strickland-vs-magomedov-2871
2023-07-08,Alexander Volkanovski,Yair Rodriguez,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Alexandre Pantoja,Brandon Moreno,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Dricus Du Plessis,Robert Whittaker,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Dan Hooker,Jalin Turner,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Bo Nickal,Val Woodburn,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Robbie Lawler,Niko Price,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Tatsuro Taira,Edgar Chairez,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Denise Gomes,Yazmin Jauregui,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-08,Alonzo Menifield,Jimmy Crute,UFC 290: Volkanovski vs. Rodriguez,https://www.bestfightodds.com/events/ufc-290-2834
2023-07-15,Mayra Bueno Silva,Holly Holm,UFC Fight Night: Holm vs. Bueno Silva,https://www.bestfightodds.com/events/ufc-fight-night-225-2891
2023-07-29,Bobby Green,Tony Ferguson,UFC 291: Poirier vs. Gaethje 2,https://www.bestfightodds.com/events/ufc-291-2900
2023-07-29,Uros Medic,Matthew Semelsberger,UFC 291: Poirier vs. Gaethje 2,https://www.bestfightodds.com/events/ufc-291-2900
2023-07-29,Miranda Maverick,Priscila Cachoeira,UFC 291: Poirier vs. Gaethje 2,https://www.bestfightodds.com/events/ufc-291-2900
2023-08-05,Billy Quarantillo,Damon Jackson,UFC Fight Night: Sandhagen vs. Font,https://www.bestfightodds.com/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936
2023-08-05,Cody Durden,Jake Hadley,UFC Fight Night: Sandhagen vs. Font,https://www.bestfightodds.com/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936
2023-08-05,Sean Woodson,Dennis Buzukja,UFC Fight Night: Sandhagen vs. Font,https://www.bestfightodds.com/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936
2023-08-05,Assu Almabayev,Ode Osbourne,UFC Fight Night: Sandhagen vs. Font,https://www.bestfightodds.com/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936
2023-08-19,Ian Garry,Neil Magny,UFC 292: Sterling vs. O'Malley,https://www.bestfightodds.com/events/ufc-292-sterling-vs-o-malley-2899
2023-08-19,Andre Petroski,Gerald Meerschaert,UFC 292: Sterling vs. O'Malley,https://www.bestfightodds.com/events/ufc-292-sterling-vs-o-malley-2899
2023-08-19,Natalia Silva,Andrea Lee,UFC 292: Sterling vs. O'Malley,https://www.bestfightodds.com/events/ufc-292-sterling-vs-o-malley-2899
2023-08-19,Karine Silva,Maryna Moroz,UFC 292: Sterling vs. O'Malley,https://www.bestfightodds.com/events/ufc-292-sterling-vs-o-malley-2899
2023-08-26,Billy Goff,Yusaku Kinoshita,UFC Fight Night: Holloway vs. The Korean Zombie,https://www.bestfightodds.com/events/ufc-on-espn-holloway-vs-the-korean-zombie-2935
2023-09-09,Charles Radtke,Blood Diamond,UFC 293: Adesanya vs. Strickland,https://www.bestfightodds.com/events/ufc-293-2925
2023-09-09,Gabriel Miranda,Shane Young,UFC 293: Adesanya vs. Strickland,https://www.bestfightodds.com/events/ufc-293-2925
2023-09-09,Kevin Jousset,Kiefer Crosbie,UFC 293: Adesanya vs. Strickland,https://www.bestfightodds.com/events/ufc-293-2925
2023-09-16,Alexa Grasso,Valentina Shevchenko,UFC Fight Night: Grasso vs. Shevchenko 2,https://www.bestfightodds.com/events/ufc-fight-night-grasso-vs-shevchenko-2-2951
2023-09-16,Edgar Chairez,Daniel Lacerda,UFC Fight Night: Grasso vs. Shevchenko 2,https://www.bestfightodds.com/events/ufc-fight-night-grasso-vs-shevchenko-2-2951
2023-09-16,Charlie Campbell,Alex Reyes,UFC Fight Night: Grasso vs. Shevchenko 2,https://www.bestfightodds.com/events/ufc-fight-night-grasso-vs-shevchenko-2-2951
2023-09-16,Josefine Knutsson,Marnic Mann,UFC Fight Night: Grasso vs. Shevchenko 2,https://www.bestfightodds.com/events/ufc-fight-night-grasso-vs-shevchenko-2-2951
