target_key,event_date,commence_time,commence_time_source_kind,commence_time_source_locator,commence_time_source_observed_at,commence_time_source_sha256,commence_time_source_event_id,commence_time_source_matchup,commence_time_semantics,event_id,event_title,fighter_a,fighter_b,a_num_fights,b_num_fights,established_fighters,status,terminal_reason,recovery_preconditions_met,target_recovery_complete,attempted_sources,success_source,source_url,original_source_url,observation_captured_at,validation_captured_at,page_sha256,parser_contract,revalidated_schema_v1,schema_v1_snapshot_path,schema_v1_snapshot_sha256,method_odds_complete,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2026-03-14|amanda lemos|gillian robertson,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,8bf690ee3554228af916f18025ebd118,Amanda Lemos vs Gillian Robertson,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Amanda Lemos,Gillian Robertson,14,19,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|andre fili|jose delgado,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,d0c59513ac377e457ffe6c7235491255,Andre Fili vs Jose Delgado,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Andre Fili,Jose Delgado,25,4,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|bia mesquita|montse rendon,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,2fa2caec33ff3299cf29af7b67e3de6c,Beatriz Mesquita vs Montserrat Rendon,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Bia Mesquita,Montse Rendon,1,3,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""no_unique_exact_matchup_scope"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""no_unique_exact_matchup_scope"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|bolaji oki|manoel sousa,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,f2be420c7186af5d40654ec5cb760d3a,Bolaji Oki vs Manoel Sousa,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Bolaji Oki,Manoel Sousa,5,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|brad tavares|eryk anders,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,9ba40c329bc6847cfcb561b5d2a47775,Brad Tavares vs Eryk Anders,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Brad Tavares,Eryk Anders,27,19,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|bruno silva|charles johnson,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,83262dbeb02cc9ba5e93ed3675422209,Charles Johnson vs Bruno Silva,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Charles Johnson,Bruno Silva,13,10,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:HTTPError"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|christopher curtis|myktybek orolbai,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,3a8d9a71fd650ed1d3faaa308799bda6,Chris Curtis vs Myktybek Orolbai,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Chris Curtis,Myktybek Orolbai,12,5,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:ReadTimeout"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|elijah smith|suyoung you,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,0a0aea0663679a40e2636794282c151b,Elijah Smith vs Su Young You,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Elijah Smith,SuYoung You,3,5,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|harry hardwick|marwan rahiki,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,b67ca60d798d3ee871f0ed06609548ed,Marwan Rahiki vs Harry Hardwick,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Marwan Rahiki,Harry Hardwick,1,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:ReadTimeout"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|hecher sosa|luan lacerda,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,20691f11f21e2b46197a9d553664344f,Luan Lacerda vs Enrique Hecher Sosa,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Luan Lacerda,Hecher Sosa,3,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|ion cutelaba|oumar sy,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,1ce9fd7a34ea24899ecfcee9f5c032b3,Ion Cutelaba vs Oumar Sy,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Ion Cutelaba,Oumar Sy,19,4,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|josh emmett|kevin vallejos,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,c3f0758b35c18f56a568a9820961b331,Josh Emmett vs Kevin Vallejos,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Josh Emmett,Kevin Vallejos,16,5,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|piera rodriguez|samuel hughes,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,785616af33c702956e89cd57401857c7,Piera Rodriguez vs Sam Hughes,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Piera Rodriguez,Sam Hughes,7,11,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|steven asplund|vitor petrino,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,75ddb788f9862d8b2ab4d6fd86b76cee,Vitor Petrino vs Steven Asplund,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Vitor Petrino,Steven Asplund,9,2,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:ReadTimeout"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|abdul kareem al selwady|shem rock,2026-03-21,2026-03-21T18:15:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,baefb616a7bd31129377c5fbce95746c,Shem Rock vs Abdul-Kareem Al-Selwady,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Shem Rock,Abdul-Kareem Al-Selwady,1,2,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:ReadTimeout"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|antonio trocoli|mantas kondratavicius,2026-03-21,2026-03-21T19:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,737ea39f53ee94793cc0de745ddec69f,Antonio Trocoli vs Mantas Kondratavicius,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Mantas Kondratavicius,Antonio Trocoli,1,4,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|austen lane|iwo baraniewski,2026-03-21,2026-03-21T21:15:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,50f77419e054669c2eb6bb90af2b2d40,Austen Lane vs Iwo Baraniewski,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Iwo Baraniewski,Austen Lane,2,8,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|axel sola|mason jones,2026-03-21,2026-03-21T19:40:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,e267938a4c4fe2a65fe4d8ffe7d1daf5,Axel Sola vs Mason Jones,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Mason Jones,Axel Sola,6,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|brando pericic|louie sutherland,2026-03-21,2026-03-21T19:15:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,447f582a50cac08edb31625e9e3effd8,Brando Pericic vs Louie Sutherland,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Louie Sutherland,Brando Pericic,1,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|christian leroy duncan|roman dolidze,2026-03-21,2026-03-21T20:45:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,88e5ba0f505ac05b4445417e7b625a71,Roman Dolidze vs Christian Leroy Duncan,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Roman Dolidze,Christian Leroy Duncan,13,8,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|daniel silva|kurtis campbell,2026-03-21,2026-03-21T20:15:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,3810a2c4d3b20ce5b7944b57228a88fb,Danny Silva vs Kurtis Campbell,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Kurtis Campbell,Danny Silva,1,4,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|felipe franco|mario pinto,2026-03-21,2026-03-21T18:45:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,ba343783947d6f59045ec2a9c20ce332,Felipe Franco vs Mario Pinto,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Mario Pinto,Felipe Franco,3,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|lerone murphy|movsar evloev,2026-03-21,2026-03-21T22:45:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,ffe58126a19e4ffbae3be0ce82d84fe6,Movsar Evloev vs Lerone Murphy,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Movsar Evloev,Lerone Murphy,9,10,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-21|losene keita|nathaniel wood,2026-03-21,2026-03-21T19:20:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-20T12:00:00Z,2026-03-20T11:55:37Z,b897ea33dbedae20305ccf28ebce1d412471095188e2093c833f3dd5383228ac,a3cab9bf9a0a314118f2ddc81cc002b7,Losene Keita vs Nathaniel Wood,scheduled_bout_time,,UFC Fight Night: Evloev vs. Murphy,Nathaniel Wood,Losene Keita,13,0,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
