tour,tourney_id,tourney_name,tourney_level,surface,draw_size,tourney_date,match_num,round,best_of,minutes,score,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_age,loser_age,winner_hand,loser_hand,winner_ht,loser_ht,winner_seed,loser_seed,winner_entry,loser_entry
atp,2025-339,Brisbane,250,Hard,32,20241229,1,R32,3,,6-3 6-2,M. Arnaldi,A. Popyrin,a0fc,p09z,,,,,,,,,,,,7,,
atp,2025-339,Brisbane,250,Hard,32,20241229,2,R32,3,,7-6 6-7 4-6,B. Bonzi,A. Tabilo,bm95,te30,,,,,,,,,,,,6,Q,
atp,2025-339,Brisbane,250,Hard,32,20241229,3,R32,3,,6-3 6-3,N. Djokovic,R. Hijikata,d643,h0bh,,,,,,,,,,,1,,,WC
atp,2025-339,Brisbane,250,Hard,32,20241229,4,R32,3,,6-7 3-6,G. Dimitrov,Y. Hanfmann,d875,h997,,,,,,,,,,,2,,,Q
atp,2025-339,Brisbane,250,Hard,32,20241229,5,R32,3,,5-7 6-7,N. Jarry,M. Navone,j551,n0bs,,,,,,,,,,,,,,
atp,2025-339,Brisbane,250,Hard,32,20241229,6,R32,3,,7-5 6-3,J. Lehecka,H. Rune,l0bv,r0dg,,,,,,,,,,,,3,,
atp,2025-339,Brisbane,250,Hard,32,20241229,7,R32,3,,4-6 4-6,D. Lajovic,A. Cazaux,l987,c0h0,,,,,,,,,,,,,LL,
atp,2025-339,Brisbane,250,Hard,32,20241229,8,R32,3,,7-6 6-7 7-6,G. Mpetshi Perricard,N. Kyrgios,m0gz,ke17,,,,,,,,,,,,,,PR
atp,2025-339,Brisbane,250,Hard,32,20241229,9,R32,3,,7-6 6-4,J. Mensik,M. Kukushkin,m0ni,k926,,,,,,,,,,,,,,Q
atp,2025-339,Brisbane,250,Hard,32,20241229,10,R32,3,,6-4 4-6 7-6,A. Michelsen,C. O'Connell,m0qi,o483,,,,,,,,,,,,,,
