event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2026-06-14,Mauricio Ruffy,Michael Chandler,2026-06-14,0,0.795021,0.204979,1.20627,4.678571,7,https://www.bestfightodds.com/events/ufc-freedom-fights-250-4082,https://www.bestfightodds.com/fighters/Mauricio-Ruffy-16595,Michael Chandler | +500 | +340 | ... | +400 | Jun 15th 2026
2026-06-20,Allan Nascimento,Mitch Raposo,2026-06-20,0,0.473227,0.526773,2.424507,2.17806,7,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Allan-Nascimento-6373,Mitch Raposo | +210 | +130 | ... | +140 | Jun 20th 2026
2026-06-20,Andre Lima,Kevin Borjas,2026-06-20,0,0.689472,0.310528,2.372262,5.267182,6,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Andre-Lima-16132,Kevin Borjas | +450 | +450 | ... | +600 | Jun 20th 2026
2026-06-20,Bia Mesquita,Melissa Mullins,2026-06-20,0,0.818066,0.181934,1.202788,5.408333,6,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Bia-Mesquita-14422,Melissa Mullins | +450 | +400 | ... | +650 | Jun 20th 2026
2026-06-20,Hyder Amil,Christian Rodriguez,2026-06-20,0,0.314554,0.685446,3.12,1.431782,7,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Hyder-Amil-8178,Christian Rodriguez | -170 | -240 | ... | -188 | Jun 20th 2026
2026-06-20,Ion Cutelaba,Navajo Stirling,2026-06-20,0,0.208463,0.791537,4.767143,1.255499,7,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Ion-Cutelaba-4315,Navajo Stirling | -350 | -420 | ... | -333 | Jun 20th 2026
2026-06-20,Karol Rosa,Luana Santos,2026-06-20,0,0.179791,0.820209,8.282646,1.815571,7,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Karol-Rosa-9417,Luana Santos | +100 | -120 | ... | +100 | Jun 20th 2026
2026-06-20,Leon Shahbazyan,Levan Chokheli,2026-06-20,0,0.241456,0.758544,3.966667,1.262653,6,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Leon-Shahbazyan-9169,Levan Chokheli | -255 | -420 | ... | -350 | Jun 20th 2026
2026-06-20,Manel Kape,Kyoji Horiguchi,2026-06-20,0,0.555079,0.444921,1.793936,2.238097,7,https://www.bestfightodds.com/events/ufc-vegas-119-4226,https://www.bestfightodds.com/fighters/Manel-Kape-7510,Kyoji Horiguchi | +235 | +130 | ... | +150 | Jun 21st 2026
2026-06-20,Melsik Baghdasaryan,Murtazali Magomedov,2026-06-20,0,0.193159,0.806841,5.091429,1.218896,7,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Melsik-Baghdasaryan-10282,Murtazali Magomedov | -500 | -600 | ... | -333 | Jun 20th 2026
2026-06-20,Shane Collins,Otari Tanzilovi,2026-06-20,0,0.780011,0.219989,1.381962,4.9,6,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Shane-Collins-17726,Otari Tanzilovi | +145 | +170 | ... | +185 | Jun 20th 2026
2026-06-20,Vinicius Oliveira,Andre Fili,2026-06-20,0,0.709485,0.290515,1.347167,3.29,6,https://www.bestfightodds.com/events/ufc-vegas-119-4225,https://www.bestfightodds.com/fighters/Vinicius-Oliveira-16540,Andre Fili | +190 | +205 | ... | +230 | Jun 20th 2026
2026-06-27,Abdul Rakhman Yakhyaev,Julius Walker,2026-06-27,0,0.834429,0.165571,1.155399,5.822857,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Abdul-Rakhman-Yakhyaev-21618,Julius Walker | +385 | +440 | ... | +530 | Jun 27th 2026
2026-06-27,Abus Magomedov,Michal Oleksiejczuk,2026-06-27,0,0.508473,0.491527,1.926539,1.992959,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Abus-Magomedov-16645,Michal Oleksiejczuk | +165 | -125 | ... | -110 | Jun 27th 2026
2026-06-27,Asu Almabayev,Charles Johnson,2026-06-27,0,0.815746,0.184254,1.283271,5.681429,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Asu-Almabayev-16167,Charles Johnson | +275 | +210 | ... | +290 | Jun 27th 2026
2026-06-27,Bekzat Almakhan,Jean Matsumoto,2026-06-27,0,0.430169,0.569831,2.324113,1.754485,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Bekzat-Almakhan-15004,Jean Matsumoto | -175 | -190 | ... | -175 | Jun 27th 2026
2026-06-27,Daniil Donchenko,Theodor Berggren,2026-06-27,0,0.812851,0.187149,1.182652,5.136667,6,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Daniil-Donchenko-19821,Theodor Berggren | +525 | +350 | ... | +430 | Jun 27th 2026
2026-06-27,Farman Hasanov,Eric Nolan,2026-06-27,0,0.711668,0.288332,1.515261,3.74,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Farman-Hasanov-17227,Eric Nolan | -110 | +138 | ... | +145 | Jun 27th 2026
2026-06-27,Ikram Aliskerov,Brunno Ferreira,2026-06-27,0,0.822712,0.177288,1.317885,6.115714,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Ikram-Aliskerov-10994,Brunno Ferreira | +250 | +200 | ... | +240 | Jun 27th 2026
2026-06-27,Kaan Ofli,Javier Reyes,2026-06-27,0,0.354408,0.645592,2.757664,1.513865,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Kaan-Ofli-18252,Javier Reyes | -175 | -260 | ... | -220 | Jun 27th 2026
2026-06-27,Nazim Sadykhov,Matheus Camilo,2026-06-27,0,0.629829,0.370171,1.521386,2.588571,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Nazim-Sadykhov-9868,Matheus Camilo | +170 | +150 | ... | +170 | Jun 27th 2026
2026-06-27,Nursulton Ruziboev,Andrey Pulyaev,2026-06-27,0,0.658415,0.341585,1.494882,2.881429,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Nursulton-Ruziboev-10851,Andrey Pulyaev | +190 | +143 | ... | +175 | Jun 27th 2026
2026-06-27,Rafael Fiziev,Manuel Torres,2026-06-27,0,0.492205,0.507795,1.950327,1.890448,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Rafael-Fiziev-8258,Manuel Torres | +108 | -113 | ... | -104 | Jun 27th 2026
2026-06-27,Shara Magomedov,Michel Pereira,2026-06-27,0,0.821873,0.178127,1.230734,5.678571,7,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Shara-Magomedov-17740,Michel Pereira | +250 | +260 | ... | +335 | Jun 27th 2026
2026-06-27,Tahir Abdullayev,Jefferson Nascimento,2026-06-27,0,0.689447,0.310553,2.031864,4.510855,6,https://www.bestfightodds.com/events/ufc-fight-night-4230,https://www.bestfightodds.com/fighters/Tahir-Abdullayev-22321,Jefferson Nascimento | -200 | -160 | ... | -120 | Jun 27th 2026
