event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,event_date_dt,fight_key
2022-02-05,Shavkat Rakhmonov,Carlston Harris,2022-01-29,7,0.6778092480047596,0.3221907519952404,1.41,2.967857142857143,14,2022-02-05,2022-02-05|carlston harris|shavkat rakhmonov
2022-02-05,Jack Hermansson,Sean Strickland,2022-01-29,7,0.3436612459324368,0.6563387540675633,2.787857142857144,1.4592857142857143,14,2022-02-05,2022-02-05|jack hermansson|sean strickland
2022-02-05,Julian Erosa,Steven Peterson,2022-01-29,7,0.7029375222371572,0.2970624777628428,1.362142857142857,3.2342857142857144,14,2022-02-05,2022-02-05|julian erosa|steven peterson
2022-02-05,Hakeem Dawodu,Michael Trizano,2022-01-29,7,0.6157597648309724,0.3842402351690277,1.5533333333333337,2.49,6,2022-02-05,2022-02-05|hakeem dawodu|michael trizano
2022-02-05,Miles Johns,John Castaneda,2022-02-02,3,0.6447949594851174,0.3552050405148824,1.4821428571428572,2.6907142857142863,14,2022-02-05,2022-02-05|john castaneda|miles johns
2022-02-05,Alexis Davis,Julija Stoliarenko,2022-02-02,3,0.6634902944873593,0.3365097055126407,1.4378571428571427,2.836428571428571,14,2022-02-05,2022-02-05|alexis davis|julija stoliarenko
2022-02-05,Shavkat Rakhmonov,Carlston Harris,2022-02-02,3,0.6737351931654006,0.3262648068345993,1.417857142857143,2.9292857142857143,14,2022-02-05,2022-02-05|carlston harris|shavkat rakhmonov
2022-02-05,Jack Hermansson,Sean Strickland,2022-02-02,3,0.3395605425074822,0.6604394574925178,2.822142857142857,1.4507142857142856,14,2022-02-05,2022-02-05|jack hermansson|sean strickland
2022-02-05,Julian Erosa,Steven Peterson,2022-02-02,3,0.7134895123820915,0.2865104876179083,1.3300000000000003,3.323571428571429,14,2022-02-05,2022-02-05|julian erosa|steven peterson
2022-02-05,Hakeem Dawodu,Michael Trizano,2022-02-02,3,0.6099180025796942,0.3900819974203058,1.5650000000000002,2.4466666666666668,6,2022-02-05,2022-02-05|hakeem dawodu|michael trizano
2022-02-05,Miles Johns,John Castaneda,2022-02-04,1,0.6358145681329187,0.3641854318670812,1.506,2.6300000000000003,15,2022-02-05,2022-02-05|john castaneda|miles johns
2022-02-05,Alexis Davis,Julija Stoliarenko,2022-02-04,1,0.6710507186930867,0.3289492813069132,1.4246666666666663,2.91,15,2022-02-05,2022-02-05|alexis davis|julija stoliarenko
2022-02-05,Sam Alvey,Brendan Allen,2022-02-04,1,0.2344324210617808,0.7655675789382193,4.075,1.247142857142857,14,2022-02-05,2022-02-05|brendan allen|sam alvey
2022-02-05,Shavkat Rakhmonov,Carlston Harris,2022-02-04,1,0.6733242533700234,0.3266757466299764,1.4199999999999997,2.927333333333334,15,2022-02-05,2022-02-05|carlston harris|shavkat rakhmonov
2022-02-05,Jack Hermansson,Sean Strickland,2022-02-04,1,0.339541184989573,0.6604588150104271,2.818666666666667,1.4486666666666668,15,2022-02-05,2022-02-05|jack hermansson|sean strickland
2022-02-05,Julian Erosa,Steven Peterson,2022-02-04,1,0.7226334112274471,0.2773665887725529,1.3233333333333337,3.45,15,2022-02-05,2022-02-05|julian erosa|steven peterson
2022-02-05,Hakeem Dawodu,Michael Trizano,2022-02-04,1,0.6062511161195372,0.3937488838804628,1.5785714285714287,2.43,7,2022-02-05,2022-02-05|hakeem dawodu|michael trizano
2022-02-12,William Knight,Maxim Grishin,2022-02-05,7,0.3804367411525672,0.6195632588474329,2.5242857142857145,1.55,7,2022-02-12,2022-02-12|maxim grishin|william knight
2022-02-12,Douglas Silva de Andrade,Sergey Morozov,2022-02-05,7,0.3458358520913192,0.6541641479086807,2.765833333333333,1.461666666666667,12,2022-02-12,2022-02-12|douglas silva de andrade|sergey morozov
2022-02-12,Roxanne Modafferi,Casey O'Neill,2022-02-05,7,0.2503098287161355,0.7496901712838646,3.825,1.2766666666666664,12,2022-02-12,2022-02-12|casey o'neill|roxanne modafferi
2022-02-12,Israel Adesanya,Robert Whittaker,2022-02-05,7,0.6966163421074548,0.3033836578925453,1.3761538461538458,3.161538461538462,13,2022-02-12,2022-02-12|israel adesanya|robert whittaker
2022-02-12,Derrick Lewis,Tai Tuivasa,2022-02-05,7,0.6249204142475652,0.3750795857524349,1.531666666666667,2.5525,12,2022-02-12,2022-02-12|derrick lewis|tai tuivasa
2022-02-12,Andrei Arlovski,Jared Vanderaa,2022-02-05,7,0.5896438140839884,0.4103561859160116,1.625,2.335,12,2022-02-12,2022-02-12|andrei arlovski|jared vanderaa
2022-02-12,Alexander Hernandez,Renato Moicano,2022-02-05,7,0.3904406981366994,0.6095593018633007,2.4491666666666663,1.5683333333333334,12,2022-02-12,2022-02-12|alexander hernandez|renato moicano
2022-02-12,Bobby Green,Nasrat Haqparast,2022-02-05,7,0.6044839525826504,0.3955160474173496,1.5816666666666668,2.4174999999999995,12,2022-02-12,2022-02-12|bobby green|nasrat haqparast
2022-02-12,Jared Cannonier,Derek Brunson,2022-02-05,7,0.6176098060872472,0.3823901939127528,1.5508333333333333,2.505,12,2022-02-12,2022-02-12|derek brunson|jared cannonier
2022-02-12,William Knight,Maxim Grishin,2022-02-09,3,0.3892787584736882,0.6107212415263118,2.458,1.5666666666666669,15,2022-02-12,2022-02-12|maxim grishin|william knight
2022-02-12,Douglas Silva de Andrade,Sergey Morozov,2022-02-09,3,0.359411790176655,0.640588209823345,2.6206666666666663,1.438,15,2022-02-12,2022-02-12|douglas silva de andrade|sergey morozov
