event_date,fighter_a,fighter_b
2010-09-15,Nate Marquardt,Rousimar Palhares
2010-09-15,Jared Hamman,Kyle Kingsbury
2010-09-15,Efrain Escudero,Charles Oliveira
2010-09-15,Cole Miller,Ross Pearson
2010-09-15,Brian Foster,Forrest Petz
2010-09-15,Jim Miller,Gleison Tibau
2010-09-25,Thiago Tavares,Pat Audinwood
2010-09-25,TJ Grant,Julio Paulino
2010-09-25,Steve Lopez,Waylon Lowe
2010-09-25,Sean Sherk,Evan Dunham
2010-09-25,Rogerio Nogueira,Ryan Bader
2010-09-25,Melvin Guillard,Jeremy Stephens
2010-09-25,Matt Mitrione,Joey Beltran
2010-09-25,Mark Hunt,Sean McCorkle
2010-09-25,Frank Mir,Mirko Filipovic
2010-09-25,Frank Mir,Mirko Cro Cop
2010-09-25,CB Dollaway,Joe Doerksen
2010-09-25,Matt Serra,Chris Lytle
2010-10-16,Spencer Fisher,Curt Warburton
2010-10-16,Cheick Kongo,Travis Browne
2010-10-16,Cyrille Diabate,Alexander Gustafsson
2010-10-16,Dan Hardy,Carlos Condit
2010-10-16,James McSweeney,Fabio Maldonado
2010-10-16,James Wilks,Claude Patrick
2010-10-16,John Hathaway,Mike Pyle
2010-10-16,Michael Bisping,Yoshihiro Akiyama
2010-10-16,Paul Sass,Mark Holst
2010-10-16,Rob Broughton,Vinicius Queiroz
2010-10-23,Mike Guymon,Daniel Roberts
2010-10-23,Jon Madsen,Gilbert Yvel
2010-10-23,Tito Ortiz,Matt Hamill
2010-10-23,Sam Stout,Paul Taylor
2010-10-23,Jake Shields,Martin Kampmann
2010-10-23,Patrick Cote,Tom Lawlor
2010-10-23,Court McGee,Ryan Jensen
2010-10-23,Chris Camozzi,Dongi Yang
2010-10-23,Diego Sanchez,Paulo Thiago
2010-10-23,Brock Lesnar,Cain Velasquez
2010-10-23,Brendan Schaub,Gabriel Gonzaga
2010-11-13,Vladimir Matyushenko,Alexandre Ferreira
2010-11-13,Seth Petruzelli,Karlos Vemola
2010-11-13,Pascal Krauss,Mark Scanlon
2010-11-13,Nate Marquardt,Yushin Okami
2010-11-13,Kyle Noke,Rob Kimmons
2010-11-13,Krzysztof Soszynski,Goran Reljic
2010-11-13,Kris McCray,Carlos Eduardo Rocha
2010-11-13,Duane Ludwig,Nick Osipczak
2010-11-13,Dennis Siver,Andre Winner
2010-11-13,Amir Sadollah,Peter Sobotta
2010-11-20,Tyson Griffin,Nik Lentz
2010-11-20,Rampage Jackson,Lyoto Machida
2010-11-20,Quinton Jackson,Lyoto Machida
2010-11-20,Phil Davis,Tim Boetsch
2010-11-20,Paul Kelly,TJ O'Brien
