event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2023-10-07,Aoriqileng,Johnny Munoz,2023-10-07,0,0.494583,0.505417,1.910973,1.869565,4,https://www.bestfightodds.com/events/ufc-fight-night-3043,https://www.bestfightodds.com/fighters/Aoriqileng-16506,Johnny Munoz | +110 | -125 | ... | -102 | Oct 7th 2023
2023-10-07,Grant Dawson,King Green,2023-10-07,0,0.799456,0.200544,1.204082,4.8,7,https://www.bestfightodds.com/events/ufc-3034,https://www.bestfightodds.com/fighters/Grant-Dawson-5841,Bobby Green | +280 | +340 | ... | +450 | Oct 8th 2023
2023-10-07,Nate Maness,Mateus Mendonca,2023-10-07,0,0.301508,0.698492,3.15,1.359712,7,https://www.bestfightodds.com/events/ufc-fight-night-3043,https://www.bestfightodds.com/fighters/Nate-Maness-10489,Mateus Mendonca | -200 | -300 | ... | -250 | Oct 7th 2023
2023-10-14,Chris Gutierrez,Alatengheili,2023-10-14,0,0.704433,0.295567,1.363636,3.25,7,https://www.bestfightodds.com/events/ufc-fight-night-3052,https://www.bestfightodds.com/fighters/Chris-Gutierrez-4725,Heili Alateng | +145 | +200 | ... | +235 | Oct 14th 2023
2023-10-14,Tainara Lisboa,Ravena Oliveira,2023-10-14,0,0.729393,0.270607,1.298507,3.5,7,https://www.bestfightodds.com/events/ufc-fight-night-3052,https://www.bestfightodds.com/fighters/Tainara-Lisboa-15245,Ravena Oliveira | +300 | +230 | ... | +265 | Oct 14th 2023
2023-10-14,Terrance McKinney,Brendon Marotte,2023-10-14,0,0.812287,0.187713,1.178571,5.1,7,https://www.bestfightodds.com/events/ufc-fight-night-3052,https://www.bestfightodds.com/fighters/Terrance-McKinney-9286,Brendan Marotte | +300 | +360 | ... | +500 | Oct 14th 2023
2023-10-21,Javid Basharat,Victor Henry,2023-10-21,0,0.818182,0.181818,1.169492,5.25,7,https://www.bestfightodds.com/events/ufc-294-2908,https://www.bestfightodds.com/fighters/Javid-Basharat-10973,Victor Henry | +360 | +360 | ... | +430 | Oct 21st 2023
2023-10-21,Magomed Ankalaev,Johnny Walker,2023-10-21,0,0.752443,0.247557,1.266667,3.85,7,https://www.bestfightodds.com/events/ufc-294-2908,https://www.bestfightodds.com/fighters/Magomed-Ankalaev-7794,Johnny Walker | +300 | +260 | ... | +310 | Oct 21st 2023
2023-10-21,Shara Magomedov,Bruno Silva,2023-10-21,0,0.753219,0.246781,1.277778,3.9,7,https://www.bestfightodds.com/events/ufc-294-2908,https://www.bestfightodds.com/fighters/Sharapudin-Magomedov-9999,Bruno Silva | +150 | +250 | ... | +310 | Oct 21st 2023
2023-11-04,Eduarda Moura,Montserrat Conejo Ruiz,2023-11-04,0,0.84,0.16,1.142857,6.0,7,https://www.bestfightodds.com/events/ufc-2970,https://www.bestfightodds.com/fighters/Eduarda-Moura-16318,Montserrat Ruiz | +275 | +450 | ... | +500 | Nov 4th 2023
2023-11-04,Kaue Fernandes,Marc Diakiese,2023-11-04,0,0.369898,0.630102,2.6,1.526316,7,https://www.bestfightodds.com/events/ufc-2970,https://www.bestfightodds.com/fighters/Kaue-Fernandes-11734,Marc Diakiese | -175 | -222 | ... | -188 | Nov 4th 2023
2023-11-04,Rinat Fakhretdinov,Elizeu Zaleski dos Santos,2023-11-04,0,0.747508,0.252492,1.266667,3.75,7,https://www.bestfightodds.com/events/ufc-2988,https://www.bestfightodds.com/fighters/Rinat-Fakhretdinov-13557,Elizeu Zaleski Dos Santos | +200 | +255 | ... | +300 | Nov 5th 2023
2023-11-11,Dennis Buzukja,Jamall Emmers,2023-11-11,0,0.318182,0.681818,3.0,1.4,7,https://www.bestfightodds.com/events/ufc-295-jones-vs-miocic-2957,https://www.bestfightodds.com/fighters/Dennis-Buzukja-8602,Jamall Emmers | -350 | -260 | ... | -250 | Nov 11th 2023
2023-11-11,Joshua Van,Kevin Borjas,2023-11-11,0,0.680556,0.319444,1.408163,3.0,7,https://www.bestfightodds.com/events/ufc-295-jones-vs-miocic-2957,https://www.bestfightodds.com/fighters/Joshua-van-14745,Kevin Borjas | +175 | +180 | ... | +205 | Nov 11th 2023
2023-11-11,Nazim Sadykhov,Viacheslav Borshchev,2023-11-11,0,0.589379,0.410621,1.609756,2.3,7,https://www.bestfightodds.com/events/ufc-3004,https://www.bestfightodds.com/fighters/Nazim-Sadykhov-9868,Viacheslav Borshchev | +130 | +125 | ... | +145 | Nov 12th 2023
2023-11-18,Trey Ogden,Nikolas Motta,2023-11-18,0,0.45323,0.54677,2.1,1.740741,7,https://www.bestfightodds.com/events/ufc-3105,https://www.bestfightodds.com/fighters/Trey-Ogden-5784,Nikolas Motta | -150 | -140 | ... | -130 | Nov 18th 2023
2023-12-02,Rodolfo Bellato,Ihor Potieria,2023-12-02,0,0.775564,0.224436,1.229885,4.25,7,https://www.bestfightodds.com/events/ufc-fight-night-3107,https://www.bestfightodds.com/fighters/Rodolfo-Bellato-11728,Ihor Potieria | +300 | +300 | ... | +350 | Dec 2nd 2023
2023-12-02,Veronica Hardy,Jamey-Lyn Horth,2023-12-02,0,0.381271,0.618729,2.5,1.540541,7,https://www.bestfightodds.com/events/ufc-fight-night-3107,https://www.bestfightodds.com/fighters/Veronica-Hardy-16779,Jamey-Lyn Horth | -175 | -215 | ... | -176 | Dec 2nd 2023
2023-12-02,Zach Reese,Cody Brundage,2023-12-02,0,0.685393,0.314607,1.4,3.05,7,https://www.bestfightodds.com/events/ufc-fight-night-3107,https://www.bestfightodds.com/fighters/Zach-Reese-16353,Cody Brundage | +200 | +180 | ... | +250 | Dec 2nd 2023
2023-12-02,Zachary Reese,Cody Brundage,2023-12-02,0,0.685393,0.314607,1.4,3.05,7,https://www.bestfightodds.com/events/ufc-fight-night-3107,https://www.bestfightodds.com/fighters/Zach-Reese-16353,Cody Brundage | +200 | +180 | ... | +250 | Dec 2nd 2023
2023-12-09,Song Kenan,Kevin Jousset,2023-12-09,0,0.414013,0.585987,2.3,1.625,7,https://www.bestfightodds.com/events/ufc-3133,https://www.bestfightodds.com/fighters/Kenan-Song-7731,Kevin Jousset | -170 | -165 | ... | -140 | Dec 10th 2023
2023-12-16,Casey O'Neill,Ariane da Silva,2023-12-16,0,0.627643,0.372357,1.526316,2.55,7,https://www.bestfightodds.com/events/ufc-3053,https://www.bestfightodds.com/fighters/Casey-O-Neill-10524,Ariane Lipski | +164 | +145 | ... | +163 | Dec 17th 2023
2023-12-16,Martin Buday,Shamil Gaziev,2023-12-16,0,0.515397,0.484603,1.862069,1.980392,7,https://www.bestfightodds.com/events/ufc-3056,https://www.bestfightodds.com/fighters/Martin-Buday-11489,Shamil Gaziev | +120 | -105 | ... | +120 | Dec 16th 2023
