event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2026-07-25,Abubakar Vagaev,Saygid Izagakhmaev,2026-07-25,0,0.74669,0.25331,1.382987,4.076667,6,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/abubakar-vagaev-10217,Saygid Izagakhmaev | +175 | +164 | ... | +210 | Jul 25th 2026
2026-07-25,Cody Gibson,Abdul Hussein,2026-07-25,0,0.119323,0.880677,8.393333,1.137212,6,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/cody-gibson-1915,Abdul Hussein | -350 | -650 | ... | -600 | Jul 25th 2026
2026-07-25,Ismael Bonfim,Axel Sola,2026-07-25,0,0.277009,0.722991,3.77,1.444448,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/ismael-bonfim-11723,Axel Sola | -170 | -212 | ... | -198 | Jul 25th 2026
2026-07-25,Magomed Ankalaev,Bogdan Guskov,2026-07-25,0,0.882745,0.117255,1.163021,8.755714,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/magomed-ankalaev-7794,Bogdan Guskov | +250 | +390 | ... | +410 | Jul 25th 2026
2026-07-25,Magomed Tuchalov,Brendson Ribeiro,2026-07-25,0,0.907101,0.092899,1.093774,10.68,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/magomed-tuchalov-19566,Brendson Ribeiro | +420 | +500 | ... | +700 | Jul 25th 2026
2026-07-25,Magomed Zaynukov,Damian Rzepecki,2026-07-25,0,0.876318,0.123682,1.322462,9.37,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/magomed-zaynukov-18086,Damian Rzepecki | +235 | +206 | ... | +215 | Jul 25th 2026
2026-07-25,Nurullo Aliev,Mike Davis,2026-07-25,0,0.771676,0.228324,1.384718,4.68,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/nurullo-aliev-11078,Mike Davis | +147 | +175 | ... | +193 | Jul 25th 2026
2026-07-25,Rizvan Kuniev,Tyrell Fortune,2026-07-25,0,0.820959,0.179041,1.26335,5.792857,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/rizvan-kuniev-12573,Tyrell Fortune | +210 | +250 | ... | +275 | Jul 25th 2026
2026-07-25,Santiago Ponzinibbio,Sam Patterson,2026-07-25,0,0.158266,0.841734,6.211429,1.167892,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/santiago-ponzinibbio-4415,Sam Patterson | -450 | -770 | ... | -500 | Jul 25th 2026
2026-07-25,Steve Erceg,Ramazan Temirov,2026-07-25,0,0.480864,0.519136,2.011187,1.862914,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/steve-erceg-17167,Ramazan Temirov | +130 | -119 | ... | -104 | Jul 25th 2026
2026-07-25,Valter Walker,Thomas Petersen,2026-07-25,0,0.631781,0.368219,1.516182,2.601429,7,https://www.bestfightodds.com/events/ufc-abu-dhabi-4216,https://www.bestfightodds.com/fighters/valter-walker-17371,Thomas Petersen | +210 | +150 | ... | +175 | Jul 25th 2026
