fighter_a,fighter_b,a_odds,b_odds,a_expected_value,b_expected_value,event_date,location,country,winner,title_bout,weight_class,gender,num_rounds,b_lose_streak,b_win_streak,b_draws,b_slpm,b_str_acc,b_sub_avg,b_td_avg,b_td_acc,b_longest_win_streak,b_losses,b_total_rounds,b_title_bouts,b_wins_dec_maj,b_wins_dec_split,b_wins_dec,b_wins_ko,b_wins_sub,b_wins_tko_doc,b_wins,b_stance,b_height,b_reach,b_weight,a_lose_streak,a_win_streak,a_draws,a_slpm,a_str_acc,a_sub_avg,a_td_avg,a_td_acc,a_longest_win_streak,a_losses,a_total_rounds,a_title_bouts,a_wins_dec_maj,a_wins_dec_split,a_wins_dec,a_wins_ko,a_wins_sub,a_wins_tko_doc,a_wins,a_stance,a_height,a_reach,a_weight,a_age,b_age,empty_arena,b_wc_rank,a_wc_rank,a_pfp_rank,b_pfp_rank,better_rank,method,finish_round,finish_time,total_fight_time_secs,a_dec_odds,b_dec_odds,a_sub_odds,b_sub_odds,a_ko_odds,b_ko_odds,target,event_name,a_sapm,a_str_def,a_td_def,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_kd,a_sub_att,a_rev,a_ctrl_seconds,a_total_str_landed,a_total_str_attempted,a_head_landed,a_head_attempted,a_body_landed,a_body_attempted,a_leg_landed,a_leg_attempted,a_distance_landed,a_distance_attempted,a_clinch_landed,a_clinch_attempted,a_ground_landed,a_ground_attempted,a_total_str_pm,a_sig_str_share,a_head_str_share,a_body_str_share,a_leg_str_share,a_distance_str_share,a_clinch_str_share,a_ground_str_share,a_control_share,a_control_per_td,a_finish_threat,b_sapm,b_str_def,b_td_def,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_kd,b_sub_att,b_rev,b_ctrl_seconds,b_total_str_landed,b_total_str_attempted,b_head_landed,b_head_attempted,b_body_landed,b_body_attempted,b_leg_landed,b_leg_attempted,b_distance_landed,b_distance_attempted,b_clinch_landed,b_clinch_attempted,b_ground_landed,b_ground_attempted,b_total_str_pm,b_sig_str_share,b_head_str_share,b_body_str_share,b_leg_str_share,b_distance_str_share,b_clinch_str_share,b_ground_str_share,b_control_share,b_control_per_td,b_finish_threat
Urijah Faber,Alex Caceres,-705.0,570.0,14.1844,570.0,2014-07-05,"Las Vegas, Nevada, USA", USA,Urijah Faber,0.0,Bantamweight,MALE,3.0,0.0,2.0,0.0,48.2222,52.800000000000004,1.3333,0.2222,22.2,2.0,4.0,23.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,5.0,Southpaw,177.8,185.42,145.0,1.0,0.0,0.0,44.0,49.8,0.6667,1.4444,37.1,4.0,3.0,26.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,6.0,Orthodox,167.64,170.18,135.0,35.0,26.0,0.0,11.0,2.0,,,Red,Submission ,3.0,1:09,669.0,167.0,1185.0,-105.0,2540.0,584.0,1950.0,1.0,UFC 175: Weidman vs Machida,1.7937219730941703,55.55555555555556,,20.0,38.0,5.0,12.0,0.0,1.0,0.0,406.0,41.0,62.0,16.0,31.0,3.0,6.0,1.0,1.0,6.0,19.0,6.0,9.0,8.0,10.0,3.6771300448430493,0.4878048780487805,0.8,0.15,0.05,0.3,0.3,0.4,0.6068759342301944,81.2,0.08968609865470852,1.7937219730941703,47.36842105263158,58.33333333333333,20.0,45.0,0.0,0.0,0.0,0.0,0.0,31.0,35.0,62.0,10.0,32.0,5.0,7.0,5.0,6.0,13.0,31.0,6.0,9.0,1.0,5.0,3.139013452914798,0.5714285714285714,0.5,0.25,0.25,0.65,0.3,0.05,0.04633781763826607,,0.0
Adriano Martins,Juan Manuel Puig,,,,,2014-07-06,,,Adriano Martins,0.0,Lightweight,,3.0,,,,5.531914893617021,25.49019607843137,0.0,0.0,,,,,,,,,,,,,,,,,,,,3.829787234042553,37.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO ,1.0,2:21,141.0,,,,,,,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,5.531914893617021,74.50980392156863,,9.0,24.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,25.0,9.0,24.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,2.0,0.0,0.0,4.25531914893617,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.02127659574468085,,0.425531914893617,3.829787234042553,62.5,,13.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,51.0,4.0,37.0,1.0,1.0,8.0,13.0,13.0,51.0,0.0,0.0,0.0,0.0,5.531914893617021,1.0,0.3076923076923077,0.07692307692307693,0.6153846153846154,1.0,0.0,0.0,0.0,,0.0
Adriano Martins,Juan Puig,-420.0,375.0,23.8095,375.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Adriano Martins,0.0,Lightweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,182.88,145.0,1.0,0.0,0.0,14.5,57.99999999999999,0.5,0.5,50.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Southpaw,177.8,182.88,155.0,31.0,25.0,0.0,,,,,neither,,,,,170.0,580.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Anderson,Matt Van Buren,-265.0,245.0,37.7358,245.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Corey Anderson,1.0,Ultimate Fighter 19 Light Heavyweight Tournament,MALE,3.0,0.0,0.0,0.0,1.9672131147540985,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,195.58,193.04,205.0,0.0,0.0,0.0,23.60655737704918,64.86486486486487,0.0,29.508196721311478,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,200.66,205.0,24.0,28.0,0.0,,,,,neither,KO/TKO ,1.0,1:01,61.0,120.0,454.0,,,,,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,1.9672131147540985,80.0,,24.0,37.0,2.0,2.0,0.0,0.0,0.0,19.0,28.0,45.0,22.0,33.0,2.0,3.0,0.0,1.0,9.0,14.0,7.0,13.0,8.0,10.0,27.54098360655738,0.8571428571428571,0.9166666666666666,0.08333333333333333,0.0,0.375,0.2916666666666667,0.3333333333333333,0.3114754098360656,9.5,0.0,23.60655737704918,35.13513513513513,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,8.0,1.0,1.0,0.0,1.0,2.0,9.0,0.0,1.0,0.0,0.0,1.9672131147540985,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,,0.0
Derrick Lewis,Guto Inocente,-185.0,170.0,54.0541,170.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Derrick Lewis,0.0,Heavyweight,MALE,3.0,0.0,0.0,0.0,1.7142857142857142,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,195.58,205.0,0.0,1.0,0.0,22.0,81.0,0.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,190.5,200.66,260.0,29.0,28.0,0.0,,,,,neither,KO/TKO ,1.0,3:30,210.0,450.0,324.0,,,,,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,1.7142857142857142,25.0,,6.0,16.0,1.0,2.0,0.0,0.0,0.0,93.0,7.0,17.0,4.0,12.0,2.0,2.0,0.0,2.0,1.0,9.0,2.0,3.0,3.0,4.0,2.0,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.5,0.44285714285714284,93.0,0.0,1.7142857142857142,62.5,50.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,2.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,3.0,0.0,0.0,2.2857142857142856,0.75,0.0,0.8333333333333334,0.16666666666666666,0.5,0.5,0.0,0.0,,0.0
Dhiego Lima,Eddie Gordon,-150.0,140.0,66.6667,140.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Eddie Gordon,1.0,Ultimate Fighter 19 Middleweight Tournament,MALE,3.0,0.0,0.0,0.0,18.591549295774648,52.38095238095239,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,193.04,185.0,0.0,0.0,0.0,4.225352112676056,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,187.96,187.96,170.0,25.0,30.0,0.0,,,,,neither,KO/TKO ,1.0,1:11,71.0,200.0,220.0,,,,,0.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,18.591549295774648,47.61904761904761,,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,4.0,9.0,0.0,0.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,4.225352112676056,1.0,0.8,0.0,0.2,1.0,0.0,0.0,0.0,,0.0,4.225352112676056,50.0,,22.0,42.0,0.0,0.0,1.0,0.0,0.0,19.0,22.0,42.0,22.0,42.0,0.0,0.0,0.0,0.0,6.0,19.0,1.0,2.0,15.0,21.0,18.591549295774648,1.0,1.0,0.0,0.0,0.2727272727272727,0.045454545454545456,0.6818181818181818,0.2676056338028169,,0.8450704225352113
Frankie Edgar,BJ Penn,-370.0,330.0,27.027,330.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Frankie Edgar,0.0,Featherweight,MALE,5.0,3.0,0.0,0.0,39.0,56.699999999999996,0.5455,1.1818,37.4,3.0,10.0,65.0,11.0,0.0,0.0,1.0,6.0,4.0,1.0,12.0,Orthodox,175.26,177.8,155.0,0.0,1.0,0.0,60.5333,41.9,0.4,3.0667,29.5,5.0,5.0,55.0,7.0,0.0,0.0,7.0,2.0,1.0,0.0,10.0,Orthodox,167.64,172.72,145.0,32.0,35.0,0.0,,3.0,,,Red,KO/TKO ,3.0,4:16,856.0,-125.0,750.0,1230.0,1350.0,325.0,1200.0,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,0.911214953271028,80.3030303030303,,90.0,162.0,3.0,3.0,0.0,0.0,0.0,534.0,159.0,236.0,76.0,142.0,6.0,10.0,8.0,10.0,32.0,81.0,0.0,1.0,58.0,80.0,11.144859813084112,0.5660377358490566,0.8444444444444444,0.06666666666666667,0.08888888888888889,0.35555555555555557,0.0,0.6444444444444445,0.6238317757009346,178.0,0.0,6.308411214953271,44.44444444444444,0.0,13.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,116.0,13.0,66.0,0.0,0.0,0.0,0.0,13.0,63.0,0.0,3.0,0.0,0.0,4.205607476635514,0.21666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0
Jesse Ronson,Kevin Lee,200.0,-220.0,200.0,45.4545,2014-07-06,"Las Vegas, Nevada, USA", USA,Kevin Lee,0.0,Lightweight,MALE,3.0,1.0,0.0,0.0,39.0,27.0,2.0,1.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,195.58,170.0,2.0,0.0,0.0,45.5,47.0,0.0,0.5,50.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,177.8,182.88,155.0,28.0,21.0,0.0,,,,,neither,Decision - Split ,3.0,5:00,900.0,280.0,140.0,,,,,0.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,3.2666666666666666,55.45454545454545,66.66666666666667,48.0,100.0,1.0,2.0,0.0,1.0,0.0,41.0,51.0,105.0,27.0,72.0,9.0,12.0,12.0,16.0,45.0,93.0,3.0,7.0,0.0,0.0,3.4,0.9411764705882353,0.5625,0.1875,0.25,0.9375,0.0625,0.0,0.04555555555555556,41.0,0.06666666666666667,3.2,52.0,50.0,49.0,110.0,4.0,12.0,0.0,0.0,1.0,424.0,66.0,128.0,33.0,90.0,16.0,20.0,0.0,0.0,36.0,94.0,7.0,10.0,6.0,6.0,4.4,0.7424242424242424,0.673469387755102,0.32653061224489793,0.0,0.7346938775510204,0.14285714285714285,0.12244897959183673,0.4711111111111111,106.0,0.0
Jumabieke Tuerxun,Leandro Issa,115.0,-125.0,115.0,80.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Leandro Issa,0.0,Bantamweight,MALE,3.0,1.0,0.0,0.0,17.0,31.0,1.0,2.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,175.26,135.0,1.0,0.0,0.0,12.0,35.0,2.0,1.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,170.18,135.0,28.0,30.0,0.0,,,,,neither,Submission ,3.0,3:49,829.0,145.0,260.0,,,,,0.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,3.1845597104945718,68.34532374100719,75.0,33.0,127.0,0.0,0.0,0.0,0.0,0.0,64.0,40.0,134.0,24.0,107.0,5.0,15.0,4.0,5.0,31.0,124.0,0.0,1.0,2.0,2.0,2.8950542822677927,0.825,0.7272727272727273,0.15151515151515152,0.12121212121212122,0.9393939393939394,0.0,0.06060606060606061,0.07720144752714113,,0.0,2.388419782870929,74.01574803149606,,44.0,139.0,2.0,8.0,0.0,3.0,1.0,205.0,71.0,170.0,23.0,113.0,4.0,7.0,17.0,19.0,42.0,135.0,0.0,0.0,2.0,4.0,5.138721351025332,0.6197183098591549,0.5227272727272727,0.09090909090909091,0.38636363636363635,0.9545454545454546,0.0,0.045454545454545456,0.24728588661037396,102.5,0.21712907117008445
Justin Scoggins,Dustin Ortiz,-290.0,260.0,34.4828,260.0,2014-07-06,"Las Vegas, Nevada, USA", USA,Dustin Ortiz,0.0,Flyweight,MALE,3.0,0.0,1.0,0.0,45.3333,50.3,0.0,2.6667,42.3,1.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,Orthodox,165.1,165.1,125.0,0.0,2.0,0.0,44.0,65.5,0.0,4.0,63.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Southpaw,170.18,167.64,125.0,22.0,25.0,0.0,13.0,,,,Blue,Decision - Split ,3.0,5:00,900.0,115.0,395.0,,,,,0.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2.6,39.0625,71.42857142857143,24.0,37.0,5.0,8.0,0.0,3.0,0.0,281.0,32.0,45.0,16.0,25.0,5.0,7.0,3.0,5.0,10.0,22.0,11.0,12.0,3.0,3.0,2.1333333333333333,0.75,0.6666666666666666,0.20833333333333334,0.125,0.4166666666666667,0.4583333333333333,0.125,0.31222222222222223,56.2,0.2,1.6,35.13513513513513,37.5,39.0,64.0,2.0,7.0,0.0,0.0,2.0,443.0,100.0,134.0,19.0,40.0,20.0,22.0,0.0,2.0,9.0,26.0,13.0,15.0,17.0,23.0,6.666666666666667,0.39,0.48717948717948717,0.5128205128205128,0.0,0.23076923076923078,0.3333333333333333,0.4358974358974359,0.4922222222222222,221.5,0.0
Patrick Walsh,Daniel Spohn,210.0,-230.0,210.0,43.4783,2014-07-06,"Las Vegas, Nevada, USA", USA,Patrick Walsh,0.0,Light Heavyweight,MALE,3.0,0.0,0.0,0.0,1.6,47.05882352941176,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,193.04,200.66,205.0,0.0,0.0,0.0,0.7333333333333333,45.83333333333333,3.0,5.0,71.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,180.34,180.34,185.0,25.0,29.0,0.0,,,,,neither,Decision - Unanimous ,3.0,5:00,900.0,353.0,297.0,,,,,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,1.6,52.94117647058824,100.0,11.0,24.0,5.0,7.0,0.0,3.0,0.0,663.0,110.0,127.0,11.0,24.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,1.0,6.0,11.0,7.333333333333333,0.1,1.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.7366666666666667,132.6,0.2,0.7333333333333333,54.16666666666667,28.57142857142857,24.0,51.0,0.0,1.0,0.0,2.0,0.0,64.0,52.0,80.0,20.0,46.0,1.0,1.0,3.0,4.0,17.0,40.0,6.0,10.0,1.0,1.0,3.466666666666667,0.46153846153846156,0.8333333333333334,0.041666666666666664,0.125,0.7083333333333334,0.25,0.041666666666666664,0.07111111111111111,,0.13333333333333333
Robert Drysdale,Keith Berish,,,,,2014-07-06,,,,0.0,Light Heavyweight,,3.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,21.951219512195124,7.317073170731708,100.0,,,,,,,,,,,,,,,,,,,,,,,,Overturned ,1.0,2:03,123.0,,,,,,,,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,0.0,,,0.0,5.0,1.0,1.0,0.0,3.0,0.0,90.0,2.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.9756097560975611,0.0,,,,,,,0.7317073170731708,90.0,1.4634146341463417,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48780487804878053,0.0,,,,,,,0.0,,0.0
Sarah Moras,Alexis Dufresne,210.0,-230.0,210.0,43.4783,2014-07-06,"Las Vegas, Nevada, USA", USA,Sarah Moras,0.0,Catch Weight,MALE,3.0,0.0,0.0,0.0,0.8,42.857142857142854,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,172.72,135.0,0.0,0.0,0.0,1.0,44.11764705882353,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,170.18,135.0,26.0,23.0,0.0,,,,,neither,Decision - Unanimous ,3.0,5:00,900.0,241.0,328.0,,,,,1.0,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,0.8,57.14285714285714,0.0,15.0,34.0,1.0,2.0,0.0,0.0,1.0,156.0,123.0,149.0,12.0,29.0,1.0,3.0,2.0,2.0,8.0,21.0,4.0,8.0,3.0,5.0,8.2,0.12195121951219512,0.8,0.06666666666666667,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.2,0.17333333333333334,156.0,0.0,1.0,55.88235294117647,50.0,12.0,28.0,3.0,3.0,0.0,0.0,1.0,655.0,65.0,86.0,5.0,21.0,5.0,5.0,2.0,2.0,5.0,11.0,0.0,0.0,7.0,17.0,4.333333333333333,0.18461538461538463,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,0.5833333333333334,0.7277777777777777,218.33333333333334,0.0
Claudia Gadelha,Tina Lahdemaki,-560.0,475.0,17.8571,475.0,2014-07-16,"Atlantic City, New Jersey, USA", USA,Claudia Gadelha,0.0,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,1.9333333333333333,20.56737588652482,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,157.48,157.48,115.0,0.0,0.0,0.0,4.666666666666667,42.68292682926829,2.0,5.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,160.02,115.0,25.0,26.0,0.0,,,,,neither,Decision - Unanimous ,3.0,5:00,900.0,114.0,436.0,245.0,1500.0,425.0,2025.0,1.0,UFC Fight Night: Cowboy vs Miller,1.9333333333333333,79.43262411347519,,70.0,164.0,5.0,6.0,0.0,2.0,0.0,436.0,132.0,228.0,49.0,132.0,13.0,24.0,8.0,8.0,41.0,120.0,4.0,8.0,25.0,36.0,8.8,0.5303030303030303,0.7,0.18571428571428572,0.11428571428571428,0.5857142857142857,0.05714285714285714,0.35714285714285715,0.48444444444444446,87.2,0.13333333333333333,4.666666666666667,57.31707317073172,16.666666666666664,29.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,170.0,21.0,123.0,5.0,12.0,3.0,6.0,26.0,134.0,3.0,7.0,0.0,0.0,3.2666666666666666,0.5918367346938775,0.7241379310344828,0.1724137931034483,0.10344827586206896,0.896551724137931,0.10344827586206896,0.0,0.0,,0.0
Donald Cerrone,Jim Miller,-240.0,220.0,41.6667,220.0,2014-07-16,"Atlantic City, New Jersey, USA", USA,Donald Cerrone,0.0,Lightweight,MALE,5.0,0.0,2.0,0.0,26.0,33.5,1.8235,1.3529,49.2,7.0,4.0,39.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,13.0,Southpaw,172.72,180.34,155.0,0.0,3.0,0.0,40.7692,47.5,0.3846,0.8462,31.900000000000002,4.0,3.0,25.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,10.0,Orthodox,185.42,185.42,155.0,31.0,30.0,0.0,7.0,6.0,,,Red,KO/TKO ,2.0,3:31,511.0,265.0,685.0,280.0,500.0,289.0,700.0,1.0,UFC Fight Night: Cowboy vs Miller,3.522504892367906,53.84615384615385,83.33333333333334,37.0,78.0,0.0,2.0,1.0,0.0,0.0,21.0,41.0,82.0,16.0,44.0,14.0,25.0,7.0,9.0,34.0,73.0,2.0,4.0,1.0,1.0,4.814090019569472,0.9024390243902439,0.43243243243243246,0.3783783783783784,0.1891891891891892,0.918918918918919,0.05405405405405406,0.02702702702702703,0.0410958904109589,,0.11741682974559686,4.344422700587084,52.56410256410257,100.0,30.0,65.0,1.0,6.0,0.0,0.0,0.0,35.0,34.0,69.0,12.0,43.0,7.0,9.0,11.0,13.0,25.0,58.0,4.0,6.0,1.0,1.0,3.9921722113502933,0.8823529411764706,0.4,0.23333333333333334,0.36666666666666664,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.0684931506849315,35.0,0.0
Edson Barboza,Evan Dunham,-320.0,260.0,31.25,260.0,2014-07-16,"Atlantic City, New Jersey, USA", USA,Edson Barboza,0.0,Lightweight,MALE,3.0,2.0,0.0,0.0,58.4167,37.3,1.0,1.3333,35.0,4.0,5.0,30.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,7.0,Southpaw,177.8,177.8,155.0,1.0,0.0,0.0,38.6667,46.300000000000004,0.1111,0.4444,22.2,4.0,2.0,20.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,7.0,Orthodox,180.34,190.5,155.0,28.0,32.0,0.0,,13.0,,,Red,KO/TKO ,1.0,3:06,186.0,175.0,523.0,589.0,1200.0,180.0,665.0,1.0,UFC Fight Night: Cowboy vs Miller,3.225806451612903,62.96296296296296,100.0,10.0,17.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,17.0,4.0,11.0,5.0,5.0,1.0,1.0,8.0,15.0,2.0,2.0,0.0,0.0,3.225806451612903,1.0,0.4,0.5,0.1,0.8,0.2,0.0,0.010752688172043012,,0.3225806451612903,3.225806451612903,41.17647058823529,,10.0,27.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,27.0,10.0,27.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,2.0,2.0,2.0,3.225806451612903,1.0,1.0,0.0,0.0,0.8,0.0,0.2,0.010752688172043012,,0.0
Gleison Tibau,Pat Healy,-165.0,155.0,60.6061,155.0,2014-07-16,"Atlantic City, New Jersey, USA", USA,Gleison Tibau,0.0,Lightweight,MALE,3.0,5.0,0.0,0.0,40.2,38.0,0.4,1.8,21.4,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,187.96,155.0,1.0,0.0,0.0,21.619,35.199999999999996,0.7619,3.381,53.900000000000006,3.0,8.0,52.0,0.0,0.0,3.0,5.0,1.0,4.0,0.0,13.0,Southpaw,177.8,180.34,155.0,30.0,30.0,0.0,,,,,neither,Decision - Unanimous ,3.0,5:00,900.0,130.0,200.0,550.0,1150.0,525.0,700.0,1.0,UFC Fight Night: Cowboy vs Miller,3.6,59.09090909090908,100.0,44.0,93.0,4.0,6.0,0.0,0.0,0.0,272.0,87.0,143.0,37.0,82.0,3.0,6.0,4.0,5.0,30.0,67.0,6.0,16.0,8.0,10.0,5.8,0.5057471264367817,0.8409090909090909,0.06818181818181818,0.09090909090909091,0.6818181818181818,0.13636363636363635,0.18181818181818182,0.3022222222222222,68.0,0.0,2.933333333333333,52.68817204301075,33.333333333333336,54.0,132.0,0.0,3.0,0.0,0.0,0.0,133.0,86.0,168.0,26.0,94.0,23.0,33.0,5.0,5.0,37.0,103.0,17.0,29.0,0.0,0.0,5.733333333333333,0.627906976744186,0.48148148148148145,0.42592592592592593,0.09259259259259259,0.6851851851851852,0.3148148148148148,0.0,0.14777777777777779,,0.0
Hugo Viana,Aljamain Sterling,230.0,-250.0,230.0,40.0,2014-07-16,"Atlantic City, New Jersey, USA", USA,Aljamain Sterling,0.0,Bantamweight,MALE,3.0,0.0,1.0,0.0,46.0,51.0,3.0,3.0,60.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,170.18,180.34,135.0,0.0,1.0,0.0,44.25,41.8,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,Orthodox,167.64,170.18,135.0,31.0,24.0,0.0,,,,,neither,KO/TKO ,3.0,3:50,830.0,295.0,140.0,1480.0,405.0,500.0,405.0,0.0,UFC Fight Night: Cowboy vs Miller,4.481927710843373,36.73469387755102,0.0,15.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,54.0,9.0,36.0,2.0,6.0,4.0,4.0,12.0,43.0,3.0,3.0,0.0,0.0,1.5903614457831325,0.6818181818181818,0.6,0.13333333333333333,0.26666666666666666,0.8,0.2,0.0,0.0,,0.0,1.0843373493975903,67.3913043478261,,62.0,98.0,4.0,4.0,0.0,0.0,0.0,514.0,94.0,132.0,39.0,67.0,16.0,21.0,7.0,10.0,10.0,32.0,12.0,14.0,40.0,52.0,6.795180722891566,0.6595744680851063,0.6290322580645161,0.25806451612903225,0.11290322580645161,0.16129032258064516,0.1935483870967742,0.6451612903225806,0.619277108433735,128.5,0.0
