fighter_a,fighter_b,a_odds,b_odds,a_expected_value,b_expected_value,event_date,location,country,winner,title_bout,weight_class,gender,num_rounds,b_lose_streak,b_win_streak,b_draws,b_slpm,b_str_acc,b_sub_avg,b_td_avg,b_td_acc,b_longest_win_streak,b_losses,b_total_rounds,b_title_bouts,b_wins_dec_maj,b_wins_dec_split,b_wins_dec,b_wins_ko,b_wins_sub,b_wins_tko_doc,b_wins,b_stance,b_height,b_reach,b_weight,a_lose_streak,a_win_streak,a_draws,a_slpm_x,a_str_acc_x,a_sub_avg_x,a_td_avg_x,a_td_acc_x,a_longest_win_streak,a_losses,a_total_rounds,a_title_bouts,a_wins_dec_maj,a_wins_dec_split,a_wins_dec,a_wins_ko,a_wins_sub,a_wins_tko_doc,a_wins,a_stance,a_height,a_reach,a_weight,a_age,b_age,empty_arena,b_wc_rank,a_wc_rank,a_pfp_rank,b_pfp_rank,better_rank,method,finish_round,finish_time,total_fight_time_secs,a_dec_odds,b_dec_odds,a_sub_odds,b_sub_odds,a_ko_odds,b_ko_odds,target,a_elo,b_elo,a_slpm_y,a_opp_slpm,a_sapm,a_opp_sapm,a_str_acc_y,a_opp_str_acc,a_str_def,a_opp_str_def,a_td_avg_y,a_opp_td_avg,a_td_acc_y,a_opp_td_acc,a_td_def,a_opp_td_def,a_sub_avg_y,a_opp_sub_avg,a_sig_str_landed,a_opp_sig_str_landed,a_sig_str_attempted,a_opp_sig_str_attempted,a_td_landed,a_opp_td_landed,a_td_attempted,a_opp_td_attempted,a_kd,a_opp_kd,a_sub_att,a_opp_sub_att,a_rev,a_opp_rev,a_ctrl_seconds,a_opp_ctrl_seconds,a_roll_slpm,a_roll_sapm,a_roll_str_acc,a_roll_str_def,a_roll_td_avg,a_roll_td_acc,a_roll_td_def,a_roll_sub_avg,a_roll_sig_str_landed,a_roll_sig_str_attempted,a_roll_td_landed,a_roll_td_attempted,a_roll_kd,a_roll_sub_att,a_roll_rev,a_roll_ctrl_seconds,a_roll_opp_slpm,a_roll_opp_sapm,a_roll_opp_str_acc,a_roll_opp_str_def,a_roll_opp_td_avg,a_roll_opp_td_acc,a_roll_opp_td_def,a_roll_opp_sub_avg,a_roll_opp_sig_str_landed,a_roll_opp_sig_str_attempted,a_roll_opp_td_landed,a_roll_opp_td_attempted,a_roll_opp_kd,a_roll_opp_sub_att,a_roll_opp_rev,a_roll_opp_ctrl_seconds,a_roll_won,a_current_win_streak,a_num_fights,a_days_since_last_fight,b_roll_slpm,b_roll_sapm,b_roll_str_acc,b_roll_str_def,b_roll_td_avg,b_roll_td_acc,b_roll_td_def,b_roll_sub_avg,b_roll_sig_str_landed,b_roll_sig_str_attempted,b_roll_td_landed,b_roll_td_attempted,b_roll_kd,b_roll_sub_att,b_roll_rev,b_roll_ctrl_seconds,b_roll_opp_slpm,b_roll_opp_sapm,b_roll_opp_str_acc,b_roll_opp_str_def,b_roll_opp_td_avg,b_roll_opp_td_acc,b_roll_opp_td_def,b_roll_opp_sub_avg,b_roll_opp_sig_str_landed,b_roll_opp_sig_str_attempted,b_roll_opp_td_landed,b_roll_opp_td_attempted,b_roll_opp_kd,b_roll_opp_sub_att,b_roll_opp_rev,b_roll_opp_ctrl_seconds,b_roll_won,b_current_win_streak,b_num_fights,b_days_since_last_fight,diff_roll_slpm,diff_roll_sapm,diff_roll_str_acc,diff_roll_str_def,diff_roll_td_avg,diff_roll_td_acc,diff_roll_td_def,diff_roll_sub_avg,diff_roll_sig_str_landed,diff_roll_td_landed,diff_roll_kd,diff_roll_won,diff_elo,diff_current_win_streak,diff_num_fights,diff_days_since_last_fight,diff_height,diff_reach,diff_weight,diff_age,a_strike_diff,b_strike_diff,diff_strike_diff,a_stance_enc,b_stance_enc,same_stance,a_ko_rate,a_sub_rate,a_dec_rate,b_ko_rate,b_sub_rate,b_dec_rate,diff_ko_rate,diff_sub_rate,diff_dec_rate,a_implied_prob,b_implied_prob,diff_implied_prob,is_title_bout,num_rounds_feat,is_empty_arena,a_wc_rank_feat,a_pfp_rank_feat,b_wc_rank_feat,b_pfp_rank_feat,diff_wc_rank,diff_pfp_rank,diff_lose_streak,diff_longest_win_streak,diff_total_rounds,diff_title_bouts,diff_draws,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob,a_win_pct,b_win_pct,diff_win_pct,weight_class_enc,a_cage_rust,a_layoff_log,b_cage_rust,b_layoff_log,diff_cage_rust,diff_layoff_log,a_wc_move,b_wc_move,diff_wc_move,a_striker_edge,a_grappler_edge,b_striker_edge,b_grappler_edge,diff_striker_edge,diff_grappler_edge,a_fight_pace,b_fight_pace,diff_fight_pace,a_ctrl_efficiency,b_ctrl_efficiency,diff_ctrl_efficiency,a_adj_win_pct,b_adj_win_pct,diff_adj_win_pct,has_data
Max Holloway,Clay Collard,-950.0,625.0,10.5263,625.0,2014-08-23,"Tulsa, Oklahoma, USA", USA,Max Holloway,,Catch Weight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,185.42,145.0,0.0,2.0,0.0,62.125,36.4,0.25,0.0,0.0,3.0,3.0,20.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,Orthodox,180.34,175.26,155.0,22.0,21.0,0.0,,,,,neither,KO/TKO,3.0,3:47,827.0,142.0,1000.0,656.0,1650.0,135.0,1470.0,1,1539.843986005323,1500.0,62.125,,,,36.4,,,,0.0,,0.0,,,,0.25,,,,,,,,,,,,,,,,,,61.051869969154936,,35.99217877818785,,0.0,0.0,,0.0,,,,,,,,,41.28533778898482,,48.43350963133438,,0.9346530670267781,46.84595537508504,,0.26175335340617967,,,,,,,,,0.674727534507259,2,8,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,39.843986005322904,2,8,-246.0,0.0,-10.159999999999997,10.0,1.0,,,,0.0,0.0,1,0.4,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.2,0.9047619047619048,0.13793103448275862,0.7668308702791462,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.425531914893617,0.13227513227513227,0.4132231404958678,0.06369426751592357,0.05714285714285714,0.09090909090909091,0.625,0.5,0.125,5,0,4.787491742782046,0,5.902633333401366,0,-1.11514159061932,0,0,0,0.398,0.199,0.0,0.0,0.398,0.199,61.051869969154936,0.0,61.051869969154936,0.0,0.0,0.0,0.6286947498617774,0.5,0.12869474986177742,8
Chas Skelly,Tom Niinimaki,145.0,-155.0,145.0,64.5161,2014-08-23,"Tulsa, Oklahoma, USA", USA,Chas Skelly,,Featherweight,MALE,3.0,1.0,0.0,0.0,12.0,62.5,0.0,3.0,47.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,175.26,175.26,145.0,1.0,0.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,182.88,145.0,29.0,32.0,0.0,,,,,neither,SUB,1.0,2:35,155.0,210.0,166.0,750.0,580.0,786.0,499.0,1,1476.0,1502.2565645532375,19.0,12.0,,,22.0,62.5,,,0.0,3.0,0.0,47.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,1,126.0,17.0,,62.0,,4.0,66.0,,0.0,,,,,,,,,17.0,,39.4,,2.2,29.2,,1.0,,,,,,,,,0.44249333402444213,0,2,84.0,,,,,,,,,,,,-0.44249333402444213,-26.256564553237467,0,-1,42.0,5.0800000000000125,7.6200000000000045,0.0,-3.0,,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40816326530612246,0.6078431372549019,-0.19967987194877945,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.11286681715575621,0.11764705882352941,0.3225806451612903,0.1669449081803005,0.14705882352941177,0.37593984962406013,0.0,0.5,-0.5,3,0,4.844187086458591,0,4.442651256490317,0,0.4015358299682745,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-17.0,0.0,0.0,0.0,0.0,0.5102396896133753,-0.5102396896133753,3
Neil Magny,Alex Garcia,135.0,-145.0,135.0,68.9655,2014-08-23,"Tulsa, Oklahoma, USA", USA,Neil Magny,,Welterweight,MALE,3.0,0.0,2.0,0.0,35.0,52.5,0.0,4.0,36.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,Orthodox,175.26,182.88,170.0,0.0,3.0,0.0,38.8333,41.3,0.0,2.1667,50.7,3.0,2.0,15.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,Orthodox,190.5,203.2,170.0,27.0,27.0,0.0,,,,,neither,U-DEC,3.0,5:00,900.0,240.0,350.0,1595.0,475.0,465.0,225.0,1,1541.2436766360859,1548.0123305985355,38.8333,35.0,,,41.3,52.5,,,2.1667,4.0,50.7,36.0,,,0.0,0.0,,,,,,,,,,,,,,,,,42.32777737471183,,41.31643767867345,,2.2395038954251785,46.672064929827414,,0.0,,,,,,,,,35.69504239596166,,41.2691654827403,,0.5539913571903416,5.911271521105353,,0.3286355755289072,,,,,,,,,0.7533070166316244,3,6,56.0,9.0,,60.0,,0.0,0.0,,0.0,,,,,,,,,72.0,,28.999999999999996,,0.0,0.0,,0.0,,,,,,,,,1.0,2,2,161.0,33.32777737471183,,-18.683562321326548,,2.2395038954251785,46.672064929827414,,0.0,,,,-0.24669298336837564,-6.768653962449662,1,4,-105.0,15.240000000000009,20.319999999999993,0.0,0.0,,,,0.0,0.0,1,0.25,0.0,0.75,0.5,0.0,0.0,-0.25,0.0,0.75,0.425531914893617,0.5918367346938775,-0.16630481980026052,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.17699115044247787,0.058997050147492625,0.29411764705882354,0.3076923076923077,0.17391304347826086,0.2222222222222222,0.6666666666666666,1.0,-0.33333333333333337,5,0,4.04305126783455,0,5.087596335232384,0,-1.0445450673978334,0,0,0,0.24875,0.0,0.4975,0.0,-0.24875,0.0,42.32777737471183,9.0,33.32777737471183,0.0,0.0,0.0,0.6700383253478212,1.008059501237486,-0.33802117588966485,8
Beneil Dariush,Anthony Rocco Martin,130.0,-140.0,130.0,71.4286,2014-08-23,"Tulsa, Oklahoma, USA", USA,Beneil Dariush,,Lightweight,MALE,3.0,1.0,0.0,0.0,18.0,42.0,1.0,1.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,185.42,170.0,1.0,0.0,0.0,9.0,43.5,0.5,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Southpaw,177.8,182.88,155.0,25.0,24.0,0.0,,,,,neither,SUB,2.0,3:38,518.0,500.0,210.0,345.0,525.0,555.0,400.0,1,1500.245698275934,1476.0,9.0,18.0,,,43.5,42.0,,,0.0,1.0,0.0,12.0,,,0.5,1.0,,,,,,,,,,,,,,,,,9.0,,42.0,,0.0,0.0,,1.0,,,,,,,,,20.015294646435077,,39.02941067592752,,2.7234416662347236,43.10412798673072,,0.39822701150634104,,,,,,,,,0.44249333402444213,0,2,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,1,203.0,,,,,,,,,,,,0.44249333402444213,24.245698275934046,0,1,-69.0,-5.079999999999984,-2.539999999999992,-15.0,1.0,,,,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43478260869565216,0.5833333333333334,-0.1485507246376812,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.15267175572519084,0.2247191011235955,0.16666666666666666,0.2,0.16,0.3225806451612903,0.5,0.0,0.5,4,0,4.90527477843843,0,5.318119993844216,0,-0.41284521540578645,0,0,0,0.0,0.995,0.0,0.0,0.0,0.995,9.0,0.0,9.0,0.0,0.0,0.0,0.5046631603869132,0.0,0.5046631603869132,3
Aaron Phillips,Matt Hobar,145.0,-155.0,145.0,64.5161,2014-08-23,"Tulsa, Oklahoma, USA", USA,Matt Hobar,,Bantamweight,MALE,3.0,1.0,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,177.8,177.8,135.0,1.0,0.0,0.0,18.0,45.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,175.26,177.8,135.0,25.0,27.0,0.0,,,,,neither,U-DEC,3.0,5:00,900.0,400.0,167.0,1305.0,380.0,375.0,707.0,0,1474.2096574366265,1474.76475193638,18.0,7.0,,,45.0,25.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,39.800000000000004,,0.6,42.8,,0.2,,,,,,,,,0.0,0,1,91.0,,,,,,,,,,,,,,,,,33.0,,33.0,,0.0,0.0,,1.0,,,,,,,,,0.0,0,1,84.0,,,,,,,,,,,,0.0,-0.5550944997535225,0,0,7.0,-2.5400000000000205,0.0,0.0,-2.0,,,,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40816326530612246,0.6078431372549019,-0.19967987194877945,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21052631578947367,0.0711743772241993,0.2,0.12391573729863693,0.20833333333333334,0.37453183520599254,0.0,0.0,0.0,2,0,4.5217885770490405,0,4.442651256490317,0,0.0791373205587238,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Tyron Woodley,Dong Hyun Kim,-210.0,190.0,47.619,190.0,2014-08-23,"Macau, China", China,Tyron Woodley,,Welterweight,MALE,3.0,0.0,4.0,0.0,25.4615,51.1,0.5385,2.4615,50.7,4.0,3.0,34.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,10.0,Southpaw,187.96,193.04,170.0,1.0,0.0,0.0,27.4,55.00000000000001,0.0,0.6,20.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Orthodox,175.26,187.96,170.0,32.0,32.0,0.0,10.0,4.0,,,Red,KO/TKO,1.0,1:01,61.0,,,,,,,1,1528.1815908254912,1580.833513467794,27.4,25.4615,,,55.00000000000001,51.1,,,0.6,2.4615,20.0,50.7,,,0.0,0.5385,,,,,,,,,,,,,,,,,28.91459558056348,,64.1842352119558,,0.2565276846168728,8.550922820562427,,0.0,,,,,,,,,39.67936576140722,,41.45434049833224,,1.7079003168932774,30.59098513304422,,0.5596800985995249,,,,,,,,,0.5482623432993011,0,5,70.0,27.668362130137634,,54.247430780279686,,2.835027725692431,56.42591807175846,,0.60119142452622,,,,,,,,,27.200583320205702,,46.82848035546834,,1.161500689573375,23.901436514054662,,0.8527410333096349,,,,,,,,,0.847491578260221,4,9,175.0,1.2462334504258443,,9.936804431676109,,-2.5785000410755585,-47.87499525119603,,-0.60119142452622,,,,-0.2992292349609199,-52.65192264230291,-4,-4,-105.0,-12.700000000000017,-5.079999999999984,0.0,0.0,,,,0.0,1.0,0,1.0,0.0,0.0,0.3,0.0,0.6,0.7,0.0,-0.6,0.6774193548387096,0.3448275862068966,0.33259176863181306,0,3.0,0,4.0,16.0,10.0,16.0,-6.0,0.0,1.0,-2.0,-24.0,0.0,0.0,,,,,,,0.6,0.7692307692307693,-0.1692307692307693,5,0,4.2626798770413155,0,5.170483995038151,0,-0.9078041179968359,0,0,0,0.995,0.0,0.2985,0.0,0.6965,0.0,28.91459558056348,27.668362130137634,1.2462334504258443,0.0,0.0,0.0,0.6122627922164704,0.777624935253229,-0.16536214303675856,14
Zhang Lipeng,Brendan O'Reilly,140.0,-150.0,140.0,66.6667,2014-08-23,"Macau, China", China,Zhang Lipeng,,Lightweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,175.26,170.0,0.0,1.0,0.0,10.0,40.0,2.0,4.0,40.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Southpaw,180.34,180.34,155.0,24.0,27.0,0.0,,,,,neither,,,,,,,,,,,1,1524.0,1500.0,10.0,,,,40.0,,,,4.0,,40.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,24.0,1,1,-190.0,10.159999999999997,5.0800000000000125,-15.0,-3.0,,,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.6,-0.1833333333333333,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,1.0,0.5,0.5,4,0,5.170483995038151,0,5.902633333401366,0,-0.7321493383632145,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1
Ning Guangyou,Jianping Yang,205.0,-225.0,205.0,44.4444,2014-08-23,"Macau, China", China,Ning Guangyou,,Featherweight,MALE,4.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,165.1,145.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,162.56,162.56,145.0,32.0,25.0,0.0,,,,,neither,,,,,,,,,,,1,1500.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,-7.6200000000000045,-2.539999999999992,0.0,7.0,,,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32786885245901637,0.6923076923076923,-0.3644388398486759,0,4.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.5,0.5,0.0,3,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0
Alberto Mina,Shinsho Anzai,-225.0,205.0,44.4444,205.0,2014-08-23,"Macau, China", China,Alberto Mina,,Welterweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,177.8,170.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,195.58,170.0,32.0,28.0,0.0,,,,,neither,KO/TKO,1.0,4:17,257.0,,,,,,,1,1500.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,12.699999999999989,17.78,0.0,4.0,,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.32786885245901637,0.3644388398486759,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.5,0.5,0.0,5,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0
Roland Delorme,Ulka Sasaki,130.0,-140.0,130.0,71.4286,2014-08-23,"Macau, China", China,Ulka Sasaki,,Bantamweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,177.8,180.34,125.0,2.0,0.0,0.0,24.8333,42.0,1.1667,1.8333,37.5,2.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,Orthodox,175.26,180.34,135.0,30.0,24.0,0.0,,,,,neither,,,,,,,,,,,0,1512.737520575101,1500.0,24.8333,,,,42.0,,,,1.8333,,37.5,,,,1.1667,,,,,,,,,,,,,,,,,,28.601635190095784,,52.77590281638082,,1.8523989662502376,27.438090152049604,,1.5153867290727596,,,,,,,,,29.957080110474607,,49.00399663062463,,0.14083039019207588,14.087165008687904,,0.7302279874555028,,,,,,,,,0.45981195171275446,0,5,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,12.737520575100916,0,5,-295.0,-2.5400000000000205,0.0,10.0,6.0,,,,0.0,1.0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.43478260869565216,0.5833333333333334,-0.1485507246376812,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,2.0,2.0,14.0,0.0,0.0,,,,,,,0.5,0.5,0.0,2,0,4.2626798770413155,0,5.902633333401366,0,-1.6399534563600504,0,0,0,0.0,0.6633333333333333,0.0,0.0,0.0,0.6633333333333333,28.601635190095784,0.0,28.601635190095784,0.0,0.0,0.0,0.5010076106949218,0.5,0.0010076106949218344,5
Yao Zhikui,Royston Wee,200.0,-220.0,200.0,45.4545,2014-08-23,"Macau, China", China,Royston Wee,,Bantamweight,MALE,3.0,0.0,1.0,0.0,8.0,66.0,0.0,6.0,85.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,170.18,170.18,135.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,165.1,162.56,125.0,23.0,27.0,0.0,,,,,neither,S-DEC,3.0,5:00,900.0,,,,,,,0,1500.0,1524.0,,8.0,,,,66.0,,,,6.0,,85.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1,231.0,,,,,,,,,,,,,-24.0,-1,-1,134.0,-5.0800000000000125,-7.6200000000000045,-10.0,-4.0,,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.3333333333333333,0.6875,-0.3541666666666667,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,,,,,,,0.5,1.0,-0.5,2,0,5.902633333401366,0,5.44673737166631,0,0.455895961735056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,1
Elizabeth Phillips,Milana Dudieva,130.0,-150.0,130.0,66.6667,2014-08-23,"Macau, China", China,Milana Dudieva,,Women's Bantamweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,160.02,154.94,135.0,1.0,0.0,0.0,67.0,24.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,167.64,165.1,135.0,28.0,25.0,0.0,,,,,neither,S-DEC,3.0,5:00,900.0,400.0,,1305.0,,375.0,,0,1476.0,1500.0,67.0,,,,24.0,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,1,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,-24.0,0,1,-295.0,7.619999999999976,10.159999999999997,0.0,3.0,,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43478260869565216,0.6,-0.16521739130434782,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.21052631578947367,0.0711743772241993,0.2,,,,0.0,0.5,-0.5,2,0,4.2626798770413155,0,5.902633333401366,0,-1.6399534563600504,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1
Michael Bisping,Cung Le,-235.0,215.0,42.5532,215.0,2014-08-23,"Macau, China", China,Michael Bisping,,Middleweight,MALE,5.0,0.0,2.0,0.0,31.6667,45.7,0.0,0.6667,33.300000000000004,2.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Southpaw,175.26,175.26,185.0,1.0,0.0,0.0,49.35,40.1,0.25,1.3,33.4,4.0,6.0,50.0,1.0,0.0,1.0,5.0,8.0,0.0,0.0,14.0,Orthodox,185.42,190.5,185.0,35.0,42.0,0.0,,8.0,,,Red,KO/TKO,4.0,0:57,957.0,,,,,,,1,1553.429856783134,1522.6721919471722,49.35,31.6667,,,40.1,45.7,,,1.3,0.6667,33.4,33.300000000000004,,,0.25,0.0,,,,,,,,,,,,,,,,,47.654670944289784,,41.211944705166374,,1.4371052359918237,39.46590292380451,,0.31130568415416676,,,,,,,,,25.75227557516975,,45.48520360680443,,0.9922380767333925,23.729701923697622,,0.3141308167842123,,,,,,,,,0.5221371434495219,0,9,129.0,38.41132665871891,,41.508779996890006,,0.5575066659755579,27.875333298777896,,0.0,,,,,,,,,30.283637739553726,,43.30093095511397,,0.4808290909503329,22.42910672854838,,0.13185976224799975,,,,,,,,,0.7400789501051268,2,3,651.0,9.24334428557087,,-0.29683529172363166,,0.8795985700162658,11.59056962502661,,0.31130568415416676,,,,-0.21794180665560492,30.757664835961805,-2,6,-522.0,10.159999999999997,15.240000000000009,0.0,-7.0,,,,0.0,1.0,0,0.5714285714285714,0.0,0.35714285714285715,0.5,0.0,0.5,0.0714285714285714,0.0,-0.14285714285714285,0.7014925373134329,0.31746031746031744,0.3840322198531154,0,5.0,0,8.0,16.0,16.0,16.0,-8.0,0.0,1.0,2.0,44.0,1.0,0.0,,,,,,,0.7,0.6666666666666666,0.033333333333333326,6,0,4.867534450455582,1,6.480044561926653,-1,-1.612510111471071,0,0,0,0.5685714285714285,0.0,0.4975,0.0,0.07107142857142851,0.0,47.654670944289784,38.41132665871891,9.24334428557087,0.0,0.0,0.0,0.7164825412560636,0.6595705321384528,0.05691200911761074,12
