tour,tourney_id,tourney_name,tourney_level,surface,draw_size,tourney_date,match_num,round,best_of,minutes,score,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_age,loser_age,winner_hand,loser_hand,winner_ht,loser_ht,winner_seed,loser_seed,winner_entry,loser_entry
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,1,R32,3,,6-2 3-6 6-2,Lanlana Tararudee,Simona Waltert,329651,325771,,,,,,,,,,,,7,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,2,R32,3,,6-0 6-0,Mai Hontama,Elizabeth Abarquez,324750,337032,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,3,R32,3,,6-0 6-4,Yuliia Starodubtseva,Peangtarn Plipuech,325338,316554,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,4,R32,3,,6-4 6-3,Camila Osorio,Sakura Hosogi,325898,327398,,,,,,,,,,,5,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,5,R32,3,,6-3 7-5,Polina Kudermetova,Miho Kuramochi,328897,331153,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,6,R32,3,,6-7(8) 7-6(4) 6-4,Sofia Costoulas,Viktoria Morvayova,330451,324465,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,7,R32,3,,6-4 6-0,Mananchaya Sawangkaew,Tennielle Madis,326929,337030,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,8,R32,3,,6-1 6-2,Alexandra Eala,Alina Charaeva,330332,329198,,,,,,,,,,,2,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,9,R32,3,,7-6(5) 6-4,Tatjana Maria,Leolia Jeanjean,310440,320313,,,,,,,,,,,1,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,10,R32,3,,6-1 6-0,Tatiana Prozorova,Kaye Ann Emana,330723,337031,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,11,R32,3,,6-1 7-6(6),Ye-Xin Ma,Darja Semenistaja,322417,329457,,,,,,,,,,,,8,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,12,R32,3,,6-2 6-2,Mariia Tkacheva,Sara Saito,328472,332175,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,13,R32,3,,6-3 7-5,Himeno Sakatsume,Nao Hibino,326568,320238,,,,,,,,,,,,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,14,R32,3,,6-2 6-2,Donna Vekic,Kyoka Okamura,318516,319183,,,,,,,,,,,4,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,15,R32,3,,6-4 7-6(5),Solana Sierra,Joanna Garland,329081,326512,,,,,,,,,,,3,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,16,R32,3,,7-5 6-4,Lin Zhu,Lulu Sun,317306,324576,,,,,,,,,,,,6,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,17,R16,3,,6-4 4-6 6-2,Camila Osorio,Mai Hontama,325898,324750,,,,,,,,,,,5,,,
wta,2026-1153,Manila 125,WTA 125,Hard,32,20260126,18,R16,3,,6-2 6-4,Sofia Costoulas,Ye-Xin Ma,330451,322417,,,,,,,,,,,,,,
