event_year,tour,player_a,player_b,source_event_id,scheduled_match_start,snapshot_timestamp,bookmaker_last_update,snapshot_before_start,bookmaker_update_before_start,snapshot_gap_minutes
2022,atp,Kevin Anderson,Reilly Opelka,5e610fb90d1ce7aa2c25335847ce8711,2022-01-17 06:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,725.0
2022,atp,Thanasi Kokkinakis,Yannick Hanfmann,9f13b3282a956f0c9fcf7594b399f16e,2022-01-17 06:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,725.0
2022,atp,Aslan Karatsev,Jaume Munar,d775970e5f7e6434a3d1f4255581a032,2022-01-17 07:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,800.0
2022,atp,Feliciano Lopez,John Millman,49b22cd6ffc6c3da18f2b5f46cdc82eb,2022-01-17 08:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,845.0
2022,atp,Alexander Zverev,Daniel Altmaier,4f8315ecb1546f4b3b7797c432d5fc8e,2022-01-17 09:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,920.0
2022,atp,Andreas Seppi,Kamil Majchrzak,e76c61d751ada585f9fefb949e6788f8,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Alex De Minaur,Lorenzo Musetti,5debf4049acd916e2dfcf0107dbeff78,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Andy Murray,Nikoloz Basilashvili,7a8424b55e57e7501058a0c74ec87eab,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Jordan Thompson,Steve Johnson,ab577468eaf691a46bcf2f2fe679bcbb,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
2022,atp,Jannik Sinner,Joao Sousa,0ae97d8dc7bf9a46a880995429be789c,2022-01-18 00:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:58+00:00,True,True,1805.0
