tour,snapshot_date,player_id,display_name,full_name,rank,rank_points,source_url,fetched_at_utc
wta,2025-06-16,320760,Aryna Sabalenka,Aryna Sabalenka,1,11553,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,328560,Coco Gauff,Coco Gauff,2,8083,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,316956,Jessica Pegula,Jessica Pegula,3,6483,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,328120,Qinwen Zheng,Qinwen Zheng,4,4853,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,319280,Jasmine Paolini,Jasmine Paolini,5,4805,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,316959,Madison Keys,Madison Keys,6,4669,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,331809,Mirra Andreeva,Mirra Andreeva,7,4636,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,326408,Iga Swiatek,Iga Swiatek,8,4618,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,325410,Emma Navarro,Emma Navarro,9,3697,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
wta,2025-06-16,320124,Paula Badosa,Paula Badosa,10,3684,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2025-06-16&name=&nationality=,2026-03-22T00:45:50Z
