tour,snapshot_date,player_id,display_name,full_name,rank,rank_points,source_url,fetched_at_utc
wta,2024-01-01,326408,Iga Swiatek,Iga Swiatek,1,9505,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,320760,Aryna Sabalenka,Aryna Sabalenka,2,9050,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,328560,Coco Gauff,Coco Gauff,3,6690,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,324166,Elena Rybakina,Elena Rybakina,4,6366,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,316956,Jessica Pegula,Jessica Pegula,5,6180,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,316847,Ons Jabeur,Ons Jabeur,6,4260,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,323027,Marketa Vondrousova,Marketa Vondrousova,7,4046,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,318312,Maria Sakkari,Maria Sakkari,8,3785,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,322191,Karolina Muchova,Karolina Muchova,9,3650,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,318314,Barbora Krejcikova,Barbora Krejcikova,10,2945,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,318176,Beatriz Haddad Maia,Beatriz Haddad Maia,11,2940,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,319939,Jelena Ostapenko,Jelena Ostapenko,12,2830,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,316959,Madison Keys,Madison Keys,13,2818,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,328120,Qinwen Zheng,Qinwen Zheng,14,2770,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,322222,Liudmila Samsonova,Liudmila Samsonova,15,2760,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,319526,Veronika Kudermetova,Veronika Kudermetova,16,2720,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,314206,Petra Kvitova,Petra Kvitova,17,2715,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,322082,Daria Kasatkina,Daria Kasatkina,18,2715,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,319001,Belinda Bencic,Belinda Bencic,19,2572,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,315391,Caroline Garcia,Caroline Garcia,20,2330,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,319007,Ekaterina Alexandrova,Ekaterina Alexandrova,21,2075,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,315130,Magda Linette,Magda Linette,22,1921,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,312001,Victoria Azarenka,Victoria Azarenka,23,1916,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,318516,Donna Vekic,Donna Vekic,24,1905,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,316738,Elina Svitolina,Elina Svitolina,25,1809,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,312469,Sorana Cirstea,Sorana Cirstea,26,1800,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,320567,Anhelina Kalinina,Anhelina Kalinina,27,1630,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,325601,Anastasia Potapova,Anastasia Potapova,28,1611,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,319280,Jasmine Paolini,Jasmine Paolini,29,1530,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
wta,2024-01-01,317964,Elise Mertens,Elise Mertens,30,1506,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-01-01&name=&nationality=,2026-03-22T00:53:03Z
