tour,snapshot_date,player_id,display_name,full_name,rank,rank_points,source_url,fetched_at_utc
wta,2022-04-11,326408,Iga Swiatek,Iga Swiatek,1,6711,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318314,Barbora Krejcikova,Barbora Krejcikova,2,4975,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320124,Paula Badosa,Paula Badosa,3,4885,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320760,Aryna Sabalenka,Aryna Sabalenka,4,4711,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318312,Maria Sakkari,Maria Sakkari,5,4705,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318425,Anett Kontaveit,Anett Kontaveit,6,4511,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,313974,Karolina Pliskova,Karolina Pliskova,7,4252,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316925,Danielle Collins,Danielle Collins,8,3151,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316847,Ons Jabeur,Ons Jabeur,9,3095,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316239,Garbiñe Muguruza,Garbiñe Muguruza,10,3070,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,319939,Jelena Ostapenko,Jelena Ostapenko,11,2805,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,328366,Emma Raducanu,Emma Raducanu,12,2698,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,319001,Belinda Bencic,Belinda Bencic,13,2561,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316956,Jessica Pegula,Jessica Pegula,14,2510,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,313796,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova,15,2473,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,328560,Coco Gauff,Coco Gauff,16,2300,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,311470,Angelique Kerber,Angelique Kerber,17,2297,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,312001,Victoria Azarenka,Victoria Azarenka,18,2281,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,324166,Elena Rybakina,Elena Rybakina,19,2261,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,314320,Simona Halep,Simona Halep,20,2156,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,326735,Leylah Fernandez,Leylah Fernandez,21,2151,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316959,Madison Keys,Madison Keys,22,1958,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,317964,Elise Mertens,Elise Mertens,23,1840,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,312469,Sorana Cirstea,Sorana Cirstea,24,1840,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316738,Elina Svitolina,Elina Svitolina,25,1836,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,322082,Daria Kasatkina,Daria Kasatkina,26,1770,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,323079,Tamara Zidansek,Tamara Zidansek,27,1756,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,314206,Petra Kvitova,Petra Kvitova,28,1690,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,319526,Veronika Kudermetova,Veronika Kudermetova,29,1675,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,314610,Camila Giorgi,Camila Giorgi,30,1603,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,322222,Liudmila Samsonova,Liudmila Samsonova,31,1532,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,323027,Marketa Vondrousova,Marketa Vondrousova,32,1457,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,326384,Amanda Anisimova,Amanda Anisimova,33,1320,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,312121,Alizé Cornet,Alizé Cornet,34,1315,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,319998,Naomi Osaka,Naomi Osaka,35,1296,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320567,Anhelina Kalinina,Anhelina Kalinina,36,1278,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320926,Jil Teichmann,Jil Teichmann,37,1269,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,327793,Clara Tauson,Clara Tauson,38,1249,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,316296,Viktorija Golubic,Viktorija Golubic,39,1211,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,319007,Ekaterina Alexandrova,Ekaterina Alexandrova,40,1211,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,311779,Shuai Zhang,Shuai Zhang,41,1210,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,315232,Ajla Tomljanovic,Ajla Tomljanovic,42,1206,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,312850,Alison Riske-Amritraj,Alison Riske-Amritraj,43,1201,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,315683,Sloane Stephens,Sloane Stephens,44,1183,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320301,Katerina Siniakova,Katerina Siniakova,45,1166,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,317421,Shelby Rogers,Shelby Rogers,46,1164,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,325898,Camila Osorio,Camila Osorio,47,1164,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,319280,Jasmine Paolini,Jasmine Paolini,48,1159,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318872,Sara Sorribes Tormo,Sara Sorribes Tormo,49,1135,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318060,Tereza Martincova,Tereza Martincova,50,1128,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,317790,Aliaksandra Sasnovich,Aliaksandra Sasnovich,51,1123,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,317683,Yulia Putintseva,Yulia Putintseva,52,1121,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,326482,Marta Kostyuk,Marta Kostyuk,53,1095,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,110536,Kaia Kanepi,Kaia Kanepi,54,1085,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,314359,Nuria Parrizas Diaz,Nuria Parrizas Diaz,55,1075,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320408,Elena-Gabriela Ruse,Elena-Gabriela Ruse,56,1073,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,312328,Madison Brengle,Madison Brengle,57,1067,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,315130,Magda Linette,Magda Linette,58,1061,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,317819,Alison Van Uytvanck,Alison Van Uytvanck,59,1035,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,313711,Petra Martic,Petra Martic,60,1029,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318176,Beatriz Haddad Maia,Beatriz Haddad Maia,61,1015,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,318711,Mayar Sherif,Mayar Sherif,62,1005,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,313169,Irina-Camelia Begu,Irina-Camelia Begu,63,1004,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,320682,Ana Konjuh,Ana Konjuh,64,1003,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,326096,Ann Li,Ann Li,65,995,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,322191,Karolina Muchova,Karolina Muchova,66,958,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
wta,2022-04-11,310770,Andrea Petkovic,Andrea Petkovic,67,947,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2022-04-11&name=&nationality=,2026-03-22T00:51:31Z
