tour,snapshot_date,player_id,display_name,full_name,rank,rank_points,source_url,fetched_at_utc
wta,2024-12-23,320760,Aryna Sabalenka,Aryna Sabalenka,1,9416,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,326408,Iga Swiatek,Iga Swiatek,2,8295,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,328560,Coco Gauff,Coco Gauff,3,6530,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,319280,Jasmine Paolini,Jasmine Paolini,4,5344,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,328120,Qinwen Zheng,Qinwen Zheng,5,5340,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,324166,Elena Rybakina,Elena Rybakina,6,5171,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,316956,Jessica Pegula,Jessica Pegula,7,4705,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,325410,Emma Navarro,Emma Navarro,8,3589,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,322082,Daria Kasatkina,Daria Kasatkina,9,3368,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,318314,Barbora Krejcikova,Barbora Krejcikova,10,3214,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,316925,Danielle Collins,Danielle Collins,11,3178,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,320124,Paula Badosa,Paula Badosa,12,2908,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,330482,Diana Shnaider,Diana Shnaider,13,2895,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,323942,Anna Kalinskaya,Anna Kalinskaya,14,2743,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,319939,Jelena Ostapenko,Jelena Ostapenko,15,2588,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,331809,Mirra Andreeva,Mirra Andreeva,16,2578,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,318176,Beatriz Haddad Maia,Beatriz Haddad Maia,17,2554,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,326482,Marta Kostyuk,Marta Kostyuk,18,2493,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,318516,Donna Vekic,Donna Vekic,19,2258,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,312001,Victoria Azarenka,Victoria Azarenka,20,2127,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,316959,Madison Keys,Madison Keys,21,2126,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,322191,Karolina Muchova,Karolina Muchova,22,1971,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,316738,Elina Svitolina,Elina Svitolina,23,1942,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,319125,Katie Boulter,Katie Boulter,24,1931,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,320277,Magdalena Frech,Magdalena Frech,25,1928,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,329668,Linda Noskova,Linda Noskova,26,1913,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,322222,Liudmila Samsonova,Liudmila Samsonova,27,1885,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,319007,Ekaterina Alexandrova,Ekaterina Alexandrova,28,1848,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,317683,Yulia Putintseva,Yulia Putintseva,29,1844,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,313796,Anastasia Pavlyuchenkova,Anastasia Pavlyuchenkova,30,1807,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,326735,Leylah Fernandez,Leylah Fernandez,31,1755,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,318312,Maria Sakkari,Maria Sakkari,32,1743,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,324261,Dayana Yastremska,Dayana Yastremska,33,1565,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,317964,Elise Mertens,Elise Mertens,34,1554,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,325601,Anastasia Potapova,Anastasia Potapova,35,1482,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,326384,Amanda Anisimova,Amanda Anisimova,36,1461,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,326376,Xinyu Wang,Xinyu Wang,37,1418,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,315130,Magda Linette,Magda Linette,38,1376,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,323027,Marketa Vondrousova,Marketa Vondrousova,39,1363,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,324576,Lulu Sun,Lulu Sun,40,1300,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,313974,Karolina Pliskova,Karolina Pliskova,41,1265,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,316847,Ons Jabeur,Ons Jabeur,42,1226,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,327620,Elina Avanesyan,Elina Avanesyan,43,1182,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,320983,Marie Bouzkova,Marie Bouzkova,44,1178,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,320301,Katerina Siniakova,Katerina Siniakova,45,1177,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
wta,2024-12-23,320228,Rebecca Sramkova,Rebecca Sramkova,46,1166,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2024-12-23&name=&nationality=,2026-03-22T00:53:47Z
