label,accuracy,accuracy_vs_baseline,log_loss,brier_score,ece,n_test
OLD XGBoost,0.6522177419354839,0.08467741935483875,0.6356922163532202,0.22125633006018472,0.05800283018821718,992
NEW XGBoost (odds noise + time decay),0.6522177419354839,0.08467741935483875,0.6353145026217554,0.22123107249986246,0.08392432810932803,992
OLD Logistic,0.6612903225806451,0.09375,0.6270841200565699,0.21747616188076485,0.08859027998931882,992
NEW Logistic (odds noise + time decay),0.6612903225806451,0.09375,0.62776124102412,0.21775799953142597,0.08553458003472403,992
OLD No-Odds Baseline,0.5816532258064516,0.014112903225806495,0.6684438496651159,0.23815673937070617,0.08321009411052696,992
NEW No-Odds Baseline (time decay),0.5816532258064516,0.014112903225806495,0.6684438496651159,0.23815673937070617,0.08321009411052696,992
