model,accuracy,log_loss,brier_score,baseline_accuracy,accuracy_vs_baseline,n_test_fights
xgboost,0.5766129032258065,0.6684096701021381,0.23799023820457632,0.5675403225806451,0.009072580645161366,992
logistic,0.625,0.6571287639552571,0.23197540694164606,0.5675403225806451,0.05745967741935487,992
