min_edge,kelly_fraction,total_bets,win_rate,roi,total_profit,bankroll_change_pct,avg_edge
0.02,0.1,682,0.5146627565982405,0.1322149850207696,1650.0245029613016,1.6500245029613039,0.05234885566098882
0.02,0.15,682,0.5146627565982405,0.12149411694597913,3143.7647609177834,3.1437647609177866,0.05234885566098882
0.02,0.2,682,0.5146627565982405,0.11266422681401975,5291.477081286434,5.291477081286441,0.05234885566098882
0.02,0.25,682,0.5146627565982405,0.1063666597788505,8323.893147649593,8.32389314764958,0.05234885566098882
0.02,0.33,682,0.5146627565982405,0.09609405950496701,13034.702725066127,13.034702725066118,0.05234885566098882
0.02,0.5,682,0.5146627565982405,0.07403976508939243,17482.55290520763,17.482552905207616,0.05234885566098882
0.03,0.1,534,0.5037453183520599,0.13492512001214965,1417.5192630940437,1.4175192630940423,0.059880358524314656
0.03,0.15,534,0.5037453183520599,0.12324654766448118,2616.2493671156435,2.616249367115645,0.059880358524314656
0.03,0.2,534,0.5037453183520599,0.11346688630251209,4257.125528442609,4.257125528442613,0.059880358524314656
0.03,0.25,534,0.5037453183520599,0.10634678971701284,6466.252774686801,6.466252774686803,0.059880358524314656
0.03,0.33,534,0.5037453183520599,0.09454490308230655,9519.883235896563,9.519883235896568,0.059880358524314656
0.03,0.5,534,0.5037453183520599,0.06991897247010552,11158.332458638455,11.158332458638444,0.059880358524314656
0.04,0.1,402,0.5099502487562189,0.15288102954373292,1315.636045462139,1.315636045462138,0.06814461364045077
0.04,0.15,402,0.5099502487562189,0.14050089820513148,2398.146606059197,2.398146606059199,0.06814461364045077
0.04,0.2,402,0.5099502487562189,0.13019905972409695,3855.5782456566967,3.855578245656696,0.06814461364045077
0.04,0.25,402,0.5099502487562189,0.12300008796031343,5787.935189091295,5.787935189091298,0.06814461364045077
0.04,0.33,402,0.5099502487562189,0.11078493824611062,8360.285658298317,8.360285658298322,0.06814461364045077
0.04,0.5,402,0.5099502487562189,0.08497471867182803,9501.918928231893,9.501918928231882,0.06814461364045077
0.05,0.1,300,0.47,0.1323250353876003,769.4145042640329,0.7694145042640324,0.07616087313299676
0.05,0.15,300,0.47,0.1224691148621966,1277.2720383969015,1.2772720383969012,0.07616087313299676
0.05,0.2,300,0.47,0.11388140036532074,1858.7198313185972,1.858719831318599,0.07616087313299676
0.05,0.25,300,0.47,0.10795270768235783,2519.143364446583,2.5191433644465873,0.07616087313299676
0.05,0.33,300,0.47,0.09470218600552306,2989.9781385063566,2.989978138506356,0.07616087313299676
0.05,0.5,300,0.47,0.062029294002642246,2120.193524243193,2.120193524243196,0.07616087313299676
0.07,0.1,165,0.48484848484848486,0.21195732500838418,773.9261395228634,0.7739261395228634,0.09044502688597623
0.07,0.15,165,0.48484848484848486,0.19966627204683068,1301.7661905264424,1.3017661905264413,0.09044502688597623
0.07,0.2,165,0.48484848484848486,0.18937335154396845,1926.779165284107,1.9267791652841089,0.09044502688597623
0.07,0.25,165,0.48484848484848486,0.18404086115188728,2665.929415441498,2.665929415441497,0.09044502688597623
0.07,0.33,165,0.48484848484848486,0.17405344862808747,3337.194651391286,3.3371946513912842,0.09044502688597623
0.07,0.5,165,0.48484848484848486,0.1511399765034738,2923.196774153922,2.9231967741539213,0.09044502688597623
0.1,0.1,41,0.5365853658536586,0.40107752035848776,416.42675706260707,0.41642675706260707,0.11809122049040506
0.1,0.15,41,0.5365853658536586,0.3726862767118856,664.2983807878676,0.6642983807878677,0.11809122049040506
0.1,0.2,41,0.5365853658536586,0.3514185824454345,933.645375655206,0.9336453756552067,0.11809122049040506
0.1,0.25,41,0.5365853658536586,0.3510260462712508,1237.1983206039488,1.237198320603949,0.11809122049040506
0.1,0.33,41,0.5365853658536586,0.352583630209181,1480.1742863085585,1.4801742863085583,0.11809122049040506
0.1,0.5,41,0.5365853658536586,0.3544694270962287,1503.960608755234,1.5039606087552333,0.11809122049040506
