rank_gap_bucket,rows,log_loss,brier_score,accuracy,avg_pred,actual_win_rate
0-10,213,0.6864537120586951,0.2466821620401615,0.5117370892018779,0.5059811050287076,0.49295774647887325
100+,231,0.5832599003820294,0.2008268308241915,0.6926406926406926,0.5688481758908243,0.5367965367965368
11-25,325,0.6413640504705745,0.22583648586666466,0.6523076923076923,0.5210703036489545,0.52
26-50,402,0.6385646540816912,0.22499966695270407,0.6169154228855721,0.5287238943954461,0.5348258706467661
51-100,406,0.5457003208464093,0.18329572763514024,0.7266009852216748,0.5244965144479644,0.5073891625615764
