history_bucket,rows,log_loss,brier_score,accuracy,avg_pred,actual_win_rate
11-20,194,0.6267965806291146,0.21977554753403936,0.6391752577319587,0.5382448478588919,0.5257731958762887
21+,1193,0.6071355228025149,0.2111614839028504,0.6512992455993294,0.5311215482944838,0.5264040234702431
3-5,78,0.6821060814527671,0.24221230466312038,0.6153846153846154,0.4855809805646918,0.46153846153846156
6-10,112,0.611900228262548,0.21209304995567008,0.6696428571428571,0.518709991220161,0.4732142857142857
