fold,train_rows,test_rows,start_date,end_date,log_loss,brier_score
0,3934,2850,2023-01-01,2023-07-01,0.6256575996719669,0.21840271000496708
1,6784,2122,2023-07-01,2024-01-01,0.6288888760648167,0.21980474354054585
2,8906,2906,2024-01-01,2024-07-01,0.6166280086011575,0.21517491800893518
3,11812,2376,2024-07-01,2025-01-01,0.624241181130581,0.21814518364859425
4,14188,2868,2025-01-01,2025-07-01,0.6336852913156356,0.22176255080561066
5,17056,2517,2025-07-01,2026-01-01,0.6326149443502631,0.22130889969801956
6,19573,1577,2026-01-01,2026-03-19,0.6136007072061951,0.2138231375247068
