tour,player_id,player_name,needs_age,needs_hand,needs_height,affected_rows,latest_event_date,missing_fields
atp,D0LJ,D. Dedura,True,True,True,3,2025-05-18,"age,hand,height_cm"
atp,D923,D. Dzumhur,True,True,True,51,2026-03-18,"age,hand,height_cm"
atp,E687,D. Evans,True,True,True,13,2025-07-21,"age,hand,height_cm"
atp,GE33,D. Galan,True,True,True,7,2025-08-24,"age,hand,height_cm"
atp,GB88,D. Goffin,True,True,True,32,2025-10-20,"age,hand,height_cm"
atp,KE73,D. Koepfer,True,True,True,3,2025-01-27,"age,hand,height_cm"
atp,L987,D. Lajovic,True,True,True,17,2026-02-23,"age,hand,height_cm"
atp,M0C2,D. Martin,True,True,True,1,2025-07-27,"age,hand,height_cm"
atp,MM58,D. Medvedev,True,True,True,87,2026-03-18,"age,hand,height_cm"
atp,M0N7,D. Merida,True,True,True,1,2026-03-04,"age,hand,height_cm"
atp,PG20,D. Popko,True,True,True,1,2025-02-10,"age,hand,height_cm"
atp,P0HW,D. Prizmic,True,True,True,13,2026-03-04,"age,hand,height_cm"
atp,SM37,D. Schwartzman,True,True,True,2,2025-02-10,"age,hand,height_cm"
atp,SU55,D. Shapovalov,True,True,True,59,2026-03-18,"age,hand,height_cm"
atp,S0LA,D. Stricker,True,True,True,4,2025-07-14,"age,hand,height_cm"
atp,S0DE,D. Suresh,True,True,True,1,2025-08-17,"age,hand,height_cm"
atp,S0GD,D. Svrcina,True,True,True,13,2026-03-04,"age,hand,height_cm"
atp,S0IA,D. Sweeny,True,True,True,3,2026-01-18,"age,hand,height_cm"
atp,M0K4,E. Moller,True,True,True,8,2026-02-23,"age,hand,height_cm"
atp,N0AM,E. Nava,True,True,True,22,2026-03-18,"age,hand,height_cm"
atp,Q02L,E. Quinn,True,True,True,39,2026-03-18,"age,hand,height_cm"
atp,RH24,E. Ruusuvuori,True,True,True,2,2025-10-13,"age,hand,height_cm"
atp,S0JA,E. Spizzirri,True,True,True,17,2026-02-09,"age,hand,height_cm"
atp,Y218,E. Ymer,True,True,True,8,2026-02-23,"age,hand,height_cm"
atp,AG37,F. Auger-Aliassime,True,True,True,88,2026-03-18,"age,hand,height_cm"
atp,BF23,F. Bagnis,True,True,True,3,2025-07-27,"age,hand,height_cm"
atp,C0AU,F. Cerundolo,True,True,True,76,2026-03-18,"age,hand,height_cm"
atp,C0NB,F. Cina,True,True,True,6,2025-10-13,"age,hand,height_cm"
atp,C0E9,F. Cobolli,True,True,True,63,2026-03-18,"age,hand,height_cm"
atp,C0DF,F. Comesana,True,True,True,49,2026-03-18,"age,hand,height_cm"
atp,CE77,F. Coria,True,True,True,7,2026-02-09,"age,hand,height_cm"
atp,D0CG,F. Diaz Acosta,True,True,True,9,2026-02-09,"age,hand,height_cm"
atp,F510,F. Fognini,True,True,True,6,2025-06-30,"age,hand,height_cm"
atp,GJ16,F. Gomez,True,True,True,3,2025-08-24,"age,hand,height_cm"
atp,M0IF,F. Maestrelli,True,True,True,3,2026-03-04,"age,hand,height_cm"
atp,M0CI,F. Marozsan,True,True,True,59,2026-03-18,"age,hand,height_cm"
atp,MW75,F. Meligeni Alves,True,True,True,2,2025-02-24,"age,hand,height_cm"
atp,M0JZ,F. Misolic,True,True,True,15,2026-01-18,"age,hand,height_cm"
atp,P0CT,F. Passaro,True,True,True,17,2026-02-23,"age,hand,height_cm"
atp,SX90,F. Sun,True,True,True,1,2025-09-17,"age,hand,height_cm"
atp,TD51,F. Tiafoe,True,True,True,60,2026-03-18,"age,hand,height_cm"
atp,B0QC,G. Bailly,True,True,True,2,2025-10-13,"age,hand,height_cm"
atp,BK24,G. Barrere,True,True,True,1,2025-01-27,"age,hand,height_cm"
atp,D0H9,G. Den Ouden,True,True,True,2,2026-02-09,"age,hand,height_cm"
atp,D0F6,G. Diallo,True,True,True,57,2026-03-18,"age,hand,height_cm"
atp,D875,G. Dimitrov,True,True,True,33,2026-03-18,"age,hand,height_cm"
atp,H0DU,G. Heide,True,True,True,4,2026-02-16,"age,hand,height_cm"
atp,L0CF,G. Loffhagen,True,True,True,2,2025-06-30,"age,hand,height_cm"
atp,MC65,G. Monfils,True,True,True,37,2026-03-04,"age,hand,height_cm"
atp,M0GZ,G. Mpetshi Perricard,True,True,True,54,2026-03-18,"age,hand,height_cm"
atp,N0AL,G. Nanda,True,True,True,2,2025-07-14,"age,hand,height_cm"
atp,O0A2,G. Onclin,True,True,True,1,2025-01-12,"age,hand,height_cm"
atp,Z0A1,G. Zeppieri,True,True,True,7,2025-10-13,"age,hand,height_cm"
atp,B0TP,H. Bernet,True,True,True,1,2025-10-20,"age,hand,height_cm"
atp,DA31,H. Dellien,True,True,True,11,2026-02-09,"age,hand,height_cm"
atp,G09O,H. Gaston,True,True,True,25,2026-01-18,"age,hand,height_cm"
atp,GF95,H. Grenier,True,True,True,3,2026-02-09,"age,hand,height_cm"
atp,HF80,H. Habib,True,True,True,6,2026-02-16,"age,hand,height_cm"
atp,HB71,H. Hurkacz,True,True,True,28,2026-03-18,"age,hand,height_cm"
atp,M0G4,H. Mayot,True,True,True,5,2025-04-23,"age,hand,height_cm"
atp,M0JF,H. Medjedovic,True,True,True,37,2026-02-09,"age,hand,height_cm"
atp,R0GO,H. Rocha,True,True,True,3,2025-05-25,"age,hand,height_cm"
atp,R0DG,H. Rune,True,True,True,52,2025-10-13,"age,hand,height_cm"
atp,S0TX,H. Searle,True,True,True,1,2025-06-30,"age,hand,height_cm"
atp,B0HY,I. Becroft,True,True,True,1,2025-01-06,"age,hand,height_cm"
atp,B0ID,I. Buse,True,True,True,15,2026-03-18,"age,hand,height_cm"
atp,GE28,I. Gakhov,True,True,True,1,2025-05-18,"age,hand,height_cm"
atp,I0BF,I. Ivanov,True,True,True,1,2025-11-02,"age,hand,height_cm"
atp,RD48,I. Marcondes,True,True,True,1,2026-02-16,"age,hand,height_cm"
atp,B0CD,J. Brooksby,True,True,True,42,2026-03-18,"age,hand,height_cm"
atp,C0C8,J. Cerundolo,True,True,True,24,2026-03-04,"age,hand,height_cm"
atp,CH12,J. Choinski,True,True,True,4,2026-02-16,"age,hand,height_cm"
atp,CI14,J. Clarke,True,True,True,1,2025-06-30,"age,hand,height_cm"
atp,D0CO,J. Draper,True,True,True,46,2026-03-18,"age,hand,height_cm"
atp,D994,J. Duckworth,True,True,True,27,2026-03-18,"age,hand,height_cm"
atp,E0DD,J. Engel,True,True,True,10,2025-12-17,"age,hand,height_cm"
atp,F0F2,J. Faria,True,True,True,18,2026-02-16,"age,hand,height_cm"
atp,F0BY,J. Fearnley,True,True,True,40,2026-03-18,"age,hand,height_cm"
atp,FA43,J. Ficovich,True,True,True,6,2025-07-27,"age,hand,height_cm"
atp,F0FV,J. Fonseca,True,True,True,48,2026-03-18,"age,hand,height_cm"
atp,KB95,J. Kubler,True,True,True,1,2026-01-18,"age,hand,height_cm"
atp,K0EP,J. Kym,True,True,True,6,2025-08-24,"age,hand,height_cm"
atp,L0BV,J. Lehecka,True,True,True,67,2026-03-18,"age,hand,height_cm"
atp,M0OQ,J. McCabe,True,True,True,4,2025-07-14,"age,hand,height_cm"
atp,M0NI,J. Mensik,True,True,True,62,2026-03-18,"age,hand,height_cm"
atp,M0ON,J. Monday,True,True,True,1,2025-06-30,"age,hand,height_cm"
atp,MU94,J. Munar,True,True,True,57,2026-02-09,"age,hand,height_cm"
atp,P0HT,J. Pinnington Jones,True,True,True,6,2026-02-09,"age,hand,height_cm"
atp,R0A7,J. Reis Da Silva,True,True,True,1,2026-02-16,"age,hand,height_cm"
