surface,rows,log_loss,brier_score,accuracy,avg_pred,actual_win_rate
Clay,162,0.6327186128234149,0.2211414141375821,0.6666666666666666,0.4870401535044013,0.48148148148148145
Hard,1415,0.6114119434535522,0.2129852853612539,0.6473498233215548,0.533652182496774,0.5236749116607774
