event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2023-09-15,atp,Davis Cup WG2 R1: LBN vs JAM,Davis Cup WG2 R1: LBN vs JAM 2023,RR,Hady Habib,Blaise Bicknell,Blaise Bicknell,Hady Habib,betexplorer_team_events,2023-09-15,Habib H. vs Bicknell B.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: LBN vs JAM,Davis Cup WG2 R1: LBN vs JAM 2023,RR,Mustapha El Natour,Daniel Azar,Daniel Azar,Mustapha El Natour,betexplorer_team_events,2023-09-16,El Natour M. vs Azar D.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: MON vs ECU,Davis Cup WG2 R1: MON vs ECU 2023,RR,Alvaro Guillen Meza,Valentin Vacherot,Alvaro Guillen Meza,Valentin Vacherot,betexplorer_team_events,2023-09-15,Guillen Meza A. vs Vacherot V.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: MON vs ECU,Davis Cup WG2 R1: MON vs ECU 2023,RR,Emilio Gomez,Valentin Vacherot,Emilio Gomez,Valentin Vacherot,betexplorer_team_events,2023-09-16,Gomez E. vs Vacherot V.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: MON vs ECU,Davis Cup WG2 R1: MON vs ECU 2023,RR,Lucas Catarina,Emilio Gomez,Emilio Gomez,Lucas Catarina,betexplorer_team_events,2023-09-15,Catarina L. vs Gomez E.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: SLO vs LUX,Davis Cup WG2 R1: SLO vs LUX 2023,RR,Alex Knaff,Bor Artnak,Alex Knaff,Bor Artnak,betexplorer_team_events,2023-09-15,Knaff A. vs Artnak B.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: SLO vs LUX,Davis Cup WG2 R1: SLO vs LUX 2023,RR,Blaz Rola,Alex Knaff,Alex Knaff,Blaz Rola,betexplorer_team_events,2023-09-16,Rola B. vs Knaff A.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: SLO vs LUX,Davis Cup WG2 R1: SLO vs LUX 2023,RR,Blaz Rola,Chris Rodesch,Blaz Rola,Chris Rodesch,betexplorer_team_events,2023-09-15,Rola B. vs Rodesch C.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-15,atp,Davis Cup WG2 R1: SLO vs LUX,Davis Cup WG2 R1: SLO vs LUX 2023,RR,Chris Rodesch,Bor Artnak,Bor Artnak,Chris Rodesch,betexplorer_team_events,2023-09-16,Rodesch C. vs Artnak B.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG1 R1: ARG vs LTU,Davis Cup WG1 R1: ARG vs LTU 2023,RR,Tomas Martin Etcheverry,Edas Butvilas,Edas Butvilas,Tomas Martin Etcheverry,betexplorer_team_events,2023-09-17,Etcheverry T. M. vs Butvilas E.,dc-wg1-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG1 R1: BIH vs GER,Davis Cup WG1 R1: BIH vs GER 2023,RR,Maximilian Marterer,Andrej Nedic,Andrej Nedic,Maximilian Marterer,betexplorer_team_events,2023-09-17,Marterer M. vs Nedic A.,dc-wg1-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG1 R1: PER vs NOR,Davis Cup WG1 R1: PER vs NOR 2023,RR,Ignacio Buse,Nicolai Budkov Kjaer,Ignacio Buse,Nicolai Budkov Kjaer,betexplorer_team_events,2023-09-17,Buse I. vs Budkov Kjaer N.,dc-wg1-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG1 R1: PER vs NOR,Davis Cup WG1 R1: PER vs NOR 2023,RR,Juan Pablo Varillas,Nicolai Budkov Kjaer,Juan Pablo Varillas,Nicolai Budkov Kjaer,betexplorer_team_events,2023-09-16,Varillas J. P. vs Budkov Kjaer N.,dc-wg1-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: ESA vs IRL,Davis Cup WG2 R1: ESA vs IRL 2023,RR,Conor Gannon,Cesar Cruz,Cesar Cruz,Conor Gannon,betexplorer_team_events,2023-09-16,Gannon C. vs Cruz C.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: ESA vs IRL,Davis Cup WG2 R1: ESA vs IRL 2023,RR,Freddy Murray,Jose  Flores,Freddy Murray,Jose  Flores,,,,,False,source_absent
2023-09-16,atp,Davis Cup WG2 R1: ESA vs IRL,Davis Cup WG2 R1: ESA vs IRL 2023,RR,Osgar Ohoisin,Diego Duran,Diego Duran,Osgar Ohoisin,,,,,False,source_absent
2023-09-16,atp,Davis Cup WG2 R1: HKG vs LAT,Davis Cup WG2 R1: HKG vs LAT 2023,RR,Coleman Wong,Martins Rocens,Coleman Wong,Martins Rocens,betexplorer_team_events,2023-09-16,Wong C. vs Rocens M.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: HKG vs LAT,Davis Cup WG2 R1: HKG vs LAT 2023,RR,Ki Lung Ng,Daniels Tens,Daniels Tens,Ki Lung Ng,betexplorer_team_events,2023-09-17,Ng K. L. vs Tens D.,dc-wg2-2023,False,source_has_no_numeric_odds
