event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2024-02-02,atp,Davis Cup QLS R1: SRB vs SVK,Davis Cup QLS R1: SRB vs SVK 2024,RR,Alex Molcan,Dusan Lajovic,Alex Molcan,Dusan Lajovic,betexplorer_team_events,2024-02-02,Molcan A. vs Lajovic D.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: SRB vs SVK,Davis Cup QLS R1: SRB vs SVK 2024,RR,Lukas Klein,Miomir Kecmanovic,Lukas Klein,Miomir Kecmanovic,betexplorer_team_events,2024-02-02,Klein L. vs Kecmanovic M.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: SWE vs BRA,Davis Cup QLS R1: SWE vs BRA 2024,RR,Elias Ymer,Gustavo Heide,Elias Ymer,Gustavo Heide,betexplorer_team_events,2024-02-02,Ymer E. vs Heide G.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: SWE vs BRA,Davis Cup QLS R1: SWE vs BRA 2024,RR,Thiago Monteiro,Elias Ymer,Elias Ymer,Thiago Monteiro,betexplorer_team_events,2024-02-03,Monteiro T. vs Ymer E.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup QLS R1: SWE vs BRA,Davis Cup QLS R1: SWE vs BRA 2024,RR,Thiago Monteiro,Karl Friberg,Karl Friberg,Thiago Monteiro,betexplorer_team_events,2024-02-02,Monteiro T. vs Friberg K.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup WG1 PO: EGY vs ECU,Davis Cup WG1 PO: EGY vs ECU 2024,RR,Andres Andrade,Michael Bassem Sobhy,Andres Andrade,Michael Bassem Sobhy,betexplorer_team_events,2024-02-03,Andrade A. vs Bassem Sobhy M.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup WG1 PO: NOR vs LAT,Davis Cup WG1 PO: NOR vs LAT 2024,RR,Nicolai Budkov Kjaer,Davis Rolis,Davis Rolis,Nicolai Budkov Kjaer,betexplorer_team_events,2024-02-03,Budkov Kjaer N. vs Rolis D.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup WG1 PO: NZL vs TUR,Davis Cup WG1 PO: NZL vs TUR 2024,RR,Altug Celikbilek,Ajeet Rai,Ajeet Rai,Altug Celikbilek,betexplorer_team_events,2024-02-02,Celikbilek A. vs Rai A.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup WG2 PO: ESA vs POC,Davis Cup WG2 PO: ESA vs POC 2024,RR,Juan Carlos Fuentes Vasquez,Matavao Fanguna,Juan Carlos Fuentes Vasquez,Matavao Fanguna,betexplorer_team_events,2024-02-03,Fuentes Vasquez J. vs Fanguna M.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-02,atp,Davis Cup WG2 PO: ESA vs POC,Davis Cup WG2 PO: ESA vs POC 2024,RR,Marcelo Arevalo,Heve Kelley,Heve Kelley,Marcelo Arevalo,betexplorer_team_events,2024-02-02,Arevalo M. vs Kelley H.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: ARG vs KAZ,Davis Cup QLS R1: ARG vs KAZ 2024,RR,Francisco Cerundolo,Dmitry Popko,Dmitry Popko,Francisco Cerundolo,betexplorer_team_events,2024-02-03,Cerundolo F. vs Popko D.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: ARG vs KAZ,Davis Cup QLS R1: ARG vs KAZ 2024,RR,Sebastian Baez,Dmitry Popko,Dmitry Popko,Sebastian Baez,betexplorer_team_events,2024-02-04,Baez S. vs Popko D.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: ARG vs KAZ,Davis Cup QLS R1: ARG vs KAZ 2024,RR,Timofey Skatov,Francisco Cerundolo,Francisco Cerundolo,Timofey Skatov,betexplorer_team_events,2024-02-04,Skatov T. vs Cerundolo F.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: ARG vs KAZ,Davis Cup QLS R1: ARG vs KAZ 2024,RR,Timofey Skatov,Tomas Martin Etcheverry,Timofey Skatov,Tomas Martin Etcheverry,betexplorer_team_events,2024-02-03,Skatov T. vs Etcheverry T. M.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CHI vs PER,Davis Cup QLS R1: CHI vs PER 2024,RR,Alejandro Tabilo,Ignacio Buse,Alejandro Tabilo,Ignacio Buse,betexplorer_team_events,2024-02-04,Tabilo A. vs Buse I.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CHI vs PER,Davis Cup QLS R1: CHI vs PER 2024,RR,Alejandro Tabilo,Juan Pablo Varillas,Alejandro Tabilo,Juan Pablo Varillas,betexplorer_team_events,2024-02-03,Tabilo A. vs Varillas J. P.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CHI vs PER,Davis Cup QLS R1: CHI vs PER 2024,RR,Ignacio Buse,Nicolas Jarry,Ignacio Buse,Nicolas Jarry,betexplorer_team_events,2024-02-03,Buse I. vs Jarry N.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CHI vs PER,Davis Cup QLS R1: CHI vs PER 2024,RR,Nicolas Jarry,Juan Pablo Varillas,Juan Pablo Varillas,Nicolas Jarry,betexplorer_team_events,2024-02-04,Jarry N. vs Varillas J. P.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CRO vs BEL,Davis Cup QLS R1: CRO vs BEL 2024,RR,Duje Ajdukovic,Joris De Loore,Duje Ajdukovic,Joris De Loore,betexplorer_team_events,2024-02-03,Ajdukovic D. vs De Loore J.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CRO vs BEL,Davis Cup QLS R1: CRO vs BEL 2024,RR,Zizou Bergs,Duje Ajdukovic,Duje Ajdukovic,Zizou Bergs,betexplorer_team_events,2024-02-04,Bergs Z. vs Ajdukovic D.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CRO vs BEL,Davis Cup QLS R1: CRO vs BEL 2024,RR,Zizou Bergs,Marin Cilic,Marin Cilic,Zizou Bergs,betexplorer_team_events,2024-02-03,Bergs Z. vs Cilic M.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CZE vs ISR,Davis Cup QLS R1: CZE vs ISR 2024,RR,Jakub Mensik,Yshai Oliel,Jakub Mensik,Yshai Oliel,betexplorer_team_events,2024-02-03,Mensik J. vs Oliel Y.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CZE vs ISR,Davis Cup QLS R1: CZE vs ISR 2024,RR,Jiri Lehecka,Daniel Cukierman,Daniel Cukierman,Jiri Lehecka,betexplorer_team_events,2024-02-03,Lehecka J. vs Cukierman D.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: CZE vs ISR,Davis Cup QLS R1: CZE vs ISR 2024,RR,Vit Kopriva,Orel Kimhi,Orel Kimhi,Vit Kopriva,betexplorer_team_events,2024-02-04,Kopriva V. vs Kimhi O.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: TPE vs FRA,Davis Cup QLS R1: TPE vs FRA 2024,RR,Adrian Mannarino,Tung Lin Wu,Adrian Mannarino,Tung Lin Wu,betexplorer_team_events,2024-02-03,Mannarino A. vs Wu Tung-Lin,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: TPE vs FRA,Davis Cup QLS R1: TPE vs FRA 2024,RR,Luca Van Assche,Yu Hsiou Hsu,Luca Van Assche,Yu Hsiou Hsu,betexplorer_team_events,2024-02-03,van Assche L. vs Hsu Y. H.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup QLS R1: TPE vs FRA,Davis Cup QLS R1: TPE vs FRA 2024,RR,Quentin Halys,Chun Hsin Tseng,Chun Hsin Tseng,Quentin Halys,betexplorer_team_events,2024-02-04,Halys Q. vs Tseng C. H.,dc-wg-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG1 PO: BUL vs BIH,Davis Cup WG1 PO: BUL vs BIH 2024,RR,Petr Nesterov,Andrej Nedic,Andrej Nedic,Petr Nesterov,betexplorer_team_events,2024-02-04,Nesterov P. vs Nedic A.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG1 PO: GRE vs ROU,Davis Cup WG1 PO: GRE vs ROU 2024,RR,Ioannis Xilas,Luca Preda,Ioannis Xilas,Luca Preda,betexplorer_team_events,2024-02-04,Xilas I. vs Preda L.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG1 PO: IRL vs AUT,Davis Cup WG1 PO: IRL vs AUT 2024,RR,Lucas Miedler,Michael Agwi,Lucas Miedler,Michael Agwi,betexplorer_team_events,2024-02-04,Miedler L. vs Agwi M.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG1 PO: LTU vs GEO,Davis Cup WG1 PO: LTU vs GEO 2024,RR,Vilius Gaubas,Zura Tkemaladze,Vilius Gaubas,Zura Tkemaladze,betexplorer_team_events,2024-02-04,Gaubas V. vs Tkemaladze Z.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG1 PO: PAK vs IND,Davis Cup WG1 PO: PAK vs IND 2024,RR,N Sriram Balaji,Aqeel Khan,Aqeel Khan,N Sriram Balaji,betexplorer_team_events,2024-02-03,Balaji N. S. vs Khan A.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG1 PO: PAK vs IND,Davis Cup WG1 PO: PAK vs IND 2024,RR,Niki Kaliyanda Poonacha,Muhammad Shoaib,Muhammad Shoaib,Niki Kaliyanda Poonacha,betexplorer_team_events,2024-02-04,Kaliyanda Poonacha N. vs Shoaib M.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: BOL vs THA,Davis Cup WG2 PO: BOL vs THA 2024,RR,Boris Arias,Thanapet Chanta,Boris Arias,Thanapet Chanta,betexplorer_team_events,2024-02-04,Arias B. vs Chanta T.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: CYP vs MAR,Davis Cup WG2 PO: CYP vs MAR 2024,RR,Stylianos Christodoulou,Hamza Karmoussi,Hamza Karmoussi,Stylianos Christodoulou,betexplorer_team_events,2024-02-04,Christodoulou S. vs Karmoussi H.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: HKG vs ZIM,Davis Cup WG2 PO: HKG vs ZIM 2024,RR,Benedict Badza,Kwok Shun Dasson Chan,Benedict Badza,Kwok Shun Dasson Chan,betexplorer_team_events,2024-02-04,Badza B. vs Chan K.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: HKG vs ZIM,Davis Cup WG2 PO: HKG vs ZIM 2024,RR,Coleman Wong,Courtney John Lock,Coleman Wong,Courtney John Lock,betexplorer_team_events,2024-02-03,Wong C. vs Lock C.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: PAR vs MON,Davis Cup WG2 PO: PAR vs MON 2024,RR,Daniel Vallejo,Benjamin Balleret,Benjamin Balleret,Daniel Vallejo,betexplorer_team_events,2024-02-03,Vallejo D. vs Balleret B.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: TOG vs INA,Davis Cup WG2 PO: TOG vs INA 2024,RR,Komlavi Loglo,Anthony Susanto,Anthony Susanto,Komlavi Loglo,betexplorer_team_events,2024-02-04,Loglo K. vs Susanto A.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-03,atp,Davis Cup WG2 PO: URU vs MDA,Davis Cup WG2 PO: URU vs MDA 2024,RR,Joaquin  Aguilar Cardozo ,Ilya Snitari,Ilya Snitari,Joaquin  Aguilar Cardozo ,betexplorer_team_events,2024-02-04,Aguilar Cardozo J. vs Snitari I.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-02-05,atp,Marseille,Marseille 2024,R32,Zhizhen Zhang,Giulio Zeppieri,Giulio Zeppieri,Zhizhen Zhang,tennis_data,2024-02-06,Zhang Zh. vs Zeppieri G.,Open 13,False,source_has_no_numeric_odds
2024-03-06,wta,Indian Wells,Indian Wells 2024,R128,Yulia Putintseva,Tamara Korpatsch,Tamara Korpatsch,Yulia Putintseva,tennis_data,2024-03-06,Putintseva Y. vs Korpatsch T.,BNP Paribas Open,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Beatriz Haddad Maia,Anna Lena Friedsam,Anna Lena Friedsam,Beatriz Haddad Maia,betexplorer_team_events,2024-04-13,Haddad Maia B. vs Friedsam A-L.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Emma Navarro,Hanne Vandewinkel,Emma Navarro,Hanne Vandewinkel,betexplorer_team_events,2024-04-12,Navarro E. vs Vandewinkel H.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Jessica Pegula,Hanne Vandewinkel,Hanne Vandewinkel,Jessica Pegula,betexplorer_team_events,2024-04-13,Pegula J. vs Vandewinkel H.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Katie Boulter,Clara Burel,Clara Burel,Katie Boulter,betexplorer_team_events,2024-04-13,Boulter K. vs Burel C.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Laura Siegemund,Carolina Alves,Carolina Alves,Laura Siegemund,betexplorer_team_events,2024-04-13,Siegemund L. vs Alves C.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Nao Hibino,Yulia Putintseva,Nao Hibino,Yulia Putintseva,betexplorer_team_events,2024-04-13,Hibino N. vs Putintseva Y.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-04-12,wta,BJK Cup Qualifiers,BJK Cup Qualifiers 2024,RR,Renata Jamrichova,Veronika Erjavec,Renata Jamrichova,Veronika Erjavec,betexplorer_team_events,2024-04-13,Jamrichova R. vs Erjavec V.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-06-24,wta,Bad Homburg,Bad Homburg 2024,R32,Peyton Stearns,Julia Stusek,Julia Stusek,Peyton Stearns,tennis_data,2024-06-25,Stearns P. vs Stusek J.,Bad Homburg Open,False,source_has_no_numeric_odds
2024-07-15,atp,Hamburg,Hamburg 2024,R32,Luciano Darderi,Nick Hardt,Luciano Darderi,Nick Hardt,,,,,False,source_absent
2024-07-22,atp,Kitzbuhel,Kitzbuhel 2024,R16,Yannick Hanfmann,Gustavo Heide,Gustavo Heide,Yannick Hanfmann,tennis_data,2024-07-24,Hanfmann Y. vs Heide G.,Generali Open,False,source_has_no_numeric_odds
2024-08-05,atp,Canada Masters,Canada Masters 2024,R64,Holger Rune,Roberto Bautista Agut,Holger Rune,Roberto Bautista Agut,tennis_data,2024-08-07,Rune H. vs Bautista Agut R.,Canadian Open,False,source_has_no_numeric_odds
2024-09-10,atp,Davis Cup Finals RR: GER vs SVK,Davis Cup Finals RR: GER vs SVK 2024,RR,Maximilian Marterer,Lukas Klein,Lukas Klein,Maximilian Marterer,betexplorer_team_events,2024-09-10,Marterer M. vs Klein L.,dc-wg-2024,False,source_has_no_numeric_odds
2024-09-11,atp,Davis Cup Finals RR: USA vs CHI,Davis Cup Finals RR: USA vs CHI 2024,RR,Reilly Opelka,Cristian Garin,Cristian Garin,Reilly Opelka,betexplorer_team_events,2024-09-11,Opelka R. vs Garin C.,dc-wg-2024,False,source_has_no_numeric_odds
2024-09-12,atp,Davis Cup Finals RR: GER vs CHI,Davis Cup Finals RR: GER vs CHI 2024,RR,Maximilian Marterer,Tomas Barrios Vera,Maximilian Marterer,Tomas Barrios Vera,betexplorer_team_events,2024-09-12,Marterer M. vs Barrios Vera T.,dc-wg-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG1 R1: AUT vs TUR,Davis Cup WG1 R1: AUT vs TUR 2024,RR,Jurij Rodionov,Yanki Erel,Jurij Rodionov,Yanki Erel,betexplorer_team_events,2024-09-13,Rodionov J. vs Erel Y.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG1 R1: CRO vs LTU,Davis Cup WG1 R1: CRO vs LTU 2024,RR,Matej Dodig,Vilius Gaubas,Matej Dodig,Vilius Gaubas,betexplorer_team_events,2024-09-14,Dodig M. vs Gaubas V.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG1 R1: EGY vs HUN,Davis Cup WG1 R1: EGY vs HUN 2024,RR,Mate Valkusz,Faris Zakaryia,Faris Zakaryia,Mate Valkusz,,,,,False,source_absent
2024-09-13,atp,Davis Cup WG1 R1: EGY vs HUN,Davis Cup WG1 R1: EGY vs HUN 2024,RR,Mohamed Safwat,Mate Valkusz,Mate Valkusz,Mohamed Safwat,betexplorer_team_events,2024-09-13,Safwat M. vs Valkusz M.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG1 R1: EGY vs HUN,Davis Cup WG1 R1: EGY vs HUN 2024,RR,Zsombor Piros,Amr Elsayed Abdou Ahmed Mohamed,Amr Elsayed Abdou Ahmed Mohamed,Zsombor Piros,betexplorer_team_events,2024-09-13,Piros Z. vs Elsayed A.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG1 R1: ISR vs UKR,Davis Cup WG1 R1: ISR vs UKR 2024,RR,Yshai Oliel,Oleksii Krutykh,Oleksii Krutykh,Yshai Oliel,betexplorer_team_events,2024-09-14,Oliel Y. vs Krutykh O.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG1 R1: POL vs KOR,Davis Cup WG1 R1: POL vs KOR 2024,RR,Martyn Pawelski,Min Kyu Song,Martyn Pawelski,Min Kyu Song,,,,,False,source_absent
2024-09-13,atp,Davis Cup WG1 R1: SUI vs PER,Davis Cup WG1 R1: SUI vs PER 2024,RR,Remy Bertola,Gonzalo Bueno,Gonzalo Bueno,Remy Bertola,betexplorer_team_events,2024-09-14,Bertola R. vs Bueno G.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG2 R1: ROU vs CHN,Davis Cup WG2 R1: ROU vs CHN 2024,RR,Bu Yunchaokete,Gabi Adrian Boitan,Bu Yunchaokete,Gabi Adrian Boitan,betexplorer_team_events,2024-09-14,Bu Y. vs Boitan G. A.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG2 R1: ROU vs CHN,Davis Cup WG2 R1: ROU vs CHN 2024,RR,Cezar Cretu,Rigele Te,Cezar Cretu,Rigele Te,betexplorer_team_events,2024-09-14,Cretu C. vs Te R.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG2 R1: ROU vs CHN,Davis Cup WG2 R1: ROU vs CHN 2024,RR,Gabi Adrian Boitan,Yi Zhou,Gabi Adrian Boitan,Yi Zhou,betexplorer_team_events,2024-09-13,Boitan G. A. vs Zhou Y.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-13,atp,Davis Cup WG2 R1: TUN vs IRL,Davis Cup WG2 R1: TUN vs IRL 2024,RR,Aziz Dougaz,Conor Gannon,Aziz Dougaz,Conor Gannon,betexplorer_team_events,2024-09-13,Dougaz A. vs Gannon C.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup Finals RR: GER vs USA,Davis Cup Finals RR: GER vs USA 2024,RR,Reilly Opelka,Henri Squire,Henri Squire,Reilly Opelka,betexplorer_team_events,2024-09-14,Opelka R. vs Squire H.,dc-wg-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG1 R1: KAZ vs DEN,Davis Cup WG1 R1: KAZ vs DEN 2024,RR,Beibit Zhukayev,Philip Hjorth,Beibit Zhukayev,Philip Hjorth,betexplorer_team_events,2024-09-15,Zhukayev B. vs Hjorth P.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG1 R1: SWE vs IND,Davis Cup WG1 R1: SWE vs IND 2024,RR,Elias Ymer,Siddharth Vishwakarma,Elias Ymer,Siddharth Vishwakarma,betexplorer_team_events,2024-09-15,Ymer E. vs Vishwakarma S.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG1 R1: TPE vs BIH,Davis Cup WG1 R1: TPE vs BIH 2024,RR,Tung Lin Wu,Damir Dzumhur,Damir Dzumhur,Tung Lin Wu,betexplorer_team_events,2024-09-14,Wu Tung-Lin vs Dzumhur D.,dc-wg1-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: BAR vs PAK,Davis Cup WG2 R1: BAR vs PAK 2024,RR,Aqeel Khan,Kaipo Marshall,Aqeel Khan,Kaipo Marshall,betexplorer_team_events,2024-09-14,Khan A. vs Marshall K.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: BAR vs PAK,Davis Cup WG2 R1: BAR vs PAK 2024,RR,Darian King,Yousaf Khalil,Darian King,Yousaf Khalil,betexplorer_team_events,2024-09-15,King D. vs Khalil Y.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: BUL vs ESA,Davis Cup WG2 R1: BUL vs ESA 2024,RR,Iliyan Radulov,Juan Carlos Fuentes Vasquez,Iliyan Radulov,Juan Carlos Fuentes Vasquez,betexplorer_team_events,2024-09-16,Radulov I. vs Fuentes Vasquez J.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: BUL vs ESA,Davis Cup WG2 R1: BUL vs ESA 2024,RR,Yanaki Milev,Marcelo Arevalo,Marcelo Arevalo,Yanaki Milev,betexplorer_team_events,2024-09-16,Milev Y. vs Arevalo M.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: GEO vs MEX,Davis Cup WG2 R1: GEO vs MEX 2024,RR,Alan Fernando Rubio Fierros,Saba Purtseladze,Alan Fernando Rubio Fierros,Saba Purtseladze,betexplorer_team_events,2024-09-14,Rubio Fierros A. F. vs Purtseladze S.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: HKG vs ECU,Davis Cup WG2 R1: HKG vs ECU 2024,RR,Gonzalo Escobar,Ki Lung Ng,Gonzalo Escobar,Ki Lung Ng,betexplorer_team_events,2024-09-15,Escobar G. vs Ng K. L.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: MAR vs MON,Davis Cup WG2 R1: MAR vs MON 2024,RR,Benjamin Balleret,Younes Lalami Laaroussi,Benjamin Balleret,Younes Lalami Laaroussi,betexplorer_team_events,2024-09-15,Balleret B. vs Lalami Laaroussi Y.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: NZL vs LUX,Davis Cup WG2 R1: NZL vs LUX 2024,RR,Alex Knaff,Jose Rubin Statham,Alex Knaff,Jose Rubin Statham,betexplorer_team_events,2024-09-15,Knaff A. vs Statham J. R.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: NZL vs LUX,Davis Cup WG2 R1: NZL vs LUX 2024,RR,Chris Rodesch,Ajeet Rai,Ajeet Rai,Chris Rodesch,betexplorer_team_events,2024-09-14,Rodesch C. vs Rai A.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-09-14,atp,Davis Cup WG2 R1: NZL vs LUX,Davis Cup WG2 R1: NZL vs LUX 2024,RR,Jack Loutit,Chris Rodesch,Chris Rodesch,Jack Loutit,betexplorer_team_events,2024-09-14,Loutit J. vs Rodesch C.,dc-wg2-2024,False,source_has_no_numeric_odds
2024-10-14,wta,Ningbo,Ningbo 2024,R32,Ella Seidel,Kathinka Von Deichmann,Ella Seidel,Kathinka Von Deichmann,tennis_data,2024-10-15,Seidel E. vs Von Deichmann K.,Ningbo Open,False,source_has_no_numeric_odds
2024-11-15,wta,BJK Cup Playoffs,BJK Cup Playoffs 2024,RR,Katarina Zavatska,Julia Grabher,Julia Grabher,Katarina Zavatska,betexplorer_team_events,2024-11-17,Zavatska K. vs Grabher J.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-11-15,wta,BJK Cup Playoffs,BJK Cup Playoffs 2024,RR,Sofia Costoulas,Xiyu Wang,Sofia Costoulas,Xiyu Wang,betexplorer_team_events,2024-11-17,Costoulas S. vs Wang Xiy.,bjk-wg-2024,False,source_has_no_numeric_odds
2024-11-15,wta,BJK Cup Playoffs,BJK Cup Playoffs 2024,RR,Yulia Putintseva,Yeon Woo Ku,Yeon Woo Ku,Yulia Putintseva,betexplorer_team_events,2024-11-17,Putintseva Y. vs Ku Y.,bjk-wg-2024,False,source_has_no_numeric_odds
2025-02-03,wta,Mumbai 125,Mumbai 125 2025,R32,Aleksandra Krunic,Petra Marcinko,Aleksandra Krunic,Petra Marcinko,betexplorer_team_events,2025-02-03,Krunic A. vs Marcinko P.,w125-mumbai-2025,False,source_has_no_numeric_odds
2025-02-03,wta,Mumbai 125,Mumbai 125 2025,R32,Linda Fruhvirtova,Jessica Failla,Jessica Failla,Linda Fruhvirtova,betexplorer_team_events,2025-02-04,Fruhvirtova L. vs Failla J.,w125-mumbai-2025,False,source_has_no_numeric_odds
2025-02-03,wta,Mumbai 125,Mumbai 125 2025,R32,Maaya Rajeshwaran Revathi,Iryna Shymanovich,Iryna Shymanovich,Maaya Rajeshwaran Revathi,betexplorer_team_events,2025-02-04,Rajeshwaran Revathi M. vs Shymanovich I.,w125-mumbai-2025,False,source_has_no_numeric_odds
2025-04-01,wta,Antalya 125 #3,Antalya 125 #3 2025,R32,Solana Sierra,Tatiana Prozorova,Solana Sierra,Tatiana Prozorova,betexplorer_team_events,2025-04-02,Sierra S. vs Prozorova T.,w125-antalya-3-2025,False,source_has_no_numeric_odds
2025-04-01,wta,Antalya 125 #3,Antalya 125 #3 2025,R32,Tamara Zidansek,Anastasia Zakharova,Anastasia Zakharova,Tamara Zidansek,betexplorer_team_events,2025-04-02,Zidansek T. vs Zakharova A.,w125-antalya-3-2025,False,source_has_no_numeric_odds
2025-04-01,wta,Antalya 125 #3,Antalya 125 #3 2025,R32,Tara Wuerth,Ella Seidel,Ella Seidel,Tara Wuerth,betexplorer_team_events,2025-04-02,Wuerth T. vs Seidel E.,w125-antalya-3-2025,False,source_has_no_numeric_odds
