confidence_bucket,rows,log_loss,brier_score,accuracy,avg_pred,actual_win_rate
0.50-0.55,383,0.6913416582163567,0.2490974270925856,0.5248041775456919,0.4980543075366679,0.5013054830287206
0.55-0.60,322,0.6797484512649121,0.2433155929429626,0.5900621118012422,0.4952995100346408,0.4720496894409938
0.60-0.65,260,0.6689005573396772,0.23799386862062455,0.6076923076923076,0.5000071672972308,0.49615384615384617
0.65-0.70,196,0.6213595459034381,0.2152205998163951,0.6785714285714286,0.528482425100341,0.5306122448979592
0.70-0.75,141,0.5482671860655123,0.1804386745210645,0.7730496453900709,0.5554587121783927,0.5531914893617021
0.75+,275,0.4035606171613676,0.12343147585280892,0.8472727272727273,0.624992741268545,0.5963636363636363
