tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,player_a_birth_date,player_a_birth_place,player_a_country_code,player_a_country_name,player_a_backhand,player_a_weight_kg,player_b_birth_date,player_b_birth_place,player_b_country_code,player_b_country_name,player_b_backhand,player_b_weight_kg,b365_a,b365_b,ps_a,ps_b,max_a,max_b,avg_a,avg_b,odds_date_diff,year
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,270,F,3,75.0,6-2 6-3,Simona Halep,Veronika Kudermetova,20.0,31.0,2576.0,1870.0,Simona Halep,Veronika Kudermetova,1,201594,206368,20.0,31.0,2576.0,1870.0,30.2,24.6,R,R,168.0,175.0,2,3,,,1991-09-27,"Constanta, Romania",ROU,Romania,,,1997-04-24,"Kazan,Russia",RUS,Russia,,,1.3,3.5,1.31,3.86,1.33,3.9,1.29,3.58,6.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,272,R32,3,67.0,6-3 6-2,Elena Gabriela Ruse,Arina Rodionova,87.0,152.0,859.0,478.0,Arina Rodionova,Elena Gabriela Ruse,0,201613,211817,152.0,87.0,478.0,859.0,32.0,24.1,R,R,168.0,173.0,,,WC,,1989-12-15,"Tambov, Russia",AUS,Australia,,,1997-11-06,"Bucharest, Romania",ROU,Romania,,,5.5,1.14,6.06,1.15,6.75,1.15,5.65,1.13,1.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,273,R32,3,84.0,6-3 6-4,Lesley Pattinama Kerkhove,Seone Mendez,158.0,239.0,450.0,301.0,Lesley Pattinama Kerkhove,Seone Mendez,1,204246,214191,158.0,239.0,450.0,301.0,30.1,22.6,R,R,172.0,,,,Q,WC,,,,,,,1999-05-15,,,,,,1.16,5.0,1.22,4.61,1.25,5.0,1.2,4.48,2.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,274,R32,3,91.0,7-5 6-1,Viktorija Golubic,Lauren Davis,43.0,89.0,1422.0,839.0,Lauren Davis,Viktorija Golubic,0,201616,203530,89.0,43.0,839.0,1422.0,28.2,29.2,R,R,157.0,169.0,,6,ALT,,1993-10-09,"Gates Mills, OH, USA",USA,United States,,,1992-10-16,"Zürich, Switzerland",SUI,Switzerland,,,2.62,1.5,2.97,1.43,3.0,1.5,2.77,1.43,1.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,275,R32,3,104.0,7-5 6-3,Vera Zvonareva,Alison Riske Amritraj,81.0,51.0,876.0,1191.0,Alison Riske Amritraj,Vera Zvonareva,0,201590,201329,51.0,81.0,1191.0,876.0,31.5,37.3,R,R,173.0,172.0,9,,,,,,,,,,1984-09-07,"Moscow, Russia",RUS,Russia,,,2.1,1.72,2.12,1.78,2.2,1.85,2.06,1.75,1.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,276,R32,3,135.0,4-6 6-2 6-3,Qinwen Zheng,Mai Hontama,126.0,150.0,596.0,483.0,Mai Hontama,Qinwen Zheng,0,215988,221012,150.0,126.0,483.0,596.0,22.3,19.2,R,R,164.0,178.0,,,LL,Q,1999-08-30,-,JPN,Japan,,,2002-10-08,"Shiyan, Hubei Province, China",CHN,China,,,,,,,,,,,,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,277,R32,3,165.0,6-7(2) 7-6(7) 6-2,Kaia Kanepi,Jaqueline Cristian,73.0,71.0,948.0,954.0,Jaqueline Cristian,Kaia Kanepi,0,211713,201466,71.0,73.0,954.0,948.0,23.5,36.5,R,R,180.0,181.0,,,,,1998-06-05,"Bucharest, Romania",ROU,Romania,,,,,,,,,2.3,1.61,2.19,1.74,2.35,1.74,2.18,1.66,1.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,278,R32,3,94.0,6-4 6-4,Ana Konjuh,Tereza Martincova,67.0,48.0,998.0,1226.0,Ana Konjuh,Tereza Martincova,1,211951,206124,67.0,48.0,998.0,1226.0,24.0,27.1,R,R,174.0,178.0,,7,,,1997-12-27,"Dubrovnik, Croatia",CRO,Croatia,,,1994-10-24,"Prague , Czech Republic",CZE,Czech Republic,,,1.9,1.9,1.93,1.93,1.98,2.05,1.89,1.88,1.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,279,R32,3,116.0,7-5 7-6(8),Anna Bondar,Katerina Siniakova,92.0,49.0,821.0,1220.0,Anna Bondar,Katerina Siniakova,1,214388,211701,92.0,49.0,821.0,1220.0,24.6,25.6,R,R,175.0,174.0,,8,Q,,1997-05-27,"Szeghalom, Hungary",HUN,Hungary,,,1996-05-10,"Hradec Kralove, Czech Republic",CZE,Czech Republic,,,2.75,1.44,2.63,1.53,2.9,1.54,2.65,1.47,2.0,2022
wta,2022-01-03,2022-2058,Melbourne 1,melbourne 1,I,Hard,32,280,R32,3,115.0,5-7 6-2 6-2,Anastasia Potapova,Lizette Cabrera,69.0,173.0,985.0,409.0,Anastasia Potapova,Lizette Cabrera,1,215713,211878,69.0,173.0,985.0,409.0,20.7,24.0,R,R,175.0,167.0,,,,WC,2001-03-30,"Saratov, Russia",AUT,Austria,,,1997-12-19,"Townsville, Australia",AUS,Australia,,,1.25,4.0,1.23,4.5,1.33,4.65,1.24,4.02,2.0,2022
