fold,train_rows,test_rows,start_date,end_date,log_loss,brier_score
0,3398,2701,2023-01-01,2023-07-01,0.6308974853374729,0.22074145963353153
1,6099,2002,2023-07-01,2024-01-01,0.6333890812492399,0.22243641267002506
2,8101,2818,2024-01-01,2024-07-01,0.6198790375634312,0.21661870450029913
3,10919,2264,2024-07-01,2025-01-01,0.6217727294529218,0.2174078037975168
4,13183,2633,2025-01-01,2025-07-01,0.6430195349878693,0.2262399427712243
5,15816,2324,2025-07-01,2026-01-01,0.6388666741681084,0.2244419790733751
6,18140,977,2026-01-01,2026-03-11,0.6271093647904806,0.21947205169560985
