tour,player_id,player_name,needs_age,needs_hand,needs_height,affected_rows,latest_event_date,missing_fields
wta,333485,Kanon Sawashiro,False,False,True,1,2026-02-16,height_cm
wta,337031,Kaye Ann Emana,True,False,True,1,2026-01-26,"age,height_cm"
wta,331986,Kristiana Sidorova,False,False,True,3,2026-02-02,height_cm
wta,328034,Kristina Dmitruk,False,False,True,2,2025-09-15,height_cm
wta,326209,Kristina Novak,False,False,True,2,2025-10-13,height_cm
wta,333944,Laura Samson,False,False,True,10,2025-12-01,height_cm
wta,323171,Lea Boskovic,False,False,True,7,2025-09-08,height_cm
wta,331512,Lena Couto,False,False,True,1,2025-07-14,height_cm
wta,326891,Leyre Romero Gormaz,False,False,True,40,2026-03-10,height_cm
wta,327773,Lia Karatancheva,False,False,True,7,2026-03-10,height_cm
wta,327527,Lian Tran,False,False,True,3,2025-11-03,height_cm
wta,332150,Lilli Tagger,False,False,True,14,2026-03-17,height_cm
wta,323091,Lina Glushko,False,False,True,2,2025-09-15,height_cm
wta,329061,Linda Klimovicova,False,False,True,15,2026-02-16,height_cm
wta,331958,Linea Bajraliu,False,False,True,1,2025-07-07,height_cm
wta,328193,Lisa Pigato,False,False,True,4,2026-03-10,height_cm
wta,331268,Lucciana Perez Alarcon,False,False,True,2,2025-11-24,height_cm
wta,325073,Lucia Cortez Llorca,False,False,True,2,2025-09-08,height_cm
wta,330894,Lucija Ciric Bagaric,False,False,True,1,2025-09-08,height_cm
wta,330746,Luisina Giovannini,False,False,True,13,2025-12-01,height_cm
wta,327175,Luiza Fullana,False,False,True,3,2025-10-20,height_cm
wta,332727,Luna Maria Cinalli,False,False,True,1,2025-11-03,height_cm
wta,336085,Madalena Matias,False,False,True,1,2026-02-16,height_cm
wta,330035,Malaika Rapolu,False,False,True,4,2025-11-03,height_cm
wta,325794,Manon Leonard,False,False,True,6,2026-02-16,height_cm
wta,320673,Maria Fernanda Navarro Oliva,False,False,True,1,2025-10-20,height_cm
wta,333324,Maria Jose Sanchez Uribe,False,False,True,1,2025-03-31,height_cm
wta,325632,Maria Kozyreva,False,False,True,4,2025-09-01,height_cm
wta,324255,Maria Portillo Ramirez,False,False,True,2,2025-10-20,height_cm
wta,329464,Maria Torres Murcia,False,False,True,2,2025-10-27,height_cm
wta,320592,Mariam Bolkvadze,False,False,True,3,2025-07-07,height_cm
wta,336402,Marianne Angel Gonzalez,False,False,True,1,2025-10-20,height_cm
wta,329124,Maribella Zamarripa,False,False,True,1,2025-10-20,height_cm
wta,335853,Mariia Nozdrachova,False,False,True,1,2025-09-15,height_cm
wta,328472,Mariia Tkacheva,False,False,True,2,2026-01-26,height_cm
wta,331376,Marina Bulbarella,False,False,True,1,2025-11-24,height_cm
wta,320369,Martina Colmegna,False,False,True,8,2025-12-01,height_cm
wta,321407,Mary Lewis,False,False,True,2,2025-11-03,height_cm
wta,328261,Mathilde Lollia,False,False,True,1,2025-07-07,height_cm
wta,328730,Matilde Jorge,False,False,True,9,2026-02-16,height_cm
wta,326162,Meiling Wang,False,False,True,2,2025-09-22,height_cm
wta,326546,Meiqi Guo,False,False,True,1,2025-09-01,height_cm
wta,328910,Mell Reasco Gonzalez,False,False,True,2,2025-12-01,height_cm
wta,334183,Mia Pohankova,False,False,True,3,2025-10-27,height_cm
wta,330926,Mia Ristic,False,False,True,1,2026-03-03,height_cm
wta,329417,Midori Castillo Meza,False,False,True,1,2025-10-20,height_cm
wta,331153,Miho Kuramochi,False,True,False,3,2026-02-02,hand
wta,326113,Mina Hodzic,False,False,True,1,2025-10-05,height_cm
wta,317541,Miriana Tona,False,False,True,4,2025-10-20,height_cm
wta,326780,Misaki Matsuda,False,False,True,2,2026-02-02,height_cm
wta,334588,Monika Stankiewicz,False,False,True,1,2025-07-28,height_cm
wta,327063,Monique Barry,False,False,True,1,2026-01-05,height_cm
wta,334245,Natalia Sousa Salazar,False,False,True,2,2025-10-20,height_cm
wta,334602,Nauhany Vitoria Leme Da Silva,False,False,True,3,2025-10-20,height_cm
wta,327918,Nika Radisic,False,False,True,1,2025-09-08,height_cm
wta,330574,Noemi Basiletti,False,False,True,2,2025-10-20,height_cm
wta,326653,Olivia Gadecki,False,False,True,16,2026-01-04,height_cm
wta,322579,Petra Hule,False,False,True,1,2025-07-07,height_cm
wta,329774,Pia Lovric,False,False,True,1,2025-09-08,height_cm
wta,333580,Pietra Rivoli,False,False,True,1,2025-10-13,height_cm
wta,330466,Polina Iatcenko,False,False,True,10,2026-02-02,height_cm
wta,328797,Priska Nugroho,False,False,True,6,2026-02-02,height_cm
wta,328153,Radka Zelnickova,False,False,True,1,2025-10-20,height_cm
wta,335945,Ru Xi Wu,False,False,True,2,2025-09-22,height_cm
