surface,rows,log_loss,brier_score,accuracy,avg_pred,actual_win_rate
Clay,4874,0.6270661762667271,0.2193124291584914,0.6384899466557242,0.5115028079116803,0.5160032827246614
Grass,1764,0.6308577924422731,0.22073964808131064,0.6366213151927438,0.5169128681724323,0.5391156462585034
Hard,10532,0.6241688348276266,0.2179028421014363,0.6447968097227497,0.5259168521111824,0.5167109760729206
Unknown,46,0.5911756896985629,0.20580412110528143,0.6739130434782609,0.5037384494718843,0.45652173913043476
