tour,rows,log_loss,brier_score,accuracy,avg_pred,actual_win_rate
atp,7926,0.6258676974074034,0.21872028453279638,0.6377744133232399,0.5221189881975802,0.5104718647489276
wta,9290,0.625346239986202,0.21842371004414907,0.6460710441334768,0.5197752572523532,0.5256189451022605
