tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,fighter_a,fighter_b,best_of_5,surface_is_hard,surface_is_clay,surface_is_grass,surface_is_carpet,a_h2h_wins,b_h2h_wins,diff_h2h_wins,same_hand,a_elo,a_surface_elo,a_recent_form,a_surface_win_rate,a_num_matches,a_days_since_last_match,a_matches_last_7d,a_matches_last_30d,a_rank,a_rank_trend,a_age,a_is_left_handed,b_elo,b_surface_elo,b_recent_form,b_surface_win_rate,b_num_matches,b_days_since_last_match,b_matches_last_7d,b_matches_last_30d,b_rank,b_rank_trend,b_age,b_is_left_handed,diff_elo,diff_surface_elo,diff_recent_form,diff_surface_win_rate,diff_num_matches,diff_days_since_last_match,diff_matches_last_7d,diff_matches_last_30d,diff_rank,diff_rank_trend,diff_age,diff_is_left_handed
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,283,R32,3,153.0,6-4 6-7(5) 6-3,Taro Daniel,Lorenzo Musetti,125.0,59.0,584.0,1004.0,Lorenzo Musetti,Taro Daniel,0,207518,106121,59.0,125.0,1004.0,584.0,19.8,28.9,R,R,185.0,191.0,,,,Q,Lorenzo Musetti,Taro Daniel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,59.0,,19.8,0.0,1500.0,1500.0,,,0,,0.0,0.0,125.0,,28.9,0.0,0.0,0.0,,,0,,0.0,0.0,-66.0,,-9.099999999999998,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,284,R32,3,79.0,6-2 6-4,Juan Manuel Cerundolo,Alex Bolt,90.0,137.0,803.0,506.0,Alex Bolt,Juan Manuel Cerundolo,0,106109,207678,137.0,90.0,506.0,803.0,28.9,20.1,L,L,183.0,183.0,,,WC,,Alex Bolt,Juan Manuel Cerundolo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,137.0,,28.9,1.0,1500.0,1500.0,,,0,,0.0,0.0,90.0,,20.1,1.0,0.0,0.0,,,0,,0.0,0.0,47.0,,8.799999999999997,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,286,R16,3,120.0,6-4 4-6 6-2,Karen Khachanov,Steve Johnson,29.0,85.0,1731.0,812.0,Karen Khachanov,Steve Johnson,1,111575,105449,29.0,85.0,1731.0,812.0,25.6,32.0,R,R,198.0,188.0,2.0,,,,Karen Khachanov,Steve Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,29.0,,25.6,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,85.0,0.0,32.0,0.0,-16.0,-12.0,,,-1,,-1.0,-1.0,-56.0,,-6.399999999999999,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,287,R16,3,100.0,6-1 3-6 6-3,Egor Gerasimov,Gianluca Mager,113.0,62.0,665.0,978.0,Egor Gerasimov,Gianluca Mager,1,106078,126149,113.0,62.0,665.0,978.0,29.1,27.0,R,R,196.0,188.0,,,Q,,Egor Gerasimov,Gianluca Mager,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,113.0,0.0,29.1,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,62.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,51.0,0.0,2.1000000000000014,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,288,R16,3,116.0,6-4 7-6(3),Marin Cilic,Thiago Monteiro,30.0,89.0,1710.0,805.0,Marin Cilic,Thiago Monteiro,1,105227,106329,30.0,89.0,1710.0,805.0,33.2,27.5,R,L,198.0,183.0,3.0,,,,Marin Cilic,Thiago Monteiro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,30.0,,33.2,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,89.0,0.0,27.5,1.0,-16.0,-12.0,,,-1,,-1.0,-1.0,-59.0,,5.700000000000003,-1.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,290,R16,3,136.0,6-3 6-2,Mikael Ymer,Soon Woo Kwon,94.0,53.0,782.0,1115.0,Mikael Ymer,Soon Woo Kwon,1,144707,126952,94.0,53.0,782.0,1115.0,23.3,24.0,R,R,183.0,180.0,,8.0,,,Mikael Ymer,Soon Woo Kwon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,94.0,0.0,23.3,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,53.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,41.0,0.0,-0.6999999999999993,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,291,R16,3,134.0,3-6 7-5 6-1,Thanasi Kokkinakis,Frances Tiafoe,171.0,38.0,394.0,1492.0,Frances Tiafoe,Thanasi Kokkinakis,0,126207,106423,38.0,171.0,1492.0,394.0,23.9,25.7,R,R,188.0,193.0,4.0,,,WC,Frances Tiafoe,Thanasi Kokkinakis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,38.0,,23.9,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,171.0,0.0,25.7,0.0,-16.0,-12.0,,,-1,,-1.0,-1.0,-133.0,,-1.8000000000000007,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,292,R16,3,154.0,6-4 6-7(1) 6-4,Tommy Paul,Taro Daniel,43.0,125.0,1349.0,584.0,Taro Daniel,Tommy Paul,0,106121,126205,125.0,43.0,584.0,1349.0,28.9,24.6,R,R,191.0,185.0,,6.0,Q,,Taro Daniel,Tommy Paul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,125.0,0.0,28.9,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,43.0,0.0,24.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,82.0,0.0,4.299999999999997,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,293,R16,3,54.0,6-2 6-1,Gael Monfils,Juan Manuel Cerundolo,21.0,90.0,2158.0,803.0,Gael Monfils,Juan Manuel Cerundolo,1,104792,207678,21.0,90.0,2158.0,803.0,35.3,20.1,R,L,193.0,183.0,1.0,,,,Gael Monfils,Juan Manuel Cerundolo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,21.0,,35.3,0.0,1516.0,1512.0,1.0,1.0,1,0.0,1.0,1.0,90.0,0.0,20.1,1.0,-16.0,-12.0,,,-1,,-1.0,-1.0,-69.0,,15.199999999999996,-1.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,294,QF,3,115.0,7-5 6-3,Karen Khachanov,Egor Gerasimov,29.0,113.0,1731.0,665.0,Egor Gerasimov,Karen Khachanov,0,106078,111575,113.0,29.0,665.0,1731.0,29.1,25.6,R,R,196.0,198.0,,2.0,Q,,Egor Gerasimov,Karen Khachanov,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1532.0,1524.0,1.0,1.0,2,0.0,2.0,2.0,113.0,0.0,29.1,0.0,1516.736306793522,1512.414300586377,1.0,1.0,1,0.0,1.0,1.0,29.0,0.0,25.6,0.0,15.26369320647791,11.585699413622933,0.0,0.0,1,0.0,1.0,1.0,84.0,0.0,3.5,0.0
