event_id,fighter_a,fighter_b,sport_key,tour,tournament_name,tournament_seed,event_title,commence_time,a_odds_avg,b_odds_avg,a_fair_prob_avg,b_fair_prob_avg,num_bookmakers,surface,best_of,tourney_level,best_of_5,surface_is_hard,surface_is_clay,surface_is_grass,surface_is_carpet,a_h2h_wins,b_h2h_wins,diff_h2h_wins,same_hand,a_elo,a_surface_elo,a_recent_form,a_surface_win_rate,a_num_matches,a_days_since_last_match,a_matches_last_7d,a_matches_last_30d,a_rank,a_rank_points,a_rank_trend,a_age,a_is_left_handed,b_elo,b_surface_elo,b_recent_form,b_surface_win_rate,b_num_matches,b_days_since_last_match,b_matches_last_7d,b_matches_last_30d,b_rank,b_rank_points,b_rank_trend,b_age,b_is_left_handed,diff_elo,diff_surface_elo,diff_recent_form,diff_surface_win_rate,diff_num_matches,diff_days_since_last_match,diff_matches_last_7d,diff_matches_last_30d,diff_rank,diff_rank_points,diff_rank_trend,diff_age,diff_is_left_handed,log_rank_diff,log_rank_points_diff,prob_a,prob_b,predicted_winner,confidence,reference_market_prob_a,reference_market_prob_b,reference_edge_a,reference_edge_b,decision_side,decision_fighter,decision_model_prob,decision_market_prob,decision_edge,decision_confidence,min_player_matches,uncertainty_penalty,required_edge,decision_status,decision_reasons,match_key,structured_status,automation_status,execution_allowed,automation_reasons,llm_veto_status,llm_veto_reason,llm_veto_flags,second_source_required,second_source_name,second_source_detail,second_source_side_prob,second_source_gap_vs_reference,second_source_status,second_source_reasons,trade_ready,trade_status,trade_reasons,llm_veto_confidence,llm_veto_sources,llm_coverage_quality,llm_contradiction_strength,llm_policy_adjustment
c69187d7518d53a07ada302c1b581914,Karolina Muchova,Alexandra Eala,tennis_wta_miami_open,wta,Miami Open,miami open,WTA Miami Open,2026-03-23 15:00:00+00:00,1.224,4.265,0.7769510390566464,0.22304896094335364,10,unknown,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.0726930905273,1500.0,0.8,,142,6.0,2.0,5.0,14.0,2668.0,-0.3333333333333339,29.6,0.0,1661.3896610210368,1500.0,0.6,,81,6.0,2.0,4.0,29.0,1525.0,1.0,20.8,1.0,230.68303206949054,0.0,0.20000000000000007,,61,0.0,0.0,1.0,-15.0,1143.0,-1.333333333333334,8.8,-1.0,0.6931471805599454,0.5590539375601216,0.6778096508529027,0.3221903491470973,a,0.6778096508529027,0.7769510390566464,0.22304896094335364,-0.09914138820374374,0.09914138820374369,b,Alexandra Eala,0.3221903491470973,0.22304896094335364,0.09914138820374369,0.6778096508529027,81.0,0.0,0.02,reference_qualified,,alexandra eala|karolina muchova,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
68933489fdf6ba558b36d4128bea277d,Felix Auger-Aliassime,Terence Atmane,tennis_atp_miami_open,atp,Miami Open,miami open,ATP Miami Open,2026-03-23 16:30:00+00:00,1.2822222222222224,3.75,0.7451012585593049,0.25489874144069524,9,Hard,3,1000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1653.292557348263,1580.4590032282945,0.4,0.6377952755905512,182,518.0,0.0,0.0,19.0,2130.0,0.6666666666666679,24.2,0.0,1452.6589104206848,1457.0402570896601,0.2,0.2222222222222222,12,537.0,0.0,0.0,161.0,369.0,1.0,22.7,1.0,200.63364692757818,123.41874613863433,0.2,0.41557305336832895,170,-19.0,0.0,0.0,-142.0,1761.0,-0.33333333333333215,1.5,-1.0,2.091864061678393,1.7508436264603473,0.7842577463878153,0.2157422536121847,a,0.7842577463878153,0.7451012585593049,0.25489874144069524,0.039156487828510445,-0.039156487828510556,a,Felix Auger-Aliassime,0.7842577463878153,0.7451012585593049,0.039156487828510445,0.7842577463878153,12.0,0.0,0.02,reference_qualified,,felix auger aliassime|terence atmane,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
30d9d289114cdfe3ee49b202a2324221,Mirra Andreeva,Victoria Mboko,tennis_wta_miami_open,wta,Miami Open,miami open,WTA Miami Open,2026-03-23 16:30:00+00:00,1.813,1.9929999999999999,0.5236455853918593,0.47635441460814054,10,unknown,3,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1808.1579959395635,1500.0,0.6,,142,6.0,2.0,4.0,10.0,3066.0,-0.6666666666666661,18.9,0.0,1877.771955758511,1500.0,0.8,,57,6.0,2.0,6.0,9.0,3351.0,0.3333333333333339,19.6,0.0,-69.61395981894748,0.0,-0.20000000000000007,,85,0.0,0.0,-2.0,1.0,-285.0,-1.0,-0.7000000000000028,0.0,-0.09531017980432477,-0.08885729748772242,0.4452842891936701,0.5547157108063299,b,0.5547157108063299,0.5236455853918595,0.4763544146081406,-0.07836129619818938,0.07836129619818927,b,Victoria Mboko,0.5547157108063299,0.4763544146081406,0.07836129619818927,0.5547157108063299,57.0,0.01,0.03,reference_qualified,low_confidence,mirra andreeva|victoria mboko,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
6552a3df9d7b4ce865f935bef34ae7d6,Sorana Cirstea,Coco Gauff,tennis_wta_miami_open,wta,Miami Open,miami open,WTA Miami Open,2026-03-23 17:00:00+00:00,2.649,1.4929999999999999,0.3605362167926192,0.6394637832073808,10,unknown,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1798.5288581433572,1500.0,0.8,,177,6.0,3.0,6.0,35.0,1374.0,0.0,35.9,0.0,1914.2093047454741,1500.0,0.8,,268,6.0,2.0,3.0,4.0,6748.0,0.0,22.0,0.0,-115.68044660211694,0.0,0.0,,-91,0.0,1.0,3.0,31.0,-5374.0,0.0,13.899999999999999,0.0,-1.9740810260220096,-1.5909406146427347,0.2667356572649862,0.7332643427350138,b,0.7332643427350138,0.3605362167926192,0.6394637832073808,-0.093800559527633,0.093800559527633,b,Coco Gauff,0.7332643427350138,0.6394637832073808,0.093800559527633,0.7332643427350138,177.0,0.0,0.02,reference_qualified,,coco gauff|sorana cirstea,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
3a24a32ff76756c9dc628da801fc3250,Frances Tiafoe,Jakub Mensik,tennis_atp_miami_open,atp,Miami Open,miami open,ATP Miami Open,2026-03-23 18:00:00+00:00,2.321111111111111,1.6277777777777778,0.4122494215797741,0.5877505784202258,9,Hard,3,1000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1649.6590804606865,1599.2515971992636,0.4,0.5775862068965517,172,511.0,0.0,0.0,17.0,2585.0,-1.333333333333334,26.7,0.0,1626.9451380130797,1595.0768699718299,0.2,0.625,47,460.0,0.0,0.0,48.0,1136.0,0.0,19.2,0.0,22.71394244760677,4.174727227433777,0.2,-0.04741379310344829,125,51.0,0.0,0.0,-31.0,1449.0,-1.333333333333334,7.5,0.0,1.001448540214462,0.8217190655812665,0.5631203893023793,0.4368796106976207,a,0.5631203893023793,0.4122494215797741,0.5877505784202258,0.15087096772260516,-0.1508709677226051,a,Frances Tiafoe,0.5631203893023793,0.4122494215797741,0.15087096772260516,0.5631203893023793,47.0,0.01,0.03,reference_qualified,low_confidence,frances tiafoe|jakub mensik,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
b487c59c1aab847302ecda320a3070b9,Jaqueline Cristian,Jessica Pegula,tennis_wta_miami_open,wta,Miami Open,miami open,WTA Miami Open,2026-03-23 19:30:00+00:00,6.45,1.12,0.1480417030866525,0.8519582969133476,5,unknown,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1683.6499426907826,1499.172385326556,0.8,0.5,139,6.0,2.0,5.0,36.0,1367.0,-0.3333333333333357,27.8,0.0,1970.0428414945563,1523.172385326556,0.8,1.0,281,6.0,1.0,5.0,5.0,6678.0,0.0,32.1,0.0,-286.39289880377373,-24.0,0.0,-0.5,-142,0.0,1.0,0.0,31.0,-5311.0,-0.3333333333333357,-4.300000000000001,0.0,-1.8191584434161694,-1.5856184565431404,0.21171345029272798,0.7882865497072721,b,0.7882865497072721,0.1480417030866525,0.8519582969133476,0.06367174720607549,-0.06367174720607549,a,Jaqueline Cristian,0.21171345029272798,0.1480417030866525,0.06367174720607549,0.7882865497072721,139.0,0.0,0.02,reference_qualified,,jaqueline cristian|jessica pegula,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
987b4cbf6eca63bda51fea8f0f243dbe,Quentin Halys,Kamil Majchrzak,tennis_atp_miami_open,atp,Miami Open,miami open,ATP Miami Open,2026-03-23 19:40:00+00:00,2.0633333333333335,1.77,0.46173496981349893,0.5382650301865011,9,Hard,3,1000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1541.5618312985712,1460.6823229787315,0.4,0.35714285714285715,67,504.0,0.0,0.0,84.0,693.0,0.0,28.0,0.0,1535.0427083161608,1546.0251472458062,0.4,0.625,32,556.0,0.0,0.0,163.0,364.0,200.66666666666669,28.6,0.0,6.519122982410408,-85.34282426707477,0.0,-0.26785714285714285,35,-52.0,0.0,0.0,-79.0,329.0,-200.66666666666669,-0.6000000000000014,0.0,0.6572151713338821,0.6425746069243132,0.5304129554510654,0.4695870445489345,a,0.5304129554510654,0.46173496981349893,0.5382650301865011,0.06867798563756655,-0.0686779856375665,a,Quentin Halys,0.5304129554510655,0.46173496981349893,0.06867798563756655,0.5304129554510655,32.0,0.01,0.03,reference_qualified,low_confidence,kamil majchrzak|quentin halys,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
63c045a6ca4214d9574fa1b262b6d9f4,Alejandro Tabilo,Alex Michelsen,tennis_atp_miami_open,atp,Miami Open,miami open,ATP Miami Open,2026-03-23 20:00:00+00:00,2.3944444444444444,1.5933333333333333,0.39960834891593144,0.6003916510840686,9,Hard,3,1000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.816555552881,1513.7610419702812,0.4,0.4666666666666667,98,511.0,0.0,0.0,22.0,2043.0,-0.33333333333333215,27.4,1.0,1609.8022301638591,1576.4046493705512,0.6,0.5192307692307693,77,460.0,0.0,0.0,41.0,1245.0,0.0,20.3,0.0,-35.985674610978094,-62.64360740026996,-0.19999999999999996,-0.0525641025641026,21,51.0,0.0,0.0,-19.0,798.0,-0.33333333333333215,7.099999999999998,1.0,0.6021754023542187,0.4949702519761967,0.4740995948484776,0.5259004051515225,b,0.5259004051515225,0.39960834891593144,0.6003916510840686,0.07449124593254614,-0.07449124593254608,a,Alejandro Tabilo,0.4740995948484776,0.39960834891593144,0.07449124593254614,0.5259004051515225,77.0,0.01,0.03,reference_qualified,low_confidence,alejandro tabilo|alex michelsen,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
fcb5799ba756c2f896a9bb632b967a39,Marin Cilic,Alexander Zverev,tennis_atp_miami_open,atp,Miami Open,miami open,ATP Miami Open,2026-03-23 20:00:00+00:00,6.082857142857143,1.1257142857142857,0.15659842500258264,0.8434015749974174,7,Hard,3,1000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1557.0210713819679,1527.2740114599098,0.2,0.54,70,504.0,0.0,0.0,196.0,298.0,1.6666666666666572,36.1,0.0,1895.8403459417193,1802.0043822616897,0.8,0.6949152542372882,208,497.0,0.0,0.0,2.0,7315.0,0.0,27.5,0.0,-338.8192745597514,-274.7303708017798,-0.6000000000000001,-0.15491525423728814,-138,7.0,0.0,0.0,194.0,-7017.0,1.6666666666666572,8.600000000000001,0.0,-4.1845914400698785,-3.19737543612007,0.07780173953207684,0.9221982604679232,b,0.9221982604679232,0.15659842500258264,0.8434015749974174,-0.0787966854705058,0.07879668547050578,b,Alexander Zverev,0.9221982604679232,0.8434015749974174,0.07879668547050578,0.9221982604679232,70.0,0.0,0.02,reference_qualified,,alexander zverev|marin cilic,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
d2962e29ac66ae8c41d9b3eae9942d5e,Corentin Moutet,Jannik Sinner,tennis_atp_miami_open,atp,Miami Open,miami open,ATP Miami Open,2026-03-23 23:00:00+00:00,18.6875,1.0150000000000001,0.053391220384322376,0.9466087796156776,8,Hard,3,1000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1483.319657658277,1434.4645521502027,0.2,0.39473684210526316,75,504.0,0.0,0.0,66.0,804.0,1.3333333333333286,25.5,1.0,2128.1158699836874,2026.4060676452789,1.0,0.8639455782312925,214,484.0,0.0,0.0,1.0,11830.0,0.0,23.2,0.0,-644.7962123254104,-591.9415154950761,-0.8,-0.4692087361260293,-139,20.0,0.0,0.0,65.0,-11026.0,1.3333333333333286,2.3000000000000007,1.0,-3.5115454388310203,-2.6876362068350987,0.029319003459372033,0.9706809965406279,b,0.9706809965406279,0.053391220384322376,0.9466087796156776,-0.02407221692495034,0.02407221692495043,b,Jannik Sinner,0.970680996540628,0.9466087796156776,0.02407221692495043,0.970680996540628,75.0,0.0,0.02,reference_qualified,,corentin moutet|jannik sinner,auto_eligible,auto_eligible,True,,NO_VETO,not_live_trade_candidate,,False,,,,,not_required,,False,reference_only_eligible,,0.0,,unknown,unknown,
